dispName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
0,Varun Aaron,VR Aaron,INDIA,14,3.88,31.81,1189.0,52.61,4.77,66.0,Right-hand bat,Right-arm fast
1,Kyle Abbott,KJ Abbott,SA,14,6.78,28.10,2081.0,22.71,2.55,53.3,Right-hand bat,Right-arm fast-medium
2,Abdul Razzaq,Abdul Razzaq,PAK,59,30.68,44.43,5011.0,35.82,3.38,63.4,Right-hand bat,Right-arm fast-medium
3,Abdur Rauf,Abdur Rauf,PAK,6,8.66,30.95,450.0,46.33,3.70,75.0,Right-hand bat,Right-arm fast-medium
4,Abdur Razzak,Abdur Razzak,BDESH,22,15.50,64.92,3015.0,59.75,3.32,107.6,Left-hand bat,Slow left-arm orthodox
5,Abdur Rehman,Abdur Rehman,PAK,31,14.10,42.42,6892.000000000001,29.39,2.53,69.6,Left-hand bat,Slow left-arm orthodox
6,Abid Ali,Abid Ali,PAK,4,107.00,57.94,-,-,-,-,Right-hand bat,Legbreak
7,Abul Hasan,Abul Hasan,BDESH,5,82.50,59.35,528.0,123.66,4.21,176.0,Left-hand bat,Right-arm medium-fast
8,Abu Jayed,Abu Jayed,BDESH,16,2.70,25.96,1394.0,32.45,3.35,58.0,Right-hand bat,Right-arm fast-medium
9,Mark Adair,MR Adair,IRE,2,5.50,45.83,166.0,16.33,3.54,27.6,Right-hand bat,Right-arm fast
10,Andre Adams,AR Adams,NZ,2,9.00,90.00,190.0,17.50,3.31,31.6,Right-hand bat,Right-arm fast-medium
11,Jimmy Adams,JC Adams,WI,2,7.50,39.47,99.99999999999999,-,3.24,-,Left-hand bat,Slow left-arm orthodox
12,Paul Adams,PR Adams,SA,16,14.16,42.60,2441.0,35.97,3.53,61.0,Right-hand bat,Slow left-arm chinaman
13,Adnan Akmal,Adnan Akmal,PAK,29,24.62,44.07,-,-,-,-,Right-hand bat,-
14,Afsar Zazai,Afsar Zazai,AFG,6,27.00,39.94,-,-,-,-,Right-hand bat,-
15,Aftab Ahmed,Aftab Ahmed,BDESH,31,20.78,49.61,344.0,47.40,4.13,68.8,Right-hand bat,Right-arm medium
16,Usman Afzaal,U Afzaal,ENG,6,16.60,60.58,54.0,49.00,5.44,54.0,Left-hand bat,Slow left-arm orthodox
17,Ashton Agar,AC Agar,AUS,7,32.50,55.55,874.0,45.55,2.81,97.1,Left-hand bat,Slow left-arm orthodox
18,Ajit Agarkar,AB Agarkar,INDIA,27,19.69,56.13,3158.9999999999995,52.83,3.71,85.3,Right-hand bat,Right-arm fast
19,Mayank Agarwal,MA Agarwal,INDIA,17,57.29,55.97,-,-,-,-,Right-hand bat,-
20,Ahmed Shehzad,Ahmed Shehzad,PAK,25,40.91,50.98,48.0,-,3.50,-,Right-hand bat,Legbreak
21,Aizaz Cheema,Aizaz Cheema,PAK,5,-,4.34,1200.0,31.90,3.19,60.0,Right-hand bat,Right-arm medium-fast
22,Akram Khan,Akram Khan,BDESH,14,15.85,37.18,-,-,-,-,Right-hand bat,Right-arm medium
23,Alamgir Kabir,Alamgir Kabir,BDESH,5,2.00,9.30,261.0,-,5.08,-,Right-hand bat,Right-arm medium-fast
24,Kabir Ali,Kabir Ali,ENG,2,5.00,35.71,216.0,27.20,3.77,43.2,Right-hand bat,Right-arm medium-fast
25,Moeen Ali,MM Ali,ENG,104,28.97,51.12,10972.0,36.59,3.62,60.6,Left-hand bat,Right-arm offbreak
26,Alok Kapali,Alok Kapali,BDESH,34,17.69,48.62,1103.0,118.16,3.85,183.8,Right-hand bat,Legbreak
27,Al-Amin Hossain,Al-Amin Hossain,BDESH,11,22.50,70.86,1015.9999999999999,60.55,3.21,112.8,Right-hand bat,Right-arm medium-fast
28,Al Sahariar,Al Sahariar,BDESH,28,23.75,52.03,-,-,-,-,Right-hand bat,Legbreak
29,Sunil Ambris,SW Ambris,WI,12,15.09,46.62,-,-,-,-,Right-hand bat,-
30,Tim Ambrose,TR Ambrose,ENG,16,29.80,46.41,-,-,-,-,Right-hand bat,-
31,Ishara Amerasinghe,MKDI Amerasinghe,SL,2,-,0.00,150.0,105.00,4.20,150.0,Right-hand bat,Right-arm fast-medium
32,Aminul Islam,Aminul Islam,BDESH,24,16.47,33.86,198.0,149.00,4.51,198.0,Right-hand bat,Right-arm offbreak
33,Amir Hamza,Amir Hamza,AFG,2,17.50,36.45,185.0,13.16,2.56,30.8,Right-hand bat,Slow left-arm orthodox
34,Hashim Amla,HM Amla,SA,215,46.64,49.97,54.0,-,4.11,-,Right-hand bat,"Right-arm medium, Right-arm offbreak"
35,Anamul Haque,Anamul Haque,BDESH,8,9.12,33.18,-,-,-,-,Right-hand bat,-
36,Corey Anderson,CJ Anderson,NZ,22,32.52,56.86,1302.0,41.18,3.03,81.3,Left-hand bat,Left-arm medium-fast
37,James Anderson,JM Anderson,ENG,215,9.68,39.92,33163.0,26.85,2.86,56.3,Left-hand bat,Right-arm fast-medium
38,Zafar Ansari,ZS Ansari,ENG,5,9.80,36.02,408.0,55.00,4.04,81.6,Left-hand bat,Slow left-arm orthodox
39,Anwar Hossain Monir,Anwar Hossain Monir,BDESH,6,7.33,30.13,348.0,-,5.29,-,Right-hand bat,Right-arm fast-medium
40,Anwar Hossain,Anwar Hossain,BDESH,2,7.00,31.81,-,-,-,-,Right-hand bat,-
41,Jofra Archer,JC Archer,ENG,15,8.20,50.82,2040.0,30.11,3.01,60.0,Right-hand bat,Right-arm fast
42,Ariful Haque,Ariful Haque,BDESH,4,29.33,55.34,66.0,24.00,2.18,66.0,Right-hand bat,Right-arm medium-fast
43,Brent Arnel,BJ Arnel,NZ,12,5.62,30.40,1008.0,62.88,3.36,112.0,Right-hand bat,Right-arm medium-fast
44,Russel Arnold,RP Arnold,SL,33,25.09,49.11,338.0,42.00,2.98,84.5,Left-hand bat,Right-arm offbreak
45,Arshad Khan,Arshad Khan,PAK,1,-,16.66,252.0,54.00,2.57,126.0,Right-hand bat,Right-arm offbreak
46,Asad Shafiq,Asad Shafiq,PAK,123,39.25,48.63,298.0,86.00,3.46,149.0,Right-hand bat,Right-arm offbreak
47,Asghar Afghan,Asghar Afghan,AFG,7,35.57,53.77,12.0,-,8.00,-,Right-hand bat,Right-arm medium-fast
48,Ravichandran Ashwin,R Ashwin,INDIA,98,28.10,54.61,19586.0,25.43,2.84,53.6,Right-hand bat,Right-arm offbreak
49,Asim Kamal,Asim Kamal,PAK,20,37.73,47.23,-,-,-,-,Left-hand bat,Right-arm offbreak
50,Nathan Astle,NJ Astle,NZ,61,37.42,54.39,2075.0,35.63,2.26,94.3,Right-hand bat,Right-arm medium
51,Todd Astle,TD Astle,NZ,6,19.60,38.13,667.0,52.57,3.31,95.2,Right-hand bat,Legbreak
52,Marvan Atapattu,MS Atapattu,SL,87,42.60,46.82,-,-,-,-,Right-hand bat,Legbreak
53,Mike Atherton,MA Atherton,ENG,19,23.57,37.17,-,-,-,-,Right-hand bat,Legbreak
54,Ryan Austin,RA Austin,WI,4,9.75,18.05,326.0,51.66,2.85,108.6,Right-hand bat,Right-arm offbreak
55,Azhar Ali,Azhar Ali,PAK,147,42.58,41.89,853.9999999999999,76.37,4.29,106.7,Right-hand bat,Legbreak
56,Azhar Mahmood,Azhar Mahmood,PAK,4,22.25,55.97,204.0,21.25,2.50,51.0,Right-hand bat,Right-arm fast-medium
57,Babar Azam,Babar Azam,PAK,48,45.12,56.90,-,-,-,-,Right-hand bat,Right-arm offbreak
58,Hemang Badani,HK Badani,INDIA,7,15.66,37.90,48.0,-,2.12,-,Left-hand bat,Slow left-arm orthodox
59,S Badrinath,S Badrinath,INDIA,3,21.00,35.39,-,-,-,-,Right-hand bat,Right-arm offbreak
60,Sairaj Bahutule,SV Bahutule,INDIA,4,13.00,37.14,366.0,67.66,3.32,122.0,Left-hand bat,Legbreak
61,George Bailey,GJ Bailey,AUS,8,26.14,58.84,-,-,-,-,Right-hand bat,Right-arm medium
