fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
0,Rosemary Alison Mair,RA Mair,NZ-W,4,5.00,0,1189.0,52.61,4.77,66.0,Right-hand bat,Right-arm medium
1,Amathagodage Don Hiroshi Abeysinghe,ADH Abeysinghe,SL-W,23,20.86,2,2081.0,22.71,2.55,53.3,Right-hand bat,Right-arm offbreak
2,Merissa Ria Aguilleira,MR Aguilleira,WI-W,100,20.61,6,5011.0,35.82,3.38,63.4,Right-hand bat,-
3,Aiman Anwer,Aiman Anwer,PAK-W,4,5.00,0,450.0,46.33,3.70,75.0,Right-hand bat,Right-arm medium-fast
4,Kirbyina Nasie Alexander,KN Alexander,WI-W,14,6.36,0,3015.0,59.75,3.32,107.6,Right-hand bat,Right-arm fast
5,Sarah Elizabeth Aley,SE Aley,AUS-W,1,-,0,6892.000000000001,29.39,2.53,69.6,Right-hand bat,Right-arm medium
6,Pamela Alfred,P Alfred,WI-W,4,13.25,0,-,-,-,-,Right-hand bat,Right-arm medium
7,Aliya Riaz,Aliya Riaz,PAK-W,25,17.78,2,528.0,123.66,4.21,176.0,Right-hand bat,Right-arm medium
8,Aaliyah Alicia Alleyne,AA Alleyne,WI-W,2,9.00,0,1394.0,32.45,3.35,58.0,Right-hand bat,Right-arm medium
9,Almas Akram,Almas Akram,PAK-W,10,6.00,0,166.0,16.33,3.54,27.6,Left-hand bat,Left-arm medium-fast
10,Nooshin Al Khadeer,N Al Khadeer,IND-W,27,8.05,0,190.0,17.50,3.31,31.6,Right-hand bat,Right-arm offbreak
11,Anam Amin,Anam Amin,PAK-W,13,1.66,0,99.99999999999999,-,3.24,-,Right-hand bat,Slow left-arm orthodox
12,Kari Anderson,K Anderson,SCO-W,8,16.62,0,2441.0,35.97,3.53,61.0,Right-hand bat,Right-arm medium
13,Kelly Sarah Anderson,KS Anderson,NZ-W,5,7.33,0,-,-,-,-,Right-hand bat,Right-arm medium
14,Olivia Victoria Anderson,OV Anderson,SA-W,5,37.00,0,-,-,-,-,Right-hand bat,-
15,Sarah Joy Andrews,SJ Andrews,AUS-W,15,10.20,0,344.0,47.40,4.13,68.8,Right-hand bat,Right-arm fast-medium
16,Armaan Khan,Armaan Khan,PAK-W,12,10.36,0,54.0,49.00,5.44,54.0,Right-hand bat,-
17,Lynsey Riann Frances Askew,LRF Askew,ENG-W,5,24.00,1,874.0,45.55,2.81,97.1,Right-hand bat,Right-arm medium
18,Sahar Aslam,S Aslam,SCO-W,3,0.00,0,3158.9999999999995,52.83,3.71,85.3,Right-hand bat,Right-arm medium
19,Asmavia Iqbal Khokhar,Asmavia Iqbal,PAK-W,81,15.89,0,-,-,-,-,Right-hand bat,Right-arm medium-fast
20,Candacy Atkins,C Atkins,WI-W,8,10.33,0,48.0,-,3.50,-,Right-hand bat,Right-arm medium
21,Caroline Mary Ghislaine Atkins,CMG Atkins,ENG-W,49,30.02,6,1200.0,31.90,3.19,60.0,Right-hand bat,-
22,Ayasha Rahman,Ayasha Rahman,BD-W,11,18.00,1,-,-,-,-,Right-hand bat,-
23,Ayesha Zafar,Ayesha Zafar,PAK-W,23,17.50,3,261.0,-,5.08,-,Right-hand bat,Legbreak
24,H M Chamika Madushani Bandara,HMCM Bandara,SL-W,1,3.00,0,216.0,27.20,3.77,43.2,Right-hand bat,Right-arm medium-fast
25,Josephine Barnard,J Barnard,SA-W,8,15.25,0,10972.0,36.59,3.62,60.6,Right-hand bat,Right-arm offbreak
26,Suzannah Wilson Bates,SW Bates,NZ-W,118,42.77,27,1103.0,118.16,3.85,183.8,Right-hand bat,Right-arm medium
27,Syeda Batool Fatima Naqvi,Batool Fatima,PAK-W,67,8.62,0,1015.9999999999999,60.55,3.21,112.8,Right-hand bat,Right-arm medium-fast
28,Emma Alice Beamish,EA Beamish,IRE-W,16,8.18,0,-,-,-,-,Right-hand bat,Right-arm medium-fast
29,Kristen Maree Beams,KM Beams,AUS-W,9,6.80,0,-,-,-,-,Right-hand bat,Legbreak googly
30,Tamsin Tilley Beaumont,TT Beaumont,ENG-W,63,41.87,9,-,-,-,-,Right-hand bat,-
31,Aoife Beggs,A Beggs,IRE-W,2,0.00,0,150.0,105.00,4.20,150.0,Right-hand bat,Right-arm medium
32,Caitriona Mary Beggs,CM Beggs,IRE-W,33,25.50,4,198.0,149.00,4.51,198.0,Right-hand bat,Right-arm medium
33,Susanna Maria Benade,SM Benade,SA-W,29,15.33,1,185.0,13.16,2.56,30.8,Right-hand bat,Right-arm medium-fast
34,Leonie Kelly Bennett,LK Bennett,NL-W,5,1.00,0,54.0,-,4.11,-,Right-hand bat,Slow left-arm orthodox
35,Erin Margaret Bermingham,EM Bermingham,NZ-W,21,11.68,0,-,-,-,-,Right-hand bat,Legbreak
36,Bernadine Bezuidenhout,B Bezuidenhout,NZ-W/SA-W,10,13.88,0,1302.0,41.18,3.03,81.3,Right-hand bat,-
37,Taniya Bhatia,T Bhatia,IND-W,8,20.16,1,33085.0,26.80,2.86,56.1,Right-hand bat,-
38,Rosalie Ann Birch,RA Birch,ENG-W,24,15.05,0,408.0,55.00,4.04,81.6,Right-hand bat,Right-arm offbreak
39,Ekta Bisht,E Bisht,IND-W,35,8.45,0,348.0,-,5.29,-,Left-hand bat,Slow left-arm orthodox
40,Bismah Maroof,Bismah Maroof,PAK-W,105,27.97,14,-,-,-,-,Left-hand bat,Legbreak
41,Alexandra Joy Blackwell,AJ Blackwell,AUS-W,124,36.00,25,1957.0000000000002,28.91,3.01,57.5,Right-hand bat,Right-arm medium
42,Katherine Anne Blackwell,KA Blackwell,AUS-W,34,19.00,2,66.0,24.00,2.18,66.0,Right-hand bat,Right-arm medium
43,Kirsten Blair,K Blair,SA-W,1,2.00,0,1008.0,62.88,3.36,112.0,Right-hand bat,Right-arm medium
44,Nicole Elizabeth Bolton,NE Bolton,AUS-W,50,41.21,12,338.0,42.00,2.98,84.5,Left-hand bat,Right-arm offbreak
45,Anneke Elizabeth Bosch,A Bosch,SA-W,2,8.50,0,252.0,54.00,2.57,126.0,Right-hand bat,Right-arm medium
46,Reniece Boyce,R Boyce,WI-W,4,5.25,0,298.0,86.00,3.46,149.0,Right-hand bat,-
