fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
0,Mohammad Ebrahim Sanuth,ME Sanuth,OMAN,1,5.00,71.42,1189.0,52.61,4.77,66.0,Left-hand bat,Right-arm offbreak
1,Aamer Ikram,Aamer Ikram,PORT,4,14.50,79.45,2081.0,22.71,2.55,53.3,-,-
2,Aamer Yamin,Aamer Yamin,PAK,1,-,250.00,5011.0,35.82,3.38,63.4,Right-hand bat,Right-arm medium
3,Syed Aamir Kaleem,Aamir Kaleem,OMAN,23,18.78,110.18,450.0,46.33,3.70,75.0,Left-hand bat,Slow left-arm orthodox
4,Aarif Sheikh,Aarif Sheikh,NEPAL,12,20.90,106.09,3015.0,59.75,3.32,107.6,Right-hand bat,Right-arm medium
5,Aaron Jones,Aaron Jones,USA,7,20.25,100.00,6892.000000000001,29.39,2.53,69.6,Right-hand bat,Legbreak googly
6,Zain Abbasi,Z Abbasi,Botsw,1,1.00,20.00,-,-,-,-,-,-
7,Abbas Saad Abdullah Alnadwi,Abbas Saad,Saudi,2,4.00,100.00,528.0,123.66,4.21,176.0,Right-hand bat,Legbreak googly
8,Kyle John Abbott,KJ Abbott,SA,6,11.50,115.00,1394.0,32.45,3.35,58.0,Right-hand bat,Right-arm fast-medium
9,Sean Anthony Abbott,SA Abbott,AUS,1,5.00,62.50,166.0,16.33,3.54,27.6,Right-hand bat,Right-arm fast-medium
10,Mohamed Abdulla,M Abdulla,MWI,5,37.33,112.00,190.0,17.50,3.31,31.6,Right-hand bat,Right-arm medium
11,Yusuf Adam Abdulla,YA Abdulla,SA,-,-,-,99.99999999999999,-,3.24,-,Left-hand bat,Left-arm fast-medium
12,Abdullah Akbarjan,Abdullah Akbarjan,Aut,1,29.00,170.58,2441.0,35.97,3.53,61.0,Left-hand bat,Slow left-arm orthodox
13,Abdullah Shaheen Mahmood,Abdullah Mahmood,DEN,1,2.00,100.00,-,-,-,-,Right-hand bat,Right-arm offbreak
14,Abdullah Sheikh,Abdullah Sheikh,NOR,2,6.50,72.22,-,-,-,-,Right-hand bat,Legbreak
15,Abdul-Shakoor Rahimzei,Abdul-Shakoor Rahimzei,GER,7,17.00,118.60,344.0,47.40,4.13,68.8,Right-hand bat,Right-arm offbreak
16,Abdul Majid Malik,Abdul Majid,BHR,3,15.00,115.38,54.0,49.00,5.44,54.0,Left-hand bat,Slow left-arm orthodox
17,Abdul Rahman Miralikhel,Abdul Rahman,Aut,-,-,-,874.0,45.55,2.81,97.1,Right-hand bat,Right-arm medium
18,Abdul Rashid Karim Dostikhel,Abdul Rashid,Belg,1,9.00,37.50,3158.9999999999995,52.83,3.71,85.3,Right-hand bat,-
19,Abdul Razzaq,Abdul Razzaq,PAK,29,20.68,116.61,-,-,-,-,Right-hand bat,Right-arm fast-medium
20,Sher Muhammad Abdul Shakoor,Abdul Shakoor,UAE,4,17.50,87.50,48.0,-,3.50,-,Right-hand bat,-
21,Abdul Shakoor,Abdul Shakoor,ROM,1,0.00,0.00,1200.0,31.90,3.19,60.0,Right-hand bat,Right-arm medium-fast
22,Abdul Waheed,Abdul Waheed,Saudi,3,32.00,160.00,-,-,-,-,Right-hand bat,Right-arm offbreak
23,Abdul Wahid,Abdul Wahid,Saudi,5,10.75,95.55,261.0,-,5.08,-,Right-hand bat,Right-arm medium
24,Abdur Rauf Khan,Abdur Rauf,PAK,-,-,-,216.0,27.20,3.77,43.2,Right-hand bat,Right-arm fast-medium
25,Abdur Razzak,Abdur Razzak,BDESH,20,4.10,55.40,10972.0,36.59,3.62,60.6,Left-hand bat,Slow left-arm orthodox
26,Abdur Rehman,Abdur Rehman,PAK,5,11.00,75.86,1103.0,118.16,3.85,183.8,Left-hand bat,Slow left-arm orthodox
27,Abiodun Stephen Abioye,AS Abioye,NGA,1,-,-,1015.9999999999999,60.55,3.21,112.8,Right-hand bat,Right-arm medium
28,Isaac Kofi Otuafo Aboagye,IKO Aboagye,Ghana,4,4.00,43.24,-,-,-,-,Right-hand bat,Right-arm medium
29,Michael Aboagye,M Aboagye,Ghana,3,23.50,88.67,-,-,-,-,Right-hand bat,Legbreak
30,Rasheed Ayomide Abolarin,RA Abolarin,NGA,-,-,-,-,-,-,-,Right-hand bat,Right-arm medium-fast
31,Muhammad Abraash Khan,Abraash Khan,CAN,4,16.50,110.00,150.0,105.00,4.20,150.0,Right-hand bat,Right-arm medium
32,Abrar Bilal,Abrar Bilal,Aut,3,27.50,127.90,198.0,149.00,4.51,198.0,Right-hand bat,-
33,Mohammed Abul Hasan,Abul Hasan,BDESH,2,7.00,127.27,185.0,13.16,2.56,30.8,Left-hand bat,Right-arm medium-fast
34,Abu Hider Rony,Abu Hider,BDESH,5,58.00,134.88,54.0,-,4.11,-,Right-hand bat,Left-arm fast-medium
35,Abu Jayed Chowdhury,Abu Jayed,BDESH,2,1.50,42.85,-,-,-,-,Right-hand bat,Right-arm fast-medium
36,Aahan Gopinath Achar,AG Achar,SGP,2,-,100.00,1302.0,41.18,3.03,81.3,Left-hand bat,Slow left-arm orthodox
37,Fred Achelam,F Achelam,UGA,3,12.00,48.00,33085.0,26.80,2.86,56.1,Right-hand bat,-
38,Colin Niel Ackermann,CN Ackermann,NL,11,30.37,123.97,408.0,55.00,4.04,81.6,Right-hand bat,Right-arm offbreak
39,Mark Richard Adair,MR Adair,IRE,15,14.36,124.40,348.0,-,5.29,-,Right-hand bat,Right-arm fast
40,Andre Ryan Adams,AR Adams,NZ,2,13.00,108.33,-,-,-,-,Right-hand bat,Right-arm fast-medium
41,Abdul Wahab Hashmi,Abdul Hashmi,DEN,5,17.50,106.06,1957.0000000000002,28.91,3.01,57.5,Right-hand bat,-
42,Joseph Oluwasesan Adedeji,S Adedeji,NGA,6,22.25,78.07,66.0,24.00,2.18,66.0,Right-hand bat,Right-arm offbreak
43,Adel Kolasangiani,Adel Kolasangiani,Iran,1,-,50.00,1008.0,62.88,3.36,112.0,Right-hand bat,Right-arm medium
44,Vincent Dimeji Adewoye,VD Adewoye,NGA,6,11.75,111.90,338.0,42.00,2.98,84.5,-,-
45,Adil Butt,Adil Butt,Saudi,2,8.00,80.00,252.0,54.00,2.57,126.0,Right-hand bat,Right-arm medium
46,Muhammad Adil Hanif,Adil Hanif,BHR,2,12.00,104.34,298.0,86.00,3.46,149.0,Right-hand bat,Right-arm offbreak
47,Adnan Idrees,Adnan Idrees,KUW,6,43.16,164.96,12.0,-,8.00,-,Right-hand bat,Right-arm offbreak
48,Adnan Ilyas,Adnan Ilyas,OMAN,11,23.45,118.34,19586.0,25.43,2.84,53.6,Right-hand bat,Right-arm medium
49,Adnan Mufti,Adnan Mufti,UAE,1,-,85.71,-,-,-,-,Left-hand bat,Right-arm medium
50,Nikhil Advani,N Advani,GIBR,1,2.00,50.00,2075.0,35.63,2.26,94.3,Right-hand bat,Right-arm offbreak
51,Afif Hossain Dhrubo,Afif Hossain,BDESH,9,12.55,121.50,667.0,52.57,3.31,95.2,Left-hand bat,Right-arm offbreak
52,Afsar Khan Zazai,Afsar Zazai,AFG,1,9.00,42.85,-,-,-,-,Right-hand bat,-
53,Aftab Ahmed Chowdhury,Aftab Ahmed,BDESH,11,22.80,128.08,-,-,-,-,Right-hand bat,Right-arm medium
54,Aftab Ahmed,Aftab Ahmed,2),1,10.00,76.92,326.0,51.66,2.85,108.6,Right-hand bat,Right-arm medium
55,Aftab Alam,Aftab Alam,AFG,5,1.00,22.22,853.9999999999999,76.37,4.29,106.7,Right-hand bat,Right-arm medium-fast
56,Aftab Hussain,Aftab Hussain,HKG,2,-,150.00,204.0,21.25,2.50,51.0,Right-hand bat,Slow left-arm orthodox
57,Ragheb Gul Aga,RG Aga,KENYA,18,13.31,108.67,-,-,-,-,Right-hand bat,Right-arm medium-fast
58,Ashton Charles Agar,AC Agar,AUS,10,14.85,110.63,48.0,-,2.12,-,Left-hand bat,Slow left-arm orthodox
59,Ajit Bhalchandra Agarkar,AB Agarkar,INDIA,2,7.50,136.36,-,-,-,-,Right-hand bat,Right-arm fast
60,George Joseph Agius,GJ Agius,MALTA,2,1.50,20.00,366.0,67.66,3.32,122.0,Right-hand bat,Right-arm fast
61,Pratik Agnihotri,P Agnihotri,NOR,2,12.50,69.44,-,-,-,-,Right-hand bat,-
62,Saif Ali Ahmad,SA Ahmad,DEN,3,23.00,85.18,-,-,-,-,Left-hand bat,Right-arm offbreak
63,Agagyul Ahmadhel,A Ahmadhel,,2,8.00,100.00,660.0,79.00,3.59,132.0,Right-hand bat,Right-arm medium
64,Khaleel Khursheed Ahmed,KK Ahmed,INDIA,1,-,100.00,1755.9999999999998,37.18,3.43,65.0,Right-hand bat,Left-arm medium
65,Rahil Izhar Ahmed,RI Ahmed,NL,2,19.00,76.00,6.0,-,8.00,-,Right-hand bat,-
66,Ahmed Ibrahim Raid,Ahmed Raid,Mald,-,-,-,612.0,114.33,3.36,204.0,Right-hand bat,Slow left-arm orthodox
67,Ahmed Faiz Mohammad Noor,Ahmed Faiz,MAL,17,27.25,116.89,12.0,-,2.50,-,Right-hand bat,Legbreak
68,Ahmed Hassan,Ahmed Hassan,Mald,10,18.90,98.43,-,-,-,-,Right-hand bat,Right-arm offbreak
69,Ahmed Raza,Ahmed Raza,UAE,16,11.00,76.15,1026.0,34.62,3.23,64.1,Right-hand bat,Slow left-arm orthodox
70,Ahmed Shehzad,Ahmed Shehzad,PAK,59,25.80,114.74,426.0,53.75,3.02,106.5,Right-hand bat,Legbreak
71,Ahmed Wardak,Ahmed Wardak,GER,4,13.50,71.05,762.0,49.00,2.70,108.8,Right-hand bat,Left-arm medium
72,Ahsan Ali Abbasi,Ahsan Abbasi,HKG,6,13.33,91.95,2401.0,48.82,3.41,85.7,Right-hand bat,Right-arm offbreak
73,Ahsan Ali,Ahsan Ali,PAK,2,18.00,92.30,6.0,-,4.00,-,Right-hand bat,Legbreak
