fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
Ben Matthew Duckett,BM Duckett,ENG,7,15.71,57.89,-,-,-,-,Left-hand bat,Right-arm offbreak
Terrence Duffin,T Duffin,ZIM,4,20,44.69,-,-,-,-,Left-hand bat,Right-arm medium
Jean-Paul Duminy,JP Duminy,SA,74,32.85,46.28,2703,38.11,3.55,64.3,Left-hand bat,Right-arm offbreak
Francois du Plessis,F du Plessis,SA,112,39.8,45.45,78,-,5.3,-,Right-hand bat,Legbreak
Ebadot Hossain Chowdhury,Ebadat Hossain,BDESH,10,0.66,11.42,852,89.33,3.77,142,Right-hand bat,Right-arm fast-medium
Dion Digby Ebrahim,DD Ebrahim,ZIM,55,22.68,39.31,-,-,-,-,Right-hand bat,Right-arm medium
Fidel Henderson Edwards,FH Edwards,WI,88,6.56,28.2,9602,37.87,3.9,58.1,Right-hand bat,Right-arm fast
Kirk Anton Edwards,KA Edwards,WI,32,31.8,48.05,24,-,4.75,-,Right-hand bat,Right-arm offbreak
Ehsanul Haque,Ehsanul Haque,BDESH,2,3.5,22.58,18,-,6,-,Right-hand bat,Right-arm offbreak
Ehsan Adil,Ehsan Adil,PAK,4,5.25,51.21,481,52.6,3.28,96.2,Right-hand bat,Right-arm fast-medium
Dean Elgar,D Elgar,SA,110,38.49,45.89,1023,43.93,3.86,68.2,Left-hand bat,Slow left-arm orthodox
Mohammad Elias Sunny,Elias Sunny,BDESH,6,7.6,26.57,863,43.16,3.6,71.9,Left-hand bat,Slow left-arm orthodox
Grant David Elliott,GD Elliott,NZ,9,10.75,26.7,282,35,2.97,70.5,Right-hand bat,Right-arm medium
Matthew Thomas Gray Elliott,MTG Elliott,AUS,2,0.5,9.09,-,-,-,-,Left-hand bat,Left-arm medium
Steven Elworthy,S Elworthy,SA,2,5.5,45.83,351,51.5,3.52,87.7,Right-hand bat,Right-arm fast-medium
Lasith Embuldeniya,L Embuldeniya,SL,9,6.22,31.11,2031,39.8,3.52,67.7,Left-hand bat,Slow left-arm orthodox
Enamul Haque,Enamul Haque,BDESH,19,12,34.61,2230,57.05,2.76,123.8,Left-hand bat,Slow left-arm orthodox
Enamul Haque jnr,Enamul Haque jnr,BDESH,26,5.9,21.77,3555,40.61,3.01,80.7,Right-hand bat,Slow left-arm orthodox
Ranaweera Mudiyanselage Shaminda Eranga,RMS Eranga,SL,26,12.86,41.15,3891,37.5,3.29,68.2,Right-hand bat,Right-arm fast-medium
Craig Richard Ervine,CR Ervine,ZIM,36,35.52,49.2,-,-,-,-,Left-hand bat,Right-arm offbreak
Sean Michael Ervine,SM Ervine,ZIM,8,32.62,55.41,570,43.11,4.08,63.3,Left-hand bat,"Right-arm medium, Right-arm offbreak"
Craig Neil Evans,CN Evans,ZIM,2,13.5,33.75,-,-,-,-,Right-hand bat,Right-arm medium
Gavin Mackie Ewing,GM Ewing,ZIM,6,18,62.06,426,130,3.66,213,Right-hand bat,Right-arm offbreak
Faheem Ashraf,Faheem Ashraf,PAK,6,23,70.05,540,26.09,3.18,49,Left-hand bat,Right-arm medium
Fahim Muntasir Rahman,Fahim Muntasir,BDESH,6,8.66,60.46,576,68.4,3.56,115.2,Right-hand bat,Right-arm offbreak
Faisal Hossain,Faisal Hossain,BDESH,2,3.5,25.92,-,-,-,-,Left-hand bat,Slow left-arm orthodox
Faisal Iqbal,Faisal Iqbal,PAK,44,26.76,44.16,6,-,7,-,Right-hand bat,Right-arm offbreak
Fakhar Zaman,Fakhar Zaman,PAK,6,32,53.48,-,-,-,-,Left-hand bat,Slow left-arm orthodox
Mohammad Farhan Adil,Farhan Adil,PAK,2,16.5,47.82,-,-,-,-,Right-hand bat,Right-arm offbreak
James Peter Faulkner,JP Faulkner,AUS,2,22.5,104.65,166,16.33,3.54,27.6,Right-hand bat,Left-arm fast-medium
Fawad Alam,Fawad Alam,PAK,6,41.66,56.68,-,-,-,-,Left-hand bat,Slow left-arm orthodox
Fazl-e-Akbar Durrani,Fazl-e-Akbar,PAK,5,12.33,41.11,642,51.42,3.36,91.7,Right-hand bat,Right-arm fast-medium
Callum James Ferguson,CJ Ferguson,AUS,2,2,17.39,-,-,-,-,Right-hand bat,Right-arm medium
Lachlan Hammond Ferguson,LH Ferguson,NZ,2,-,11.11,66,-,4.27,-,Right-hand bat,Right-arm fast
Aththachchi Nuwan Pradeep Roshan Fernando,N Pradeep,SL,50,4,36.56,5077,42.9,3.54,72.5,Right-hand bat,Right-arm fast-medium
Bodiyabaduge Oshada Piyumal Fernando,BOP Fernando,SL,11,43.66,50,18,-,6.33,-,Right-hand bat,Legbreak
Congenige Randhi Dilhara Fernando,CRD Fernando,SL,44,8.24,35.09,5804,38.81,3.69,63,Right-hand bat,Right-arm fast-medium
Kandana Arachchige Dinusha Manoj Fernando,KADM Fernando,SL,3,28,43.41,126,107,5.09,126,Right-hand bat,Right-arm fast-medium
Kandage Hasantha Ruwan Kumara Fernando,KHRK Fernando,SL,4,9.5,48.1,234,27,2.76,58.5,Right-hand bat,Right-arm medium-fast
Muthuthanthrige Vishwa Thilina Fernando,MVT Fernando,SL,12,9,26.86,1293,33.56,3.58,56.2,Right-hand bat,Left-arm medium-fast
Thudellage Charitha Buddhika Fernando,TCB Fernando,SL,8,26.4,39.75,1270,44,3.74,70.5,Right-hand bat,Right-arm fast-medium
Neil Robert Ferreira,NR Ferreira,ZIM,2,10.5,21.21,-,-,-,-,Left-hand bat,Right-arm offbreak
Aaron James Finch,AJ Finch,AUS,10,27.8,44.98,12,-,4,-,Right-hand bat,Slow left-arm orthodox
Steven Thomas Finn,ST Finn,ENG,47,11.16,30.96,6412,30.4,3.55,51.2,Right-hand bat,Right-arm fast-medium
Damien William Fleming,DW Fleming,AUS,1,6,28.57,180,99,3.3,180,Right-hand bat,Right-arm fast-medium
Stephen Paul Fleming,SP Fleming,NZ,89,44.11,49.8,-,-,-,-,Left-hand bat,-
Andrew Flintoff,A Flintoff,ENG/ICC,116,33.75,62.73,14124,32.07,2.98,64.4,Right-hand bat,Right-arm fast-medium
Andrew Flower,A Flower,ZIM,26,53.13,54.22,2,-,12,-,Left-hand bat,Right-arm offbreak
Grant William Flower,GW Flower,ZIM,37,27.48,34.65,1537,45.25,2.82,96,Right-hand bat,Slow left-arm orthodox
Daniel Raymond Flynn,DR Flynn,NZ,45,25.95,40.23,6,-,0,-,Left-hand bat,Left-arm slow
Benjamin Thomas Foakes,BT Foakes,ENG,10,41.5,53.8,-,-,-,-,Right-hand bat,-
James Savin Foster,JS Foster,ENG,12,25.11,34.55,-,-,-,-,Right-hand bat,-
James Edward Charles Franklin,JEC Franklin,NZ,46,20.71,37.35,4767,33.97,3.5,58.1,Left-hand bat,Left-arm medium
Travis John Friend,TJ Friend,ZIM,19,29.8,43.82,2000,43.6,3.27,80,Right-hand bat,Right-arm fast-medium
Assad Badyr Fudadin,AB Fudadin,WI,5,30.5,32.1,30,-,2.2,-,Left-hand bat,Right-arm medium-fast
Peter Gordon Fulton,PG Fulton,NZ,39,25.44,39.27,-,-,-,-,Right-hand bat,Right-arm medium
Shannon Terry Gabriel,ST Gabriel,WI,69,4.63,36.69,7653,30.52,3.39,53.8,Right-hand bat,Right-arm fast
Panagamuwa Lahiru Sampath Gamage,PLS Gamage,SL,8,1.5,6.06,1112,57.3,3.09,111.2,Right-hand bat,Right-arm fast-medium
Gautam Gambhir,G Gambhir,INDIA,104,41.95,51.49,12,-,2,-,Left-hand bat,Legbreak
Daren Ganga,D Ganga,WI,72,28.25,40.39,186,106,3.41,186,Right-hand bat,Right-arm offbreak
Sourav Chandidas Ganguly,SC Ganguly,INDIA,124,39.83,53.4,1800,80,3.2,150,Left-hand bat,Right-arm medium
Leon Vivian Garrick,LV Garrick,WI,2,13.5,35.52,-,-,-,-,Right-hand bat,Right-arm medium
Christopher Henry Gayle,CH Gayle,WI,177,43.1,60.51,6851,43.76,2.64,99.2,Left-hand bat,Right-arm offbreak
Peter Robert George,PR George,AUS,2,1,18.18,168,38.5,2.75,84,Right-hand bat,Right-arm fast-medium
Herschelle Herman Gibbs,HH Gibbs,SA,119,44.85,52.01,6,-,4,-,Right-hand bat,Right-arm bowler
Adam Craig Gilchrist,AC Gilchrist,AUS,118,46.93,83.45,-,-,-,-,Left-hand bat,Right-arm offbreak
Ashley Fraser Giles,AF Giles,ENG,76,20.73,47.11,10872,42.32,2.91,86.9,Right-hand bat,Slow left-arm orthodox
Jason Neil Gillespie,JN Gillespie,AUS,68,19.16,33.51,11384,28.24,2.84,59.6,Right-hand bat,Right-arm fast
Mark Raymond Gillespie,MR Gillespie,NZ,8,10.85,56.71,868,28.68,4.36,39.4,Right-hand bat,Right-arm fast-medium
Darren Gough,D Gough,ENG,19,13.07,51.11,2212,31,3.86,48,Right-hand bat,Right-arm fast-medium
Trevor Raymond Gripper,TR Gripper,ZIM,24,27.56,38.8,669,85.6,3.83,133.8,Right-hand bat,Right-arm offbreak
Downdegedara Asela Sampath Gunaratne,DAS Gunaratne,SL,10,56.87,52.84,156,38,4.38,52,Right-hand bat,Right-arm medium-fast
Mashtayage Danushka Gunathilaka,MD Gunathilaka,SL,16,18.68,50.08,198,111,3.36,198,Left-hand bat,Right-arm offbreak
Dihan Avishka Gunawardene,DA Gunawardene,SL,7,13.85,45.75,-,-,-,-,Left-hand bat,-
Martin James Guptill,MJ Guptill,NZ,89,29.38,46.61,428,37.25,4.17,53.5,Right-hand bat,Right-arm offbreak
Qazi Habibul Bashar,Habibul Bashar,BDESH,97,30.46,60.37,234,-,4.56,-,Right-hand bat,Right-arm offbreak
Bradley James Haddin,BJ Haddin,AUS,112,32.98,58.45,-,-,-,-,Right-hand bat,-
Alexander Daniel Hales,AD Hales,ENG,21,27.28,43.84,18,-,0.66,-,Right-hand bat,Right-arm medium
Andrew James Hall,AJ Hall,SA,33,26.2,46.06,3001,35.93,3.23,66.6,Right-hand bat,Right-arm fast-medium
Haseeb Hameed,H Hameed,ENG,6,43.8,34.21,-,-,-,-,Right-hand bat,Legbreak
Jahmar Neville Hamilton,JN Hamilton,WI,2,2.5,8.19,-,-,-,-,Right-hand bat,-
Peter Stephen Patrick Handscomb,PSP Handscomb,AUS,29,38.91,49.83,-,-,-,-,Right-hand bat,-
Abdul Hannan Sarkar,Hannan Sarkar,BDESH,33,20.06,46.65,-,-,-,-,Right-hand bat,Right-arm medium
Harbhajan Singh,Harbhajan Singh,INDIA,134,18.74,65.58,26866,32.13,2.84,67.8,Right-hand bat,Right-arm offbreak
Haris Sohail,Haris Sohail,PAK,23,37.22,45.02,594,21.15,2.77,45.6,Left-hand bat,Slow left-arm orthodox
Simon Ross Harmer,SR Harmer,SA,6,11.6,33.33,1148,29.4,3.07,57.4,Right-hand bat,Right-arm offbreak
Stephen James Harmison,SJ Harmison,ENG/ICC,86,11.79,57.19,13375,31.82,3.22,59.1,Right-hand bat,Right-arm fast-medium
Chris Zinzan Harris,CZ Harris,NZ,8,24.37,39.15,318,166,3.13,318,Left-hand bat,Right-arm medium
Marcus Sinclair Harris,MS Harris,AUS,17,24.06,52.23,-,-,-,-,Left-hand bat,-
Paul Lee Harris,PL Harris,SA,48,10.69,33.89,8809,37.87,2.65,85.5,Right-hand bat,Slow left-arm orthodox
Ryan James Harris,RJ Harris,AUS,39,21.53,63.14,5736,23.52,2.78,50.7,Right-hand bat,Right-arm fast
Robert Garry Hart,RG Hart,NZ,19,16.25,25.69,-,-,-,-,Right-hand bat,-
Harvinder Singh,Harvinder Singh,INDIA,1,6,35.29,135,43.5,3.86,67.5,Right-hand bat,Right-arm fast-medium
Hasan Ali,Hasan Ali,PAK,15,15.5,93.93,1737,28.9,3.09,56,Right-hand bat,Right-arm medium-fast
Hasan Raza,Hasan Raza,PAK,8,29.28,38.38,6,-,1,-,Right-hand bat,Right-arm offbreak
Hashmatullah Shahidi,Hashmatullah Shahidi,AFG,6,34.5,41.07,-,-,-,-,Left-hand bat,Right-arm offbreak
Mohammad Hasibul Hossain,Hasibul Hossain,BDESH,8,8.62,88.46,630,96,4.57,126,Right-hand bat,Right-arm fast-medium
John Wayne Hastings,JW Hastings,AUS,2,26,59.09,234,153,3.92,234,Right-hand bat,Right-arm fast-medium
Nathan Michael Hauritz,NM Hauritz,AUS,24,25.05,49.88,4200,34.98,3.14,66.6,Right-hand bat,Right-arm offbreak
Matthew Lawrence Hayden,ML Hayden,AUS,164,53.98,61.19,42,-,4.42,-,Left-hand bat,Right-arm medium
Mornantau Hayward,M Hayward,SA,10,6.66,33.33,1787,31.48,3.7,51,Right-hand bat,Right-arm fast
Josh Reginald Hazlewood,JR Hazlewood,AUS,62,12.18,44.27,11019,26.2,2.78,56.5,Left-hand bat,Right-arm fast-medium
Travis Michael Head,TM Head,AUS,28,41.96,50.41,126,-,3.61,-,Left-hand bat,Right-arm offbreak
Claude William Henderson,CW Henderson,SA,7,9.28,32.17,1962,42.18,2.83,89.1,Right-hand bat,Slow left-arm orthodox
Beuran Eric Hendricks,BE Hendricks,SA,2,9,50,231,29.16,4.54,38.5,Left-hand bat,Left-arm fast-medium
Moises Constantino Henriques,MC Henriques,AUS,8,23.42,47.39,330,82,2.98,165,Right-hand bat,Right-arm fast-medium
Matthew James Henry,MJ Henry,NZ,16,18.66,76.45,2761,50.16,3.27,92,Right-hand bat,Right-arm fast-medium
Herath Mudiyanselage Rangana Keerthi Bandara Herath,HMRKB Herath,SL,141,15,50.19,25360,27.74,2.8,59.3,Left-hand bat,Slow left-arm orthodox
Shimron Odilon Hetmyer,SO Hetmyer,WI,30,27.93,73.63,-,-,-,-,Left-hand bat,-
Dinuk Sulaksana Hettiarachchi,D Hettiarachchi,SL,2,0,0,162,20.5,1.51,81,Right-hand bat,Slow left-arm orthodox
Graeme Ashley Hick,GA Hick,ENG,4,6.75,26.47,24,-,2,-,Right-hand bat,Right-arm offbreak
Benjamin William Hilfenhaus,BW Hilfenhaus,AUS,38,13.65,54.19,6078,28.5,2.78,61.3,Right-hand bat,Right-arm fast-medium
Ryan O'Neal Hinds,RO Hinds,WI,25,21.04,40.56,1743,66.92,2.99,134,Left-hand bat,Slow left-arm orthodox
Wavell Wayne Hinds,WW Hinds,WI,57,33.7,48.22,1123,36.87,3.15,70.1,Left-hand bat,Right-arm medium
Bradley John Hodge,BJ Hodge,AUS,11,55.88,52.12,12,-,4,-,Right-hand bat,Right-arm offbreak
George Bradley Hogg,GB Hogg,AUS,8,36.2,54.02,1422,54,3.64,88.8,Left-hand bat,Slow left-arm chinaman
Matthew James Hoggard,MJ Hoggard,ENG,91,7.09,22.24,13831,30.3,3.26,55.7,Right-hand bat,Right-arm fast-medium
Jason Omar Holder,JO Holder,WI,73,32.03,59.17,7009,26.22,2.55,61.4,Right-hand bat,Right-arm medium-fast
Jonathan Mark Holland,JM Holland,AUS,7,3,13.04,960,63.77,3.58,106.6,Right-hand bat,Slow left-arm orthodox
Douglas Tafadzwa Hondo,DT Hondo,ZIM,15,9.22,24.55,1486,36.85,3.12,70.7,Right-hand bat,Right-arm fast-medium
Carl Llewellyn Hooper,CL Hooper,WI,37,45.97,48.62,3395,60.14,2.23,161.6,Right-hand bat,Right-arm offbreak
Kyle Antonio Hope,KA Hope,WI,9,11.22,40.4,-,-,-,-,Right-hand bat,Right-arm offbreak
Shai Diego Hope,SD Hope,WI,62,26.35,42.14,-,-,-,-,Right-hand bat,-
Gareth James Hopkins,GJ Hopkins,NZ,7,11.83,25.63,-,-,-,-,Right-hand bat,-
Matthew Jeffery Horne,MJ Horne,NZ,11,16.36,34.22,-,-,-,-,Right-hand bat,Right-arm medium
Jamie Michael How,JM How,NZ,35,22.7,50.45,12,-,2,-,Right-hand bat,"Right-arm medium, Right-arm offbreak"
Phillip Joel Hughes,PJ Hughes,AUS,49,32.65,53.55,-,-,-,-,Left-hand bat,-
Humayun Farhat,Humayun Farhat,PAK,2,27,84.37,-,-,-,-,Right-hand bat,-
Nasser Hussain,N Hussain,ENG,71,39.48,43.12,-,-,-,-,Right-hand bat,Legbreak
Michael Edward Killeen Hussey,MEK Hussey,AUS,137,51.52,50.13,588,43.71,3.12,84,Left-hand bat,Right-arm medium
Ibrahim Zadran,Ibrahim Zadran,AFG,4,37,38.14,-,-,-,-,Right-hand bat,Right-arm medium-fast
Iftikhar Ahmed,Iftikhar Ahmed,PAK,5,9.6,39.34,188,141,4.5,188,Right-hand bat,Right-arm offbreak
Rao Iftikhar Anjum,Iftikhar Anjum,PAK,1,-,23.07,84,-,4.42,-,Right-hand bat,Right-arm medium
Ihsanullah Janat,Ihsanullah,AFG,6,22,43.47,-,-,-,-,Right-hand bat,-
Ijaz Ahmed,Ijaz Ahmed,PAK,3,11,33,-,-,-,-,Right-hand bat,Left-arm medium
Ikram Alikhil,Ikram Alikhil,AFG,1,7,17.5,-,-,-,-,Left-hand bat,-
Imam-ul-Haq,Imam-ul-Haq,PAK,21,25.52,46.54,-,-,-,-,Left-hand bat,-
Imran Farhat,Imran Farhat,PAK,77,32,48.28,427,94.66,3.99,142.3,Left-hand bat,Legbreak
Mohammad Imran Khan,Imran Khan,PAK,10,2.28,32,1636,31.62,3.36,56.4,Right-hand bat,Right-arm medium-fast
Imran Nazir,Imran Nazir,PAK,5,36.6,55.62,-,-,-,-,Right-hand bat,Legbreak
Mohammad Imran Tahir,Imran Tahir,SA,23,9.28,55.31,3925,40.24,3.5,68.8,Right-hand bat,Legbreak googly
Imrul Kayes,Imrul Kayes,BDESH,76,24.28,48.02,24,-,3,-,Left-hand bat,Slow left-arm orthodox
Peter John Ingram,PJ Ingram,NZ,4,15.25,40.39,-,-,-,-,Right-hand bat,Right-arm offbreak
Inzamam-ul-Haq,Inzamam-ul-Haq,ICC/PAK,84,54.36,57.16,-,-,-,-,Right-hand bat,Slow left-arm orthodox
Ridley Detamore Jacobs,RD Jacobs,WI,67,31.35,49.58,-,-,-,-,Left-hand bat,-
Ravindrasinh Anirudhsinh Jadeja,RA Jadeja,INDIA,71,35.26,63.76,12912,24.62,2.43,60.6,Left-hand bat,Slow left-arm orthodox
Wasim Jaffer,W Jaffer,INDIA,54,35.81,48.74,66,9,1.63,33,Right-hand bat,Right-arm offbreak
Amit Sheldon Jaggernauth,AS Jaggernauth,WI,2,0,0,138,96,4.17,138,Left-hand bat,Right-arm offbreak
Mohammad Jahurul Islam,Jahurul Islam,BDESH,14,26.69,38.47,-,-,-,-,Right-hand bat,Right-arm offbreak
Kyle Alex Jamieson,KA Jamieson,NZ,2,46.5,86.11,342,16.33,2.57,38,Right-hand bat,Right-arm medium
Philip Anthony Jaques,PA Jaques,AUS,19,47.47,54.23,-,-,-,-,Left-hand bat,Left-arm medium
Kyle Malcolm Jarvis,KM Jarvis,ZIM,24,9.14,33.33,2511,29.43,3.23,54.5,Right-hand bat,Right-arm fast-medium
Mohammad Javed Ahmadi,Javed Ahmadi,AFG,4,26.25,54.4,6,-,9,-,Right-hand bat,Right-arm offbreak
Mohammad Javed Omar Belim,Javed Omar,BDESH,80,22.05,38.14,6,-,12,-,Right-hand bat,Legbreak
Madurawelage Don Udara Supeksha Jayasundera,MDUS Jayasundera,SL,4,7.5,38.96,42,-,6.42,-,Left-hand bat,Legbreak
Sanath Teran Jayasuriya,ST Jayasuriya,SL,96,38.46,66.69,4837,30.29,2.29,79.2,Left-hand bat,Slow left-arm orthodox
Denagamage Proboth Mahela de Silva Jayawardene,DPMD Jayawardene,SL,212,50.95,51.96,185,50,3.24,92.5,Right-hand bat,Right-arm medium
Hewasandatchige Asiri Prasanna Wishvanath Jayawardene,HAPW Jayawardene,SL,83,29.5,48.7,-,-,-,-,Right-hand bat,-
Keaton Kent Jennings,KK Jennings,ENG,32,25.19,42.49,73,-,4.52,-,Left-hand bat,Right-arm medium-fast
Leon Rayon Johnson,LR Johnson,WI,16,25.18,48.43,24,-,2.25,-,Left-hand bat,Legbreak
Mitchell Guy Johnson,MG Johnson,AUS,109,22.2,58.39,16001,28.4,3.33,51.1,Left-hand bat,Left-arm fast
Richard Leonard Johnson,RL Johnson,ENG,4,14.75,58.41,547,17.18,3.01,34.1,Right-hand bat,Right-arm medium
Geraint Owen Jones,GO Jones,ENG,53,23.91,54.13,-,-,-,-,Right-hand bat,-
Richard Andrew Jones,RA Jones,NZ,2,11.5,25.27,-,-,-,-,Right-hand bat,-
Simon Philip Jones,SP Jones,ENG,18,15.76,51.89,2821,28.23,3.54,47.8,Left-hand bat,Right-arm fast-medium
Christopher James Jordan,CJ Jordan,ENG,11,18,56.25,1530,35.8,2.94,72.8,Right-hand bat,Right-arm fast-medium
Alzarri Shaheim Joseph,AS Joseph,WI,18,7.94,47.82,1862,35.82,3.23,66.5,Right-hand bat,Right-arm fast-medium
Sylvester Cleofoster Joseph,SC Joseph,WI,10,14.7,37.78,12,-,4,-,Right-hand bat,Right-arm offbreak
Edmund Christopher Joyce,EC Joyce,IRE,2,23.5,46.07,-,-,-,-,Left-hand bat,Right-arm medium
Jubair Hossain,Jubair Hossain,BDESH,5,4.33,14.77,715,30.81,4.13,44.6,Right-hand bat,Legbreak
Mohammad Junaid Khan,Junaid Khan,PAK,28,7.17,39.86,4605,31.73,2.93,64.8,Right-hand bat,Left-arm fast
Mohammad Junaid Siddique,Junaid Siddique,BDESH,37,26.18,41.39,18,-,3.66,-,Left-hand bat,Right-arm offbreak
Mohammad Kaif,M Kaif,INDIA,20,34.64,40.93,-,-,-,-,Right-hand bat,Right-arm offbreak
Indika Shantha Kumara Kalavitigoda,S Kalavitigoda,SL,2,4,14.81,-,-,-,-,Right-hand bat,-
Jacques Henry Kallis,JH Kallis,ICC/SA,211,59.55,48.75,15073,33.56,2.96,67.8,Right-hand bat,Right-arm fast-medium
Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,S Randiv,SL,17,9.18,30.62,3146,37.51,3.07,73.1,Right-hand bat,Right-arm offbreak
Romesh Shantha Kaluwitharana,RS Kaluwitharana,SL,16,21.62,57.85,-,-,-,-,Right-hand bat,-
Kamran Akmal,Kamran Akmal,PAK,92,30.79,63.1,-,-,-,-,Right-hand bat,-
Kamrul Islam Rabbi,Kamrul Islam Rabbi,BDESH,14,5.66,18.14,750,63,4.03,93.7,Right-hand bat,Right-arm medium-fast
Tafadzwa Paul Kamungozi,TP Kamungozi,ZIM,2,2.5,50,156,58,2.23,156,Right-hand bat,Legbreak
Tyrone Edward Kane,TE Kane,IRE,2,7,14.28,156,-,3.96,-,Right-hand bat,Right-arm medium-fast
Chamara Kantha Kapugedera,CK Kapugedera,SL,15,34.83,53.18,12,-,4.5,-,Right-hand bat,Right-arm medium
Krishnakumar Dinesh Karthik,KD Karthik,INDIA,42,25,49.27,-,-,-,-,Right-hand bat,Right-arm offbreak
Murali Kartik,M Kartik,INDIA,5,6.75,56.25,1047,34.06,2.92,69.8,Left-hand bat,Slow left-arm orthodox
Chamika Karunaratne,C Karunaratne,SL,2,11,51.16,156,148,5.69,156,Right-hand bat,Right-arm medium-fast
Frank Dimuth Madushanka Karunaratne,FDM Karunaratne,SL,128,36.78,48.83,237,74.5,3.77,118.5,Left-hand bat,Right-arm medium
Michael Scott Kasprowicz,MS Kasprowicz,AUS,33,9.24,46.38,4090,31.69,3.16,60.1,Right-hand bat,Right-arm fast-medium
Kevin Tatenda Kasuza,KT Kasuza,ZIM,4,28.25,30.62,-,-,-,-,Right-hand bat,Right-arm offbreak
Simon Mathew Katich,SM Katich,AUS,99,45.03,49.36,1039,30.23,3.66,49.4,Left-hand bat,Slow left-arm chinaman
Paskuwal Handi Tharindu Kaushal,PHT Kaushal,SL,12,10.6,43.44,1658,44.2,3.99,66.3,Right-hand bat,Right-arm offbreak
Justin Miles Kemp,JM Kemp,SA,6,13.33,32,479,24.66,2.78,53.2,Right-hand bat,Right-arm fast-medium
Simon Christopher Kerrigan,SC Kerrigan,ENG,1,-,8.33,48,-,6.62,-,Right-hand bat,Slow left-arm orthodox
Robert William Trevor Key,RWT Key,ENG,26,31,47.28,-,-,-,-,Right-hand bat,Right-arm offbreak
Khaled Mahmud,Khaled Mahmud,BDESH,23,12.09,58.46,1620,64,3.08,124.6,Right-hand bat,Right-arm medium
Khaled Mashud,Khaled Mashud,BDESH,82,18.57,34.35,-,-,-,-,Right-hand bat,-
Amjad Khan,A Khan,ENG,-,-,-,174,122,4.2,174,Right-hand bat,Right-arm fast-medium
Imraan Khan,I Khan,SA,1,20,31.25,-,-,-,-,Left-hand bat,Right-arm offbreak
Zaheer Khan,Z Khan,INDIA,126,11.88,51.66,18401,32.84,3.27,60.1,Right-hand bat,Left-arm fast-medium
Usman Tariq Khawaja,UT Khawaja,AUS,77,40.66,50.55,12,-,2.5,-,Left-hand bat,Right-arm medium
Khurram Manzoor,Khurram Manzoor,PAK,30,28.17,44.71,-,-,-,-,Right-hand bat,Right-arm offbreak
Reon Dane King,RD King,WI,9,3.6,29.03,1459,42.82,2.99,85.8,Right-hand bat,Right-arm fast-medium
Gary Kirsten,G Kirsten,SA,58,52.54,49.08,24,-,1.75,-,Left-hand bat,Right-arm offbreak
Robert James Kirtley,RJ Kirtley,ENG,7,5.33,24.8,1079,29.52,3.11,56.7,Right-hand bat,Right-arm fast-medium
Heinrich Klaasen,H Klaasen,SA,2,5.5,32.35,-,-,-,-,Right-hand bat,-
Rory Keith Kleinveldt,RK Kleinveldt,SA,5,9,44.26,667,42.2,3.79,66.7,Right-hand bat,Right-arm fast-medium
Lance Klusener,L Klusener,SA,20,22.33,56.77,1626,42.26,2.33,108.4,Left-hand bat,Right-arm fast-medium
Nicholas Verity Knight,NV Knight,ENG,2,7.5,32.6,-,-,-,-,Left-hand bat,Right-arm medium
Virat Kohli,V Kohli,INDIA,145,53.62,57.68,175,-,2.88,-,Right-hand bat,Right-arm medium
Jason John Krejza,JJ Krejza,AUS,4,23.66,48.63,743,43.23,4.53,57.1,Right-hand bat,Right-arm offbreak
Heino Gunther Kuhn,HG Kuhn,SA,8,14.12,38.04,-,-,-,-,Right-hand bat,-
Chamith Kosala Bandara Kulasekara,CKB Kulasekara,SL,2,11,44,168,80,2.85,168,Right-hand bat,Right-arm fast-medium
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,KMDN Kulasekara,SL,28,14.48,42.04,3567,37.37,3.01,74.3,Right-hand bat,Right-arm fast-medium
Kuldeep Yadav,Kuldeep Yadav,INDIA,6,8.5,31.67,989,24.12,3.51,41.2,Left-hand bat,Slow left-arm chinaman
Nilesh Moreshwar Kulkarni,NM Kulkarni,INDIA,1,4,10.52,318,137,2.58,318,Left-hand bat,Slow left-arm orthodox
Bhuvneshwar Kumar Singh,B Kumar,INDIA,29,22.08,45.06,3348,26.09,2.94,53.1,Right-hand bat,Right-arm medium
Praveenkumar Sakat Singh,P Kumar,INDIA,10,14.9,93.71,1611,25.81,2.59,59.6,Right-hand bat,Right-arm medium
Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara,CBRLS Kumara,SL,28,3.71,29.21,3905,36.58,3.76,58.2,Left-hand bat,Right-arm fast
Anil Kumble,A Kumble,INDIA,92,17.52,39.14,21735,30.98,2.93,63.3,Right-hand bat,Legbreak googly
Marnus Labuschagne,M Labuschagne,AUS,23,63.43,56.52,756,38.66,3.68,63,Right-hand bat,Legbreak
Ranasinghe Arachchige Suranga Lakmal,RAS Lakmal,SL,95,11.61,48.43,11099,37.42,3.05,73.5,Right-hand bat,Right-arm fast-medium
Mataramba Kanaththa Gamage Chamila Premanath Lakshitha,MKGCP Lakshitha,SL,3,14,84,288,31.6,3.29,57.6,Right-hand bat,Right-arm fast-medium
Gregory Arthur Lamb,GA Lamb,ZIM,2,23,38.33,192,47,4.4,64,Right-hand bat,Right-arm offbreak
