fullName,scoreName,team,innings,batAvg,batSR,careerBalls,bowlAvg,bowlEcon,bowlSR,batHand,bowlType
0,Nooshin Al Khadeer,N Al Khadeer,IND-W,7,9.20,0,1189.0,52.61,4.77,66.0,Right-hand bat,Right-arm offbreak
1,Sarah Joy Andrews,SJ Andrews,AUS-W,5,11.00,0,2081.0,22.71,2.55,53.3,Right-hand bat,Right-arm fast-medium
2,Candacy Atkins,C Atkins,WI-W,2,7.00,0,5011.0,35.82,3.38,63.4,Right-hand bat,Right-arm medium
3,Caroline Mary Ghislaine Atkins,CMG Atkins,ENG-W,17,21.00,3,450.0,46.33,3.70,75.0,Right-hand bat,-
4,Josephine Barnard,J Barnard,SA-W,6,15.50,0,3015.0,59.75,3.32,107.6,Right-hand bat,Right-arm offbreak
5,Syeda Batool Fatima Naqvi,Batool Fatima,PAK-W,1,0.00,0,6892.000000000001,29.39,2.53,69.6,Right-hand bat,Right-arm medium-fast
6,Kristen Maree Beams,KM Beams,AUS-W,1,-,0,-,-,-,-,Right-hand bat,Legbreak googly
7,Tamsin Tilley Beaumont,TT Beaumont,ENG-W,6,22.00,1,528.0,123.66,4.21,176.0,Right-hand bat,-
8,Susanna Maria Benade,SM Benade,SA-W,2,25.50,1,1394.0,32.45,3.35,58.0,Right-hand bat,Right-arm medium-fast
9,Rosalie Ann Birch,RA Birch,ENG-W,10,17.55,1,166.0,16.33,3.54,27.6,Right-hand bat,Right-arm offbreak
10,Ekta Bisht,E Bisht,IND-W,1,-,0,190.0,17.50,3.31,31.6,Left-hand bat,Slow left-arm orthodox
11,Alexandra Joy Blackwell,AJ Blackwell,AUS-W,22,22.20,4,99.99999999999999,-,3.24,-,Right-hand bat,Right-arm medium
12,Katherine Anne Blackwell,KA Blackwell,AUS-W,7,25.71,1,2441.0,35.97,3.53,61.0,Right-hand bat,Right-arm medium
13,Nicole Elizabeth Bolton,NE Bolton,AUS-W,4,22.75,0,-,-,-,-,Left-hand bat,Right-arm offbreak
14,Daniëlle Marloes Braat,DM Braat,NL-W,2,6.00,0,-,-,-,-,Right-hand bat,Right-arm medium
15,Arran Brindle,A Brindle,ENG-W,20,30.61,3,344.0,47.40,4.13,68.8,Right-hand bat,Right-arm medium
16,Cri-zelda Brits,C Brits,SA-W,8,21.42,1,54.0,49.00,5.44,54.0,Right-hand bat,Right-arm medium-fast
17,Kris Lynsey Britt,KL Britt,AUS-W,2,4.00,0,874.0,45.55,2.81,97.1,Right-hand bat,Legbreak
18,Louise Catherine Broadfoot,LC Broadfoot,AUS-W,2,47.50,1,3158.9999999999995,52.83,3.71,85.3,Right-hand bat,Legbreak googly
19,Nicola Jane Browne,NJ Browne,NZ-W,2,12.00,0,-,-,-,-,Right-hand bat,Right-arm medium
20,Katherine Helen Brunt,KH Brunt,ENG-W,15,15.54,1,48.0,-,3.50,-,Right-hand bat,Right-arm medium-fast
21,Nidhi Buley,N Buley,IND-W,1,-,0,1200.0,31.90,3.19,60.0,Left-hand bat,Left-arm slow
22,Melissa Jane Bulow,MJ Bulow,AUS-W,3,11.00,0,-,-,-,-,Right-hand bat,-
23,Sarah Kate Burke,SK Burke,NZ-W,1,-,0,261.0,-,5.08,-,Right-hand bat,Right-arm medium
24,Trisha Chetty,T Chetty,SA-W,3,31.00,1,216.0,27.20,3.77,43.2,Right-hand bat,-
25,Anjum Chopra,A Chopra,IND-W,13,37.72,4,10972.0,36.59,3.62,60.6,Left-hand bat,Right-arm medium
26,Belinda Jane Clark,BJ Clark,AUS-W,11,11.80,0,1103.0,118.16,3.85,183.8,Right-hand bat,Right-arm offbreak
27,Leonie Anne Coleman,LA Coleman,AUS-W,2,10.50,0,1015.9999999999999,60.55,3.21,112.8,Right-hand bat,-
28,Sarah Victoria Collyer,SV Collyer,ENG-W,6,16.16,0,-,-,-,-,Right-hand bat,Right-arm medium
29,Holly Louise Colvin,HL Colvin,ENG-W,7,14.75,0,-,-,-,-,Right-hand bat,Slow left-arm orthodox
30,Clare Joanne Connor,CJ Connor,ENG-W,18,22.50,1,-,-,-,-,Right-hand bat,-
31,Claire Sheena Cowan,CS Cowan,SA-W,4,13.50,0,150.0,105.00,4.20,150.0,Right-hand bat,-
32,Sarah Jane Coyte,SJ Coyte,AUS-W,4,4.75,0,198.0,149.00,4.51,198.0,Right-hand bat,Right-arm medium
33,Kathryn Laura Cross,KL Cross,ENG-W,6,5.00,0,185.0,13.16,2.56,30.8,Right-hand bat,Right-arm medium-fast
34,Felicia Gail Cummings,F Cummings,WI-W,2,5.50,0,54.0,-,4.11,-,Right-hand bat,Slow left-arm orthodox
35,Neetu David,N David,IND-W,7,4.00,0,-,-,-,-,Right-hand bat,Slow left-arm orthodox
36,Margarethe Everdine Caroline de Fouw,MEC de Fouw,NL-W,2,1.00,0,1302.0,41.18,3.03,81.3,Right-hand bat,Right-arm offbreak
37,Rumeli Dhar,R Dhar,IND-W,8,29.50,1,33085.0,26.80,2.86,56.1,Right-hand bat,Right-arm medium
38,Preeti Dimri,P Dimri,IND-W,3,19.00,0,408.0,55.00,4.04,81.6,Left-hand bat,Slow left-arm orthodox
39,Jessica Evelyn Duffin,JE Duffin,AUS-W,5,21.80,1,348.0,-,5.29,-,Right-hand bat,Legbreak googly
40,Mignon du Preez,M du Preez,SA-W,2,59.50,0,-,-,-,-,Right-hand bat,-
41,Lauren Kaye Ebsary,LK Ebsary,AUS-W,2,12.00,0,1957.0000000000002,28.91,3.01,57.5,Right-hand bat,Right-arm medium
42,Sophie Ecclestone,S Ecclestone,ENG-W,2,-,0,66.0,24.00,2.18,66.0,Right-hand bat,Slow left-arm orthodox
43,Charlotte Marie Edwards,CM Edwards,ENG-W,33,40.31,6,1008.0,62.88,3.36,112.0,Right-hand bat,Legbreak
44,Lotte Egging,L Egging,NL-W,2,5.00,0,338.0,42.00,2.98,84.5,Right-hand bat,Right-arm medium-fast
45,Cindy Elizabeth Eksteen,CE Eksteen,SA-W,2,21.00,0,252.0,54.00,2.57,126.0,Right-hand bat,Right-arm fast-medium
46,Sarah Jane Elliott,SJ Elliott,AUS-W,6,47.60,1,298.0,86.00,3.46,149.0,Right-hand bat,Legbreak googly
47,Georgia Amanda Elwiss,GA Elwiss,ENG-W,5,35.00,0,12.0,-,8.00,-,Right-hand bat,Right-arm medium-fast
48,Avril Joy Fahey,AJ Fahey,AUS-W,1,11.00,0,19586.0,25.43,2.84,53.6,Right-hand bat,Right-arm offbreak
49,Maria Frances Fahey,MF Fahey,NZ-W,4,41.66,1,-,-,-,-,Left-hand bat,Right-arm offbreak
50,Rene Michele Farrell,RM Farrell,AUS-W,5,7.75,0,2075.0,35.63,2.26,94.3,Right-hand bat,Right-arm fast-medium
51,Verena Marcelle Felicien,VM Felicien,WI-W,2,51.00,1,667.0,52.57,3.31,95.2,Right-hand bat,Right-arm offbreak
52,Holly Lee Ferling,HL Ferling,AUS-W,3,-,0,-,-,-,-,Right-hand bat,Right-arm fast-medium
53,Jodie Maree Fields,JM Fields,AUS-W,7,66.20,1,-,-,-,-,Right-hand bat,-
54,Cathryn Lorraine Fitzpatrick,CL Fitzpatrick,AUS-W,9,16.88,1,326.0,51.66,2.85,108.6,Right-hand bat,Right-arm fast
55,Paula Bernadette Flannery,PB Flannery,NZ-W,2,32.00,0,853.9999999999999,76.37,4.29,106.7,Right-hand bat,Right-arm offbreak
56,Yolani Fourie,Y Fourie,SA-W,2,0.00,0,204.0,21.25,2.50,51.0,Right-hand bat,Right-arm offbreak
57,Doris Francis,D Francis,WI-W,2,46.00,0,-,-,-,-,Right-hand bat,Right-arm medium
58,Ashleigh Gardner,A Gardner,AUS-W,2,12.00,0,48.0,-,2.12,-,Right-hand bat,Right-arm offbreak
59,Rajeshwari Shivanand Gayakwad,RS Gayakwad,IND-W,-,-,-,-,-,-,-,Right-hand bat,Slow left-arm orthodox
60,Nadine Andrea Julietta George,NAJ George,WI-W,2,70.00,0,366.0,67.66,3.32,122.0,Left-hand bat,-
61,Mandie Claire Godliman,MC Godliman,ENG-W,2,66.00,1,-,-,-,-,-,-
62,Indomatie Goordial-John,I Goordial-John,WI-W,2,4.00,0,-,-,-,-,Right-hand bat,Right-arm offbreak
63,Kirstie Louise Gordon,KL Gordon,ENG-W,-,-,-,660.0,79.00,3.59,132.0,Right-hand bat,Slow left-arm orthodox
64,Jhulan Nishit Goswami,J Goswami,IND-W,13,25.72,2,1755.9999999999998,37.18,3.43,65.0,Right-hand bat,Right-arm medium
65,Michelle Ann Jane Goszko,MAJ Goszko,AUS-W,5,43.40,0,6.0,-,8.00,-,Right-hand bat,Right-arm medium
66,Bindeshwari Goyal,B Goyal,IND-W,3,0.50,0,612.0,114.33,3.36,204.0,Right-hand bat,Right-arm offbreak
67,Geneille Emekia Greaves,GE Greaves,WI-W,2,21.50,0,12.0,-,2.50,-,Right-hand bat,Right-arm offbreak
68,Lydia Sophie Greenway,LS Greenway,ENG-W,24,15.73,2,-,-,-,-,Left-hand bat,Right-arm offbreak
69,Lauren Patricia Griffiths,LP Griffiths,ENG-W,2,3.00,0,1026.0,34.62,3.23,64.1,Right-hand bat,-
70,Isa Tara Guha,IT Guha,ENG-W,10,16.14,0,426.0,53.75,3.02,106.5,Right-hand bat,Right-arm fast-medium
71,Jennifer Louise Gunn,JL Gunn,ENG-W,19,23.00,1,762.0,49.00,2.70,108.8,Right-hand bat,Right-arm medium-fast
72,Laura Julyen Harper,LJ Harper,ENG-W,11,22.75,0,2401.0,48.82,3.41,85.7,Right-hand bat,Right-arm offbreak
73,Jolet Caroline Hartenhof,JC Hartenhof,NL-W,2,0.00,0,6.0,-,4.00,-,Right-hand bat,Right-arm fast-medium
74,Jacqueline Louise Hawker,J Hawker,ENG-W,1,13.00,0,1713.9999999999998,60.93,3.19,114.2,Right-hand bat,Right-arm medium
75,Julie Hayes,J Hayes,AUS-W,9,14.75,1,-,-,-,-,Right-hand bat,Right-arm medium
76,Rachael Louise Haynes,RL Haynes,AUS-W,9,32.55,2,96.0,61.00,3.81,96.0,Left-hand bat,Left-arm medium
77,Danielle Hazell,D Hazell,ENG-W,5,7.00,0,-,-,-,-,Right-hand bat,Right-arm offbreak
78,Alyssa Jean Healy,AJ Healy,AUS-W,6,33.50,1,406.00000000000006,59.33,2.63,135.3,Right-hand bat,-
79,Alison Lucille Hodgkinson,AL Hodgkinson,SA-W,6,39.83,2,108.0,76.00,4.22,108.0,Right-hand bat,Legbreak
80,Leonie Martine Hoitink,LM Hoitink,NL-W,2,0.50,0,-,-,-,-,Right-hand bat,Right-arm medium
81,Dawn Holden,D Holden,ENG-W,5,12.75,0,7320.999999999999,39.10,2.78,84.1,Right-hand bat,Slow left-arm orthodox
82,Shabnim Ismail,S Ismail,SA-W,1,1.00,0,90.0,-,3.13,-,Left-hand bat,Right-arm fast-medium
83,Leighshe Zanell Jacobs,LZ Jacobs,SA-W,3,4.00,0,258.0,46.25,4.30,64.5,Right-hand bat,Legbreak
84,Anju Jain,A Jain,IND-W,3,51.33,2,78.0,92.00,7.07,78.0,Right-hand bat,-
85,Karuna Vijaykumar Jain,KV Jain,IND-W,9,21.66,0,1259.0,33.43,2.54,78.6,Right-hand bat,-
86,Jessica Louise Jonassen,JL Jonassen,AUS-W,5,44.40,2,3716.0000000000005,40.19,3.69,65.1,Left-hand bat,Slow left-arm orthodox
87,Amy Ellen Jones,AE Jones,ENG-W,1,64.00,1,2557.0,29.57,3.40,52.1,Right-hand bat,-
88,Melanie Jones,M Jones,AUS-W,4,22.00,1,558.0,28.00,3.01,55.8,Right-hand bat,Right-arm medium
89,Hemlata Kala,H Kala,IND-W,8,55.50,3,1174.0,26.50,2.16,73.3,Right-hand bat,Right-arm medium
90,Murugesan Dickeshwashankar Thirush Kamini,MDT Kamini,IND-W,3,79.00,0,438.0,48.50,3.98,73.0,Left-hand bat,Legbreak
91,Marizanne Kapp,M Kapp,SA-W,2,9.50,0,450.0,86.00,3.44,150.0,Right-hand bat,Right-arm medium
92,Harmanpreet Kaur Bhullar,H Kaur,IND-W,3,8.66,0,1934.0,30.64,3.23,56.8,Right-hand bat,Right-arm offbreak
93,Lisa Maree Keightley,LM Keightley,AUS-W,7,13.14,0,8067.0,37.17,3.23,68.9,Right-hand bat,Right-arm medium
94,Khursheed Jabeen,Khursheed Jabeen,PAK-W,2,31.00,0,552.0,56.66,3.69,92.0,Left-hand bat,Slow left-arm orthodox
95,Ashlyn Petro Carlyle Kilowan,APC Kilowan,SA-W,1,-,0,114.0,-,3.73,-,Left-hand bat,Left-arm medium
96,Kiran Maqsood Baluch,Kiran Baluch,PAK-W,2,132.00,0,324.0,97.00,3.59,162.0,Right-hand bat,Right-arm offbreak
97,Arundhati Kirkire,A Kirkire,IND-W,1,3.00,0,3173.0,37.05,3.71,59.8,Right-hand bat,Right-arm medium
98,Heather Clare Knight,HC Knight,ENG-W,13,32.16,2,18.0,-,4.33,-,Right-hand bat,Right-arm offbreak
99,Mandy Kornet,M Kornet,NL-W,2,5.50,0,6849.0,47.64,3.17,90.1,Right-hand bat,Right-arm medium-fast
100,Maartje Alexandra Köster,MA Koster,NL-W,2,19.00,0,2401.0,25.92,3.23,48.0,Right-hand bat,Right-arm medium
101,Kerri Ann Laing,KA Laing,SA-W,2,8.00,0,3372.0,22.09,3.41,38.7,Right-hand bat,Right-arm offbreak
102,Meghann Moira Lanning,MM Lanning,AUS-W,8,23.12,1,434.0,290.00,4.00,434.0,Right-hand bat,Right-arm medium
103,Lizelle Lee,L Lee,SA-W,2,3.00,0,78.0,20.50,6.30,19.5,Right-hand bat,Right-arm medium-fast
104,Kathryn Maria Leng,KM Leng,ENG-W,6,16.33,0,1017.0000000000001,33.70,3.38,59.8,Left-hand bat,Legbreak
105,Matshipi Marcia Letsoalo,MM Letsoalo,SA-W,3,3.00,0,8.0,6.00,4.50,8.0,Right-hand bat,Right-arm medium
106,Maia Ann Mereana Lewis,MAM Lewis,NZ-W,4,24.75,1,14874.0,27.65,2.97,55.7,Right-hand bat,-
107,Emma Liddell,E Liddell,AUS-W,4,12.00,0,4984.0,38.83,3.36,69.2,Right-hand bat,Left-arm medium
108,Johmari Logtenberg,J Logtenberg,SA-W,5,21.80,1,1110.0,42.08,2.72,92.5,Right-hand bat,Right-arm medium
109,Madelein Lotter,M Lotter,SA-W,2,5.00,0,252.0,124.00,2.95,252.0,Right-hand bat,-
110,Sunette Loubser,S Loubser,SA-W,3,4.00,0,1021.0,60.00,3.17,113.4,Right-hand bat,Right-arm offbreak
111,Katherine Lowe,K Lowe,ENG-W,5,12.00,0,408.0,242.00,3.55,408.0,Right-hand bat,Right-arm medium
112,Mamatha Maben,M Maben,IND-W,4,31.25,1,1940.0,57.94,3.22,107.7,Right-hand bat,Right-arm medium
113,Sara Jade McGlashan,SJ McGlashan,NZ-W,2,10.00,0,6466.000000000001,39.83,3.17,75.1,Right-hand bat,-
114,Tahlia May McGrath,TM McGrath,AUS-W,1,47.00,0,6.0,-,2.00,-,Right-hand bat,Right-arm medium
115,Therese Ann McGregor,TA McGregor,AUS-W,3,16.00,0,188.0,67.50,4.30,94.0,Right-hand bat,"Right-arm fast-medium, Legbreak"
116,Olivia Jane Magno,OJ Magno,AUS-W,1,4.00,0,450.0,85.00,2.26,225.0,Right-hand bat,Legbreak googly
117,Reema Malhotra,R Malhotra,IND-W,2,23.00,0,4674.0,32.73,3.02,64.9,Right-hand bat,Legbreak
118,Smriti Shriniwas Mandhana,S Mandhana,IND-W,3,27.00,1,28367.0,28.30,2.95,57.5,Left-hand bat,Right-arm offbreak
119,Deepa Madhukar Marathe,DM Marathe,IND-W,4,14.00,0,-,-,-,-,Right-hand bat,Slow left-arm orthodox
120,Mariam Anwar,Mariam Anwar,PAK-W,-,-,-,-,-,-,-,-,-
121,Mariam Anwer Butt,Mariam Butt,PAK-W,1,-,0,-,-,-,-,Right-hand bat,Right-arm medium-fast
122,Laura Alexandra Marsh,LA Marsh,ENG-W,12,12.58,1,66.0,52.00,4.72,66.0,Right-hand bat,"Right-arm fast-medium, Right-arm offbreak"
123,Katey Jane Martin,KJ Martin,NZ-W,2,24.50,0,3080.9999999999995,20.33,2.69,45.3,Right-hand bat,-
124,Charmaine Lea Mason,CL Mason,AUS-W,1,-,0,-,-,-,-,Right-hand bat,Right-arm fast
125,Louise Elizabeth Milliken,LE Milliken,NZ-W,2,5.00,0,-,-,-,-,Right-hand bat,Right-arm fast-medium
126,Sophie Molineux,S Molineux,AUS-W,2,31.00,0,-,-,-,-,Left-hand bat,Slow left-arm orthodox
127,Nadine Avril Moodley,NA Moodley,SA-W,2,24.50,0,569.0,31.00,3.92,47.4,Right-hand bat,Right-arm medium
128,Bethany Louise Mooney,BL Mooney,AUS-W,3,34.33,1,1368.0,36.83,3.87,57.0,Left-hand bat,-
129,Beth Louisa Morgan,BL Morgan,ENG-W,12,24.40,1,-,-,-,-,Right-hand bat,Right-arm medium-fast
130,Sthalam Krishnamurth Sravanthi Naidu,SK Naidu,IND-W,1,9.00,0,4929.0,31.74,3.51,54.1,Right-hand bat,Left-arm slow
131,Sulakshana Madhukar Naik,S Naik,IND-W,3,20.66,0,2317.0,30.10,3.66,49.2,Right-hand bat,-
132,Nazia Tabassum Nazir,Nazia Nazir,PAK-W,2,2.50,0,143.0,39.33,4.95,47.6,-,-
133,Nolubabalo Ndzundzu,N Ndzundzu,SA-W,2,8.00,0,-,-,-,-,Right-hand bat,Right-arm medium
134,Juliana Barbara Nero,JB Nero,WI-W,2,16.50,0,61.0,-,2.95,-,Right-hand bat,Right-arm medium
135,Laura Kelly Newton,LK Newton,ENG-W,20,22.78,2,-,-,-,-,Right-hand bat,Right-arm medium
136,Marijn Elise Nijman,ME Nijman,NL-W,2,2.50,0,-,-,-,-,Right-hand bat,Right-arm fast-medium
137,Niranjana Nagarajan,N Niranjana,IND-W,1,27.00,0,-,-,-,-,Right-hand bat,Right-arm medium
138,Shelley Nitschke,S Nitschke,AUS-W,11,32.77,2,54.0,-,3.44,-,Left-hand bat,Slow left-arm orthodox
