Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
AJ,Strauss,54,42.59,8545,48.84,Left-hand bat,-,-,-,-,lm,
AN,Cook,35,42.48,5704,46.17,Left-hand bat,1.0,-,-,1.00,-,
IR,Bell,44,41.50,5831,50.54,Right-hand bat,18.0,76.00,108.0,4.22,rm,
KP,Pietersen,44,49.30,6173,63.09,Right-hand bat,101.3,107.75,152.2,4.24,rob,
PD,Collingwood,40,42.51,6188,45.34,Right-hand bat,214.3,49.07,91.9,3.20,rm,
A,Flintoff,71,31.96,5586,62.94,Right-hand bat,2257.2,32.13,64.4,2.98,rfm,
JM,Anderson,30,14.00,780,34.10,Left-hand bat,1006.2,34.61,56.9,3.64,rfm,
MJ,Prior,11,43.20,1159,55.91,Right-hand bat,-,-,-,-,-,
GP,Swann,1,4.00,27,29.62,Right-hand bat,38.3,36.25,57.7,3.76,rob,
SJ,Harmison,59,11.63,1195,58.41,Right-hand bat,2131.3,31.69,58.9,3.22,rfm,
MS,Panesar,34,5.51,561,30.48,Left-hand bat,1329.1,32.58,68.1,2.86,lo,
G,Gambhir,21,44.28,2829,54.78,Left-hand bat,-,-,-,-,rls,
V,Sehwag,65,51.85,7168,78.12,Right-hand bat,387.1,39.62,80.1,2.96,rob,
R,Dravid,130,52.12,24750,41.91,Right-hand bat,20.0,39.00,120.0,1.95,rob,
SR,Tendulkar,155,54.68,,,Right-hand bat,646.4,53.02,92.3,3.44,-,
VVS,Laxman,101,44.97,13087,49.14,Right-hand bat,54.0,63.00,162.0,2.33,rob,
Yuvraj,Singh,24,34.81,2060,55.77,Left-hand bat,65.0,35.33,65.0,3.26,lo,
MS,Dhoni,34,37.04,2798,63.54,Right-hand bat,1.0,-,-,13.00,rm,
Harbhajan,Singh,73,16.54,2153,63.77,Right-hand bat,3399.0,30.98,65.7,2.82,rob,
Z,Khan,61,12.57,1551,49.45,Right-hand bat,2020.5,34.12,62.5,3.27,lfm,
A,Mishra,4,6.33,27,70.37,Right-hand bat,173.0,27.88,57.6,2.90,rls,
I,Sharma,14,13.00,380,30.78,Right-hand bat,427.4,31.61,61.0,3.10,rfm,
