Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
SC,Cook,7,47.91,1242,46.29,Right-hand bat,2.0,-,-,8.00,rm,
D,Elgar,30,36.33,3428,44.51,Left-hand bat,149.5,41.61,69.1,3.61,lo,
HM,Amla,98,49.90,15165,50.35,Right-hand bat,9.0,-,-,4.11,-,
JP,Duminy,40,33.27,3985,45.09,Left-hand bat,415.0,38.73,65.5,3.54,rob,
F,du Plessis,35,44.43,5096,41.85,Right-hand bat,13.0,-,-,5.30,rls,
T,Bavuma,15,34.21,1451,44.79,Right-hand bat,8.0,30.00,48.0,3.75,rm,
Q,de Kock,14,50.47,1352,70.93,Left-hand bat,-,-,-,-,-,
VD,Philander,38,23.78,2014,44.88,Right-hand bat,1191.2,22.06,48.2,2.74,rfm,
KA,Maharaj,3,19.33,61,95.08,Right-hand bat,106.0,34.75,79.5,2.62,lo,
KJ,Abbott,10,6.07,312,25.32,Right-hand bat,323.5,21.30,49.8,2.56,rfm,
K,Rabada,12,14.87,271,43.91,Left-hand bat,330.2,24.68,41.2,3.58,rf,
FDM,Karunaratne,34,33.65,4284,49.48,Left-hand bat,2.0,-,-,2.50,rm,
JK,Silva,33,31.25,4753,40.77,Right-hand bat,-,-,-,-,-,
MDKJ,Perera,10,31.38,756,74.73,Left-hand bat,-,-,-,-,-,
BKG,Mendis,12,33.56,1298,59.47,Right-hand bat,6.0,18.00,36.0,3.00,-,
AD,Mathews,63,47.20,8706,50.42,Right-hand bat,601.0,53.06,116.3,2.73,rm,
LD,Chandimal,32,43.26,4290,53.44,Right-hand bat,-,-,-,-,rob,
DM,de Silva,6,55.90,1127,54.56,Right-hand bat,50.0,38.00,60.0,3.80,rob,
HMRKB,Herath,76,14.58,2662,50.41,Left-hand bat,3599.4,28.11,61.0,2.76,lo,
PVD,Chameera,6,6.10,209,29.18,Right-hand bat,172.5,33.00,47.1,4.20,rf,
RAS,Lakmal,32,8.61,628,42.51,Right-hand bat,1007.2,45.47,82.7,3.29,rfm,
N,Pradeep,22,5.09,282,39.71,Right-hand bat,684.2,43.01,72.0,3.58,rfm,
