Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Hannan,Sarkar,9,26.44,892,53.36,Right-hand bat,-,-,-,-,rm,
Javed,Omar,16,24.64,2210,34.57,Right-hand bat,1.0,-,-,12.00,rls,
Habibul,Bashar,23,37.02,2889,57.66,Right-hand bat,39.0,-,-,5.00,rob,
Mohammad,Ashraful,14,21.37,1482,38.93,Right-hand bat,95.0,86.40,114.0,4.54,rob,
Rajin,Saleh,2,23.75,345,27.53,Right-hand bat,14.0,34.00,84.0,2.42,rob,
Alok,Kapali,11,20.33,895,47.70,Right-hand bat,168.5,109.66,168.8,3.89,rls,
Khaled,Mashud,20,15.84,1755,29.80,Right-hand bat,-,-,-,-,-,
Khaled,Mahmud,9,10.93,310,56.45,Right-hand bat,172.0,111.60,206.4,3.24,rm,
Mohammad,Rafique,5,13.62,189,57.67,Left-hand bat,228.2,30.05,72.1,2.50,lo,
Mashrafe,Mortaza,10,9.25,184,80.43,Right-hand bat,258.4,41.57,73.9,3.37,rfm,
Alamgir,Kabir,2,1.66,41,12.19,Right-hand bat,35.3,-,-,5.12,rmf,
Mohammad,Hafeez,2,58.33,349,50.14,Right-hand bat,31.0,54.00,186.0,1.74,rob,
Taufeeq,Umar,15,43.38,2345,48.10,Left-hand bat,11.0,-,-,3.27,rob,
Yasir,Hameed,2,105.33,470,67.23,Right-hand bat,-,-,-,-,-,
Inzamam-ul-Haq,,87,48.77,11801,53.31,Right-hand bat,1.3,-,-,5.33,lo,
Mohammad,Yousuf,45,48.86,6839,47.87,Right-hand bat,1.0,-,-,3.00,rob,
Rashid,Latif,36,29.80,2859,47.95,Right-hand bat,2.0,-,-,5.00,rls,
Shoaib,Malik,3,11.33,238,14.28,Right-hand bat,32.1,54.00,96.5,3.35,rob,
Shoaib,Akhtar,27,8.44,575,42.60,Right-hand bat,789.3,25.61,46.9,3.27,rf,
Shabbir,Ahmed,2,7.00,43,32.55,Right-hand bat,70.4,20.30,42.4,2.87,rfm,
Danish,Kaneria,12,7.57,111,47.74,Right-hand bat,464.4,26.21,54.6,2.87,rls,
Umar,Gul,2,0.00,1,0.00,Right-hand bat,70.5,33.00,60.7,3.26,rfm,
