Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
MA,Butcher,34,29.74,4618,40.58,Left-hand bat,76.2,31.37,57.2,3.28,rm,
ME,Trescothick,18,39.21,2786,46.44,Left-hand bat,20.0,52.00,120.0,2.60,rm,
N,Hussain,65,35.07,9471,38.88,Right-hand bat,5.0,-,-,3.00,rls,
MP,Vaughan,12,32.36,1618,38.00,Right-hand bat,29.0,-,-,4.51,rob,
MR,Ramprakash,48,27.68,6183,35.82,Right-hand bat,149.1,119.25,223.7,3.19,rob,
A,Flintoff,11,14.38,486,53.29,Right-hand bat,201.5,58.22,134.5,2.59,rfm,
C,White,23,20.76,1806,39.09,Right-hand bat,481.0,37.10,72.1,3.08,-,
JS,Foster,2,12.00,164,29.26,Right-hand bat,-,-,-,-,-,
AF,Giles,9,10.00,377,29.17,Right-hand bat,438.4,34.09,84.9,2.40,lo,
RKJ,Dawson,2,6.75,111,24.32,Right-hand bat,90.0,46.50,90.0,3.10,rob,
MJ,Hoggard,4,5.66,51,33.33,Right-hand bat,138.2,38.36,75.4,3.05,rfm,
SS,Das,15,39.42,2513,40.78,Right-hand bat,3.0,-,-,2.33,rm,
D,Dasgupta,4,41.57,954,30.50,Right-hand bat,-,-,-,-,-,
R,Dravid,52,52.51,10480,40.59,Right-hand bat,11.0,-,-,1.90,rob,
SR,Tendulkar,88,57.70,,,Right-hand bat,313.0,39.08,75.1,3.12,-,
SC,Ganguly,50,40.97,6603,47.78,Left-hand bat,284.2,41.78,74.1,3.37,rm,
VVS,Laxman,28,37.57,3242,52.15,Right-hand bat,25.0,-,-,2.72,rob,
V,Sehwag,3,42.25,272,62.13,Right-hand bat,9.0,-,-,3.44,rob,
A,Kumble,65,17.91,3348,37.99,Right-hand bat,3414.3,27.88,68.5,2.44,rls,
Harbhajan,Singh,19,13.00,378,65.34,Right-hand bat,829.1,28.48,61.4,2.78,rob,
J,Srinath,56,14.05,1749,47.39,Right-hand bat,2169.2,29.64,61.3,2.89,rfm,
T,Yohannan,2,-,21,23.80,Right-hand bat,56.0,53.25,84.0,3.80,rmf,
