Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
AJ,Strauss,71,43.48,10955,49.62,Left-hand bat,-,-,-,-,lm,
AN,Cook,52,42.65,8063,47.07,Left-hand bat,1.0,-,-,1.00,-,
IJL,Trott,5,38.88,786,44.52,Right-hand bat,11.0,-,-,5.27,rm,
KP,Pietersen,58,48.24,7760,62.16,Right-hand bat,131.3,137.00,197.2,4.16,rob,
PD,Collingwood,57,43.43,8501,45.98,Right-hand bat,274.3,60.80,109.8,3.32,rm,
IR,Bell,53,40.19,6984,49.49,Right-hand bat,18.0,76.00,108.0,4.22,rm,
MJ,Prior,27,40.10,2339,63.44,Right-hand bat,-,-,-,-,-,
SCJ,Broad,26,26.34,1409,59.82,Left-hand bat,852.5,35.38,66.4,3.19,rfm,
GP,Swann,16,32.81,631,83.20,Right-hand bat,700.3,30.69,60.9,3.02,rob,
RJ,Sidebottom,22,15.65,903,34.66,Left-hand bat,802.0,28.24,60.9,2.78,lfm,
JM,Anderson,46,14.18,1298,36.05,Left-hand bat,1571.4,34.81,60.4,3.45,rfm,
GC,Smith,81,50.89,11157,60.67,Left-hand bat,219.5,100.12,164.8,3.64,rob,
AG,Prince,52,44.04,7150,44.34,Left-hand bat,16.0,47.00,96.0,2.93,rob,
HM,Amla,41,40.75,5661,48.94,Right-hand bat,7.0,-,-,4.00,-,
JH,Kallis,135,54.56,23978,44.37,Right-hand bat,2895.0,31.40,66.8,2.82,rfm,
AB,de Villiers,56,43.56,7215,53.13,Right-hand bat,33.0,49.50,99.0,3.00,rm,
JP,Duminy,10,33.53,1208,41.63,Left-hand bat,88.5,29.40,53.3,3.30,rob,
MV,Boucher,130,30.85,10016,50.20,Right-hand bat,1.2,6.00,8.0,4.50,rm,
R,McLaren,1,-,56,58.92,Left-hand bat,13.0,43.00,78.0,3.30,rmf,
DW,Steyn,36,13.08,1075,43.81,Right-hand bat,1231.3,23.70,39.9,3.56,rf,
M,Morkel,21,13.44,763,44.03,Left-hand bat,663.5,31.45,53.8,3.50,rf,
WD,Parnell,1,-,-,-,Left-hand bat,11.0,17.50,33.0,3.18,lmf,
