Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
S,Dhawan,26,43.38,2784,65.44,Left-hand bat,9.0,-,-,2.00,rob,
KL,Rahul,19,46.27,2344,57.25,Right-hand bat,-,-,-,-,-,
CA,Pujara,51,52.65,8498,48.32,Right-hand bat,1.0,-,-,2.00,rls,
V,Kohli,60,49.55,8315,56.01,Right-hand bat,25.0,-,-,2.80,rm,
AM,Rahane,40,47.61,5288,53.12,Right-hand bat,-,-,-,-,rm,
R,Ashwin,52,32.82,3672,55.41,Right-hand bat,2552.2,25.26,52.4,2.89,rob,
WP,Saha,28,32.70,2453,45.33,Right-hand bat,-,-,-,-,-,
HH,Pandya,3,59.33,165,107.87,Right-hand bat,32.0,23.75,48.0,2.96,rmf,
Kuldeep,Yadav,2,16.50,90,36.66,Left-hand bat,58.0,20.77,38.6,3.22,lc,
Mohammed,Shami,25,13.80,390,74.35,Right-hand bat,778.3,30.87,54.3,3.41,rf,
UT,Yadav,34,9.56,499,44.08,Right-hand bat,933.0,35.93,59.5,3.62,rf,
FDM,Karunaratne,42,34.86,5668,48.58,Left-hand bat,17.0,66.00,102.0,3.88,rm,
WU,Tharanga,31,31.89,3212,54.60,Left-hand bat,-,-,-,-,-,
BKG,Mendis,20,35.46,2309,59.89,Right-hand bat,10.0,34.00,60.0,3.40,-,
LD,Chandimal,39,41.00,5178,52.25,Right-hand bat,-,-,-,-,rob,
AD,Mathews,69,44.93,9374,50.33,Right-hand bat,638.0,52.66,116.0,2.72,rm,
N,Dickwella,10,30.89,810,72.46,Left-hand bat,-,-,-,-,-,
MDK,Perera,20,21.43,1344,51.04,Right-hand bat,855.1,33.39,63.3,3.16,rob,
PM,Pushpakumara,2,14.00,139,30.21,Right-hand bat,61.2,47.60,73.6,3.88,lo,
PADLR,Sandakan,6,12.20,120,50.83,Right-hand bat,177.1,30.55,53.1,3.44,lc,
MVT,Fernando,2,2.00,32,12.50,Right-hand bat,28.0,34.33,56.0,3.67,lmf,
CBRLS,Kumara,8,4.85,90,37.77,Left-hand bat,243.0,45.30,63.3,4.28,rf,
