Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
MS,Atapattu,46,34.27,6,7,Right-hand bat,8.0,24.00,48.0,3.00,rls,
ST,Jayasuriya,61,39.26,8,16,Left-hand bat,708.1,33.59,78.6,2.56,lo,
KC,Sangakkara,11,37.88,1543,44.19,Left-hand bat,-,-,-,-,rob,
DPMD,Jayawardene,32,43.54,4293,50.71,Right-hand bat,68.2,53.00,102.5,3.10,rm,
RP,Arnold,29,28.29,2938,42.37,Left-hand bat,207.2,51.36,113.0,2.72,rob,
HP,Tillakaratne,58,37.61,6,16,Left-hand bat,6.4,-,-,2.10,rob,
ASA,Perera,3,25.66,148,52.02,Right-hand bat,68.0,180.00,408.0,2.64,rfm,
WPUJC,Vaas,50,18.09,2836,38.92,Left-hand bat,1786.4,30.53,71.9,2.54,lfm,
M,Muralitharan,64,13.23,1026,65.78,Right-hand bat,3479.1,25.44,63.4,2.40,rob,
CRD,Fernando,8,3.77,141,24.11,Right-hand bat,188.5,34.25,56.6,3.62,rfm,
PDRL,Perera,5,9.00,91,19.78,Left-hand bat,119.0,53.25,89.2,3.57,lmf,
SS,Das,10,42.64,1802,40.23,Right-hand bat,3.0,-,-,2.33,rm,
S,Ramesh,18,37.23,2659,47.61,Left-hand bat,4.0,-,-,4.75,rob,
R,Dravid,47,54.26,9618,41.18,Right-hand bat,11.0,-,-,1.90,rob,
SC,Ganguly,45,42.37,6187,47.93,Left-hand bat,264.5,38.21,69.0,3.31,rm,
M,Kaif,3,24.40,389,31.36,Right-hand bat,3.0,-,-,1.33,rob,
HK,Badani,3,11.25,126,35.71,Left-hand bat,-,-,-,-,lo,
SS,Dighe,5,19.57,328,41.76,Right-hand bat,-,-,-,-,-,
Harbhajan,Singh,15,16.21,341,66.56,Right-hand bat,612.2,26.90,58.3,2.76,rob,
Z,Khan,7,6.66,143,27.97,Right-hand bat,224.3,32.50,61.2,3.18,lfm,
BKV,Prasad,32,7.00,672,28.12,Right-hand bat,1139.3,35.04,73.5,2.86,rmf,
Harvinder,Singh,3,2.00,38,15.78,Right-hand bat,45.3,46.25,68.2,4.06,rfm,
