Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Imran,Nazir,6,41.22,604,61.42,Right-hand bat,-,-,-,-,rls,
Shahid,Afridi,14,32.50,1149,67.88,Right-hand bat,221.5,31.47,63.3,2.97,rls,
Younis,Khan,20,44.80,2601,51.67,Right-hand bat,33.0,115.00,198.0,3.48,-,
Inzamam-ul-Haq,,81,49.40,11217,52.85,Right-hand bat,1.3,-,-,5.33,lo,
Mohammad,Yousuf,39,47.84,6012,46.95,Right-hand bat,1.0,-,-,3.00,rob,
Abdul,Razzaq,21,32.34,2159,43.44,Right-hand bat,515.0,32.45,70.2,2.77,rfm,
Rashid,Latif,31,29.05,2465,47.13,Right-hand bat,2.0,-,-,5.00,rls,
Saqlain,Mushtaq,40,16.20,3165,24.58,Right-hand bat,1934.0,28.52,68.6,2.49,rob,
Waqar,Younis,80,10.52,1939,46.67,Right-hand bat,2537.1,22.98,42.8,3.21,rf,
Shoaib,Akhtar,21,9.00,481,39.29,Right-hand bat,607.2,29.85,52.8,3.39,rf,
Danish,Kaneria,8,6.33,48,39.58,Right-hand bat,292.4,21.39,46.2,2.77,rls,
MH,Richardson,18,46.42,3124,41.61,Left-hand bat,10.0,17.00,60.0,1.70,lo,
MJ,Horne,33,29.05,4180,41.00,Right-hand bat,11.0,-,-,2.36,rm,
L,Vincent,7,34.91,858,48.83,Right-hand bat,-,-,-,-,rm,
SP,Fleming,69,36.08,9542,42.36,Left-hand bat,-,-,-,-,-,
CZ,Harris,21,21.79,2168,34.17,Left-hand bat,402.4,69.56,151.0,2.76,rm,
CD,McMillan,40,42.78,4480,57.29,Right-hand bat,384.5,43.48,85.5,3.05,rm,
RG,Hart,1,2.00,30,13.33,Right-hand bat,-,-,-,-,-,
DL,Vettori,40,16.32,1843,43.40,Left-hand bat,1701.5,34.29,77.9,2.64,lo,
BGK,Walker,5,19.66,478,24.68,Right-hand bat,111.3,79.80,133.8,3.57,rls,
DR,Tuffey,9,5.60,166,33.73,Right-hand bat,277.5,32.43,55.5,3.50,rfm,
CS,Martin,11,1.71,68,17.64,Right-hand bat,326.0,34.58,57.5,3.60,rfm,
