Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
FDM,Karunaratne,30,32.05,3551,49.64,Left-hand bat,2.0,-,-,2.50,rm,
JK,Silva,29,29.90,3983,40.54,Right-hand bat,-,-,-,-,-,
MDKJ,Perera,6,31.90,443,72.00,Left-hand bat,-,-,-,-,-,
BKG,Mendis,8,41.06,1045,58.94,Right-hand bat,-,-,-,-,-,
AD,Mathews,61,47.92,8470,50.35,Right-hand bat,580.0,51.74,112.2,2.76,rm,
LD,Chandimal,30,42.48,3734,55.75,Right-hand bat,-,-,-,-,rob,
DM,de Silva,2,32.75,211,62.08,Right-hand bat,15.0,21.00,90.0,1.40,rob,
MDK,Perera,11,13.72,563,43.87,Right-hand bat,493.4,26.78,53.8,2.98,rob,
HMRKB,Herath,72,14.40,2469,50.18,Left-hand bat,3382.3,29.42,63.6,2.77,lo,
PADLR,Sandakan,2,14.50,29,100.00,Right-hand bat,52.4,15.22,35.1,2.60,lc,
MVT,Fernando,1,0.00,5,0.00,Right-hand bat,2.0,16.00,12.0,8.00,lmf,
JA,Burns,12,41.52,1463,59.60,Right-hand bat,-,-,-,-,-,
DA,Warner,53,48.82,5939,77.28,Left-hand bat,56.0,66.00,84.0,4.71,rls,
UT,Khawaja,17,44.03,2114,54.16,Left-hand bat,-,-,-,-,rm,
SPD,Smith,43,58.41,6938,57.24,Right-hand bat,198.0,53.18,74.2,4.29,rls,
AC,Voges,17,79.55,2512,57.00,Right-hand bat,5.4,-,-,4.41,lo,
MR,Marsh,17,23.39,1010,53.26,Right-hand bat,266.1,34.55,59.1,3.50,rm,
PM,Nevill,14,22.50,860,41.86,Right-hand bat,-,-,-,-,-,
MA,Starc,27,24.56,1089,67.67,Left-hand bat,873.5,27.88,48.5,3.44,lf,
NM,Lyon,56,14.65,1335,41.72,Right-hand bat,2106.5,32.78,61.9,3.17,rob,
JR,Hazlewood,19,18.70,385,48.57,Left-hand bat,648.3,25.29,50.5,3.00,rfm,
JM,Holland,1,-,7,0.00,Right-hand bat,25.0,66.50,75.0,5.32,lo,
