Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
D,Ganga,11,21.00,1214,32.86,Right-hand bat,-,-,-,-,rob,
CH,Gayle,12,33.05,1396,44.98,Left-hand bat,44.0,25.75,66.0,2.34,rob,
RR,Sarwan,15,35.79,2262,37.97,Right-hand bat,3.0,-,-,6.66,rls,
BC,Lara,81,48.56,11257,59.97,Left-hand bat,10.0,-,-,2.80,rls,
CL,Hooper,88,35.10,9455,50.49,Right-hand bat,1965.1,48.91,119.1,2.46,rob,
MN,Samuels,10,28.05,1194,39.94,Right-hand bat,72.5,73.66,145.6,3.03,rob,
RD,Jacobs,33,27.95,2999,44.74,Left-hand bat,-,-,-,-,-,
NC,McGarrell,4,15.25,215,28.37,Right-hand bat,202.0,26.64,71.2,2.24,lo,
M,Dillon,17,8.20,709,34.69,Right-hand bat,582.4,31.42,59.2,3.18,rfm,
D,Ramnarine,9,8.83,396,26.76,Left-hand bat,476.3,28.82,81.6,2.11,rls,
CEL,Stuart,5,4.00,140,17.14,Right-hand bat,177.5,30.25,53.3,3.40,rfm,
MS,Atapattu,49,37.74,8,8,Right-hand bat,8.0,24.00,48.0,3.00,rls,
ST,Jayasuriya,64,39.59,8,17,Left-hand bat,759.1,34.58,81.3,2.55,lo,
KC,Sangakkara,14,43.95,2130,43.33,Left-hand bat,-,-,-,-,rob,
DPMD,Jayawardene,35,48.39,4757,53.92,Right-hand bat,68.2,53.00,102.5,3.10,rm,
RP,Arnold,31,28.45,3043,43.01,Left-hand bat,209.2,51.72,114.1,2.71,rob,
HP,Tillakaratne,61,40.75,8,16,Left-hand bat,6.4,-,-,2.10,rob,
TT,Samaraweera,3,180.00,355,50.70,Right-hand bat,34.0,32.66,68.0,2.88,rob,
WPUJC,Vaas,53,17.91,2856,38.90,Left-hand bat,1915.4,30.27,70.9,2.55,lfm,
MRCN,Bandaratilleke,5,8.00,187,29.94,Right-hand bat,257.0,28.80,73.4,2.35,lo,
M,Muralitharan,67,13.25,1041,66.18,Right-hand bat,3690.3,24.50,61.3,2.39,rob,
TCB,Fernando,1,-,-,-,Right-hand bat,20.0,-,-,4.50,rfm,
