Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Mohammad,Hafeez,47,40.85,5924,56.54,Right-hand bat,658.5,33.90,76.0,2.67,rob,
Azhar,Ali,45,43.37,8453,40.54,Right-hand bat,57.0,53.50,85.5,3.75,rls,
Shoaib,Malik,35,35.14,4155,45.67,Right-hand bat,452.0,47.46,84.7,3.36,rob,
Younis,Khan,104,53.94,17343,52.56,Right-hand bat,134.0,54.55,89.3,3.66,-,
Misbah-ul-Haq,,61,48.89,9856,44.15,Right-hand bat,-,-,-,-,rls,
Asad,Shafiq,41,43.28,5593,46.43,Right-hand bat,14.0,51.00,84.0,3.64,rob,
Sarfaraz,Ahmed,21,46.28,1738,74.56,Right-hand bat,-,-,-,-,rob,
Wahab,Riaz,15,8.76,392,38.01,Right-hand bat,440.2,34.16,61.4,3.33,lf,
Yasir,Shah,12,10.46,274,49.63,Right-hand bat,613.4,24.17,48.4,2.99,rls,
Zulfiqar,Babar,13,16.00,191,67.01,Right-hand bat,679.2,38.82,79.9,2.91,lo,
Rahat,Ali,14,8.16,255,38.43,Right-hand bat,470.4,36.25,70.6,3.08,lfm,
AN,Cook,122,47.47,21075,46.40,Left-hand bat,3.0,7.00,18.0,2.33,-,
MM,Ali,19,27.76,1763,47.24,Left-hand bat,528.0,38.14,58.6,3.90,rob,
IR,Bell,118,42.69,15622,49.46,Right-hand bat,18.0,76.00,108.0,4.22,rm,
JE,Root,35,54.90,5754,52.48,Right-hand bat,179.3,44.66,89.7,2.98,rob,
JWA,Taylor,3,25.20,322,39.13,Right-hand bat,-,-,-,-,rls,
JM,Bairstow,20,26.40,1767,47.82,Right-hand bat,-,-,-,-,rm,
SR,Patel,6,16.77,338,44.67,Right-hand bat,143.0,60.14,122.5,2.94,lo,
AU,Rashid,3,20.60,334,30.83,Right-hand bat,136.5,69.50,102.6,4.06,rls,
SCJ,Broad,87,23.27,3765,66.77,Left-hand bat,3008.2,29.12,57.3,3.04,rfm,
JM,Anderson,110,10.37,2557,40.16,Left-hand bat,4079.1,28.96,57.4,3.02,rfm,
BA,Stokes,19,28.58,1578,61.59,Left-hand bat,503.5,40.44,67.1,3.61,rfm,
