Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
MS,Harris,6,32.70,616,53.08,Left-hand bat,-,-,-,-,-,
JA,Burns,16,40.10,1874,59.92,Right-hand bat,-,-,-,-,-,
UT,Khawaja,41,42.53,5523,50.06,Left-hand bat,2.0,-,-,2.50,rm,
M,Labuschagne,5,26.25,432,48.61,Right-hand bat,60.0,27.11,40.0,4.06,rls,
TM,Head,8,51.00,1299,51.03,Left-hand bat,11.0,-,-,4.09,rob,
KR,Patterson,2,144.00,274,52.55,Left-hand bat,-,-,-,-,rob,
TD,Paine,21,35.14,2278,43.19,Right-hand bat,-,-,-,-,rm,
FDM,Karunaratne,58,36.58,8104,49.21,Left-hand bat,31.0,117.00,186.0,3.77,rm,
HDRL,Thirimanne,31,23.48,3303,38.38,Left-hand bat,14.0,-,-,3.64,rmf,
LD,Chandimal,53,41.86,7667,49.14,Right-hand bat,-,-,-,-,rob,
BKG,Mendis,36,36.62,4455,56.72,Right-hand bat,13.0,55.00,78.0,4.23,-,
MDKJ,Perera,14,28.58,955,71.83,Left-hand bat,-,-,-,-,-,
DM,de Silva,23,32.67,2547,55.16,Right-hand bat,211.1,74.50,126.7,3.52,rob,
N,Dickwella,29,30.90,2232,70.60,Left-hand bat,-,-,-,-,-,
C,Karunaratne,1,11.00,43,51.16,Right-hand bat,26.0,148.00,156.0,5.69,rmf,
MDK,Perera,38,18.45,2364,47.63,Right-hand bat,1618.4,33.96,63.4,3.21,rob,
CAK,Rajitha,4,2.00,101,7.92,Right-hand bat,135.0,33.64,57.8,3.48,rmf,
MVT,Fernando,3,1.00,43,9.30,Right-hand bat,69.0,38.85,59.1,3.94,lmf,
PJ,Cummins,20,20.30,1323,39.90,Right-hand bat,733.3,22.02,46.8,2.82,rf,
MA,Starc,51,21.85,2051,67.13,Left-hand bat,1755.2,28.20,49.9,3.39,lf,
JA,Richardson,2,1.00,7,14.28,Right-hand bat,51.0,20.50,51.0,2.41,rf,
NM,Lyon,86,11.98,2007,45.98,Right-hand bat,3650.5,32.24,63.8,3.02,rob,
