Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Tamim,Iqbal,14,32.38,1673,50.32,Left-hand bat,2.0,-,-,2.00,-,
Imrul,Kayes,8,11.87,484,39.25,Left-hand bat,1.0,-,-,7.00,-,
Junaid,Siddique,13,23.52,1414,41.58,Left-hand bat,3.0,-,-,3.66,rob,
Mohammad,Ashraful,52,23.11,4830,46.41,Right-hand bat,260.1,58.30,78.0,4.48,rob,
Raqibul,Hasan,7,19.14,634,42.27,Right-hand bat,3.0,5.00,18.0,1.66,rls,
Shakib,Al Hasan,16,28.21,1477,53.48,Left-hand bat,589.4,28.92,62.0,2.79,lo,
Mushfiqur,Rahim,18,27.00,1889,45.73,Right-hand bat,-,-,-,-,-,
Mahmudullah,,4,38.33,432,53.24,Right-hand bat,93.4,24.14,40.1,3.60,rob,
Shahadat,Hossain,25,9.23,733,42.83,Right-hand bat,613.2,42.18,61.3,4.12,rmf,
Shafiul,Islam,2,5.75,59,38.98,Right-hand bat,47.0,53.50,70.5,4.55,rfm,
Rubel,Hossain,4,4.33,92,14.13,Right-hand bat,93.0,107.75,139.5,4.63,rf,
G,Gambhir,29,57.50,5063,54.51,Left-hand bat,-,-,-,-,rls,
V,Sehwag,74,52.46,7941,80.60,Right-hand bat,436.1,42.90,84.4,3.04,rob,
R,Dravid,139,53.75,26882,42.38,Right-hand bat,20.0,39.00,120.0,1.95,rob,
SR,Tendulkar,164,55.37,,,Right-hand bat,663.4,52.22,90.5,3.46,-,
M,Vijay,3,47.75,304,62.82,Right-hand bat,-,-,-,-,rob,
MS,Dhoni,41,41.18,3663,61.83,Right-hand bat,2.0,-,-,7.00,rm,
Harbhajan,Singh,81,16.70,2397,64.12,Right-hand bat,3781.4,31.00,65.7,2.82,rob,
Z,Khan,70,13.35,1815,51.51,Right-hand bat,2343.5,33.04,59.8,3.31,lfm,
I,Sharma,21,10.86,526,30.98,Right-hand bat,633.0,32.85,60.2,3.27,rfm,
PP,Ojha,3,-,27,25.92,Left-hand bat,123.1,29.53,56.8,3.11,lo,
Yuvraj,Singh,33,35.95,2704,58.50,Left-hand bat,125.1,53.87,93.8,3.44,lo,
