Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
DD,Ebrahim,19,26.57,2309,40.27,Right-hand bat,-,-,-,-,rm,
TR,Gripper,19,20.66,2350,31.65,Right-hand bat,132.1,84.83,132.1,3.85,rob,
SV,Carlisle,34,25.98,4047,36.59,Right-hand bat,-,-,-,-,rm,
GW,Flower,66,29.23,9953,34.36,Right-hand bat,563.0,61.48,135.1,2.73,lo,
T,Taibu,13,23.96,1507,39.74,Right-hand bat,-,-,-,-,rm,
SM,Ervine,4,32.62,471,55.41,Left-hand bat,80.0,57.33,80.0,4.30,-,
HH,Streak,58,23.55,4909,36.95,Right-hand bat,2108.1,27.62,62.9,2.63,rfm,
AM,Blignaut,15,24.53,967,65.97,Left-hand bat,467.0,32.62,54.9,3.56,rmf,
GM,Ewing,2,18.50,126,58.73,Right-hand bat,29.0,119.00,174.0,4.10,rob,
RW,Price,17,9.73,733,30.55,Right-hand bat,847.0,37.19,77.0,2.89,lo,
DT,Hondo,4,5.33,79,20.25,Right-hand bat,86.4,33.66,57.7,3.49,rfm,
Hannan,Sarkar,13,23.73,1293,47.71,Right-hand bat,-,-,-,-,rm,
Shahriar,Hossain,2,17.00,168,40.47,Right-hand bat,-,-,-,-,rob,
Tapash,Baisya,12,8.57,385,42.33,Right-hand bat,335.2,55.21,87.4,3.78,rfm,
Habibul,Bashar,27,34.71,3227,57.01,Right-hand bat,39.0,-,-,5.00,rob,
Rajin,Saleh,6,28.50,934,36.61,Right-hand bat,21.0,61.00,126.0,2.90,rob,
Mohammad,Ashraful,16,22.25,1696,40.68,Right-hand bat,97.0,88.20,116.4,4.54,rob,
Mushfiqur,Rahman,5,21.00,578,29.06,Right-hand bat,113.5,56.85,97.5,3.49,rfm,
Manjural,Islam Rana,1,66.00,216,30.55,Left-hand bat,20.2,33.00,61.0,3.24,lo,
Khaled,Mashud,24,17.56,2197,32.77,Right-hand bat,-,-,-,-,-,
Mohammad,Rafique,9,11.80,355,49.85,Left-hand bat,467.5,28.09,66.8,2.52,lo,
Manjural,Islam,17,3.68,374,21.65,Left-hand bat,495.0,57.32,106.0,3.24,lfm,
