Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Khurram,Manzoor,11,31.42,1354,44.09,Right-hand bat,-,-,-,-,rob,
Shan,Masood,2,24.00,206,46.60,Left-hand bat,-,-,-,-,rmf,
Azhar,Ali,31,38.53,5380,38.68,Right-hand bat,22.0,89.00,132.0,4.04,rls,
Younis,Khan,86,51.17,13735,51.79,Right-hand bat,134.0,54.55,89.3,3.66,-,
Misbah-ul-Haq,,43,46.03,6927,41.20,Right-hand bat,-,-,-,-,rls,
Asad,Shafiq,23,39.11,3133,42.45,Right-hand bat,-,-,-,-,rob,
Adnan,Akmal,20,25.43,1328,44.05,Right-hand bat,-,-,-,-,-,
Saeed,Ajmal,30,11.40,939,42.49,Right-hand bat,1592.5,26.54,60.1,2.64,rob,
Zulfiqar,Babar,2,27.00,43,62.79,Right-hand bat,82.2,44.00,82.3,3.20,lo,
Mohammad,Irfan,4,5.60,87,32.18,Right-hand bat,118.4,38.90,71.2,3.27,lf,
Junaid,Khan,13,6.16,210,35.23,Right-hand bat,435.4,29.19,62.2,2.81,lf,
AN,Petersen,26,37.15,3207,50.98,Right-hand bat,19.0,62.00,114.0,3.26,rob,
GC,Smith,112,49.36,15148,59.63,Left-hand bat,236.2,110.62,177.2,3.74,rob,
D,Elgar,7,30.71,451,47.67,Left-hand bat,5.0,21.00,30.0,4.20,lo,
JH,Kallis,164,55.44,28549,46.02,Right-hand bat,3327.0,32.61,69.3,2.82,rfm,
DW,Steyn,67,13.76,2149,41.64,Right-hand bat,2347.0,22.65,41.4,3.28,rf,
AB,de Villiers,87,51.44,12149,54.63,Right-hand bat,33.0,49.50,99.0,3.00,rm,
JP,Duminy,19,35.54,1948,43.78,Left-hand bat,186.0,37.94,65.6,3.46,rob,
F,du Plessis,9,58.50,1389,42.11,Right-hand bat,12.0,-,-,5.66,rls,
VD,Philander,18,20.26,810,47.53,Right-hand bat,601.3,17.50,37.9,2.76,rfm,
M,Morkel,51,13.32,1340,49.70,Left-hand bat,1659.4,30.23,56.2,3.22,rf,
Imran,Tahir,12,11.25,137,65.69,Right-hand bat,413.3,42.20,72.9,3.47,rls,
