Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
CJL,Rogers,17,34.78,2534,45.30,Left-hand bat,-,-,-,-,rls,
DA,Warner,33,50.05,3996,73.89,Left-hand bat,49.0,54.50,73.5,4.44,rls,
SR,Watson,53,35.98,6533,52.88,Right-hand bat,809.1,32.23,70.3,2.74,rfm,
MJ,Clarke,108,50.79,15036,56.07,Right-hand bat,403.5,37.93,78.1,2.91,lo,
SPD,Smith,23,46.02,3357,52.10,Right-hand bat,165.0,50.64,70.7,4.29,rls,
MR,Marsh,3,40.83,428,57.24,Right-hand bat,55.0,-,-,2.72,rm,
NM,Lyon,36,14.37,929,37.13,Right-hand bat,1405.2,34.66,66.3,3.13,rob,
BJ,Haddin,60,33.97,5330,58.01,Right-hand bat,-,-,-,-,-,
MG,Johnson,62,22.24,3013,57.58,Left-hand bat,2317.3,27.60,50.7,3.26,lf,
M,Vijay,28,37.91,4119,45.10,Right-hand bat,30.0,91.00,180.0,3.03,rob,
S,Dhawan,11,36.31,1014,68.04,Left-hand bat,5.0,-,-,1.80,rob,
CA,Pujara,25,49.15,3911,50.26,Right-hand bat,-,-,-,-,rls,
V,Kohli,30,43.08,4064,51.94,Right-hand bat,24.0,-,-,2.91,rm,
AM,Rahane,11,38.94,1386,53.39,Right-hand bat,-,-,-,-,rm,
RG,Sharma,8,44.83,1005,53.53,Right-hand bat,52.4,93.50,158.0,3.55,rob,
WP,Saha,3,18.66,296,37.83,Right-hand bat,-,-,-,-,-,
KV,Sharma,1,8.00,28,28.57,Left-hand bat,49.0,59.50,73.5,4.85,rls,
Mohammed,Shami,10,11.50,218,63.30,Right-hand bat,355.0,37.82,60.8,3.72,rf,
I,Sharma,59,9.03,1797,29.15,Right-hand bat,1993.3,37.25,66.8,3.34,rfm,
VR,Aaron,4,4.40,67,32.83,Right-hand bat,120.0,50.72,65.4,4.65,rf,
PM,Siddle,56,14.30,2090,46.55,Right-hand bat,1981.1,30.45,61.9,2.95,rfm,
RJ,Harris,25,19.32,790,61.13,Right-hand bat,870.0,23.12,49.7,2.79,rf,
