Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
NT,Paranavitana,15,37.03,2021,47.64,Left-hand bat,15.0,76.00,90.0,5.06,rob,
TM,Dilshan,65,42.44,6077,65.65,Right-hand bat,207.2,32.26,65.4,2.95,rob,
KC,Sangakkara,93,57.25,14732,55.95,Left-hand bat,11.0,-,-,3.45,rob,
DPMD,Jayawardene,115,53.82,18100,52.63,Right-hand bat,91.1,48.66,91.1,3.20,rm,
TT,Samaraweera,62,54.25,9151,48.02,Right-hand bat,215.1,48.50,92.2,3.15,rob,
AD,Mathews,12,35.13,914,57.65,Right-hand bat,121.0,64.50,121.0,3.19,rm,
HAPW,Jayawardene,35,30.05,2371,49.43,Right-hand bat,-,-,-,-,-,
KMDN,Kulasekara,12,16.37,594,44.10,Right-hand bat,279.4,33.80,64.5,3.14,rfm,
HMRKB,Herath,23,13.52,684,45.46,Left-hand bat,921.1,37.37,74.6,3.00,lo,
BAW,Mendis,14,13.72,357,42.29,Right-hand bat,616.3,31.69,62.6,3.03,rob,
CH,Gayle,90,41.92,10782,59.10,Left-hand bat,1142.5,41.59,95.2,2.62,rob,
AB,Barath,4,28.57,340,58.82,Right-hand bat,1.0,-,-,4.00,rob,
DM,Bravo,2,69.00,307,44.95,Left-hand bat,-,-,-,-,rm,
S,Chanderpaul,128,48.96,21118,42.66,Left-hand bat,280.0,105.62,210.0,3.01,rls,
BP,Nash,17,37.76,2267,43.31,Left-hand bat,73.0,108.50,219.0,2.97,lm,
DJ,Bravo,39,31.88,4520,48.67,Right-hand bat,1077.4,39.83,75.1,3.17,rm,
CS,Baugh,7,23.09,472,53.81,Right-hand bat,-,-,-,-,rls,
DJG,Sammy,10,17.23,544,53.86,Right-hand bat,302.4,31.03,62.6,2.97,rm,
SJ,Benn,16,14.66,602,58.47,Left-hand bat,730.1,41.41,85.9,2.89,lo,
S,Shillingford,5,10.83,175,37.14,Right-hand bat,241.2,56.78,103.4,3.29,rob,
KAJ,Roach,9,6.00,170,35.29,Right-hand bat,314.4,28.25,52.4,3.23,rfm,
RAS,Lakmal,1,-,-,-,Right-hand bat,18.0,45.50,54.0,5.05,rfm,
