Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
G,Gambhir,20,44.39,2647,55.34,Left-hand bat,-,-,-,-,rls,
V,Sehwag,63,51.44,6908,77.44,Right-hand bat,358.1,36.48,74.1,2.95,rob,
R,Dravid,128,53.14,24688,41.97,Right-hand bat,20.0,39.00,120.0,1.95,rob,
SR,Tendulkar,153,54.25,,,Right-hand bat,644.4,52.71,92.0,3.43,-,
VVS,Laxman,99,45.41,12810,49.28,Right-hand bat,54.0,63.00,162.0,2.33,rob,
SC,Ganguly,112,42.17,13916,51.21,Left-hand bat,519.3,52.53,97.4,3.23,rm,
MS,Dhoni,32,35.86,2538,63.59,Right-hand bat,1.0,-,-,13.00,rm,
A,Kumble,132,17.77,6455,38.82,Right-hand bat,6808.2,29.65,65.9,2.69,rls,
Z,Khan,59,13.08,1509,50.29,Right-hand bat,1936.5,34.11,61.8,3.31,lfm,
ML,Hayden,97,52.72,13956,60.06,Left-hand bat,9.0,-,-,4.44,rm,
SM,Katich,29,40.22,3748,48.29,Left-hand bat,125.5,36.23,58.0,3.74,lc,
RT,Ponting,122,58.05,17579,58.78,Right-hand bat,89.5,48.40,107.8,2.69,rm,
MEK,Hussey,28,66.92,5141,50.76,Left-hand bat,19.0,-,-,3.94,rm,
MJ,Clarke,38,46.78,4461,54.53,Right-hand bat,207.4,31.55,69.2,2.73,lo,
SR,Watson,6,26.66,538,44.60,Right-hand bat,111.0,51.42,95.1,3.24,rfm,
BJ,Haddin,6,31.33,667,42.27,Right-hand bat,-,-,-,-,-,
CL,White,3,18.50,148,50.00,Right-hand bat,81.0,60.60,97.2,3.74,rls,
B,Lee,71,21.20,2553,53.15,Right-hand bat,2582.4,30.25,52.3,3.46,rf,
MG,Johnson,12,27.25,379,57.51,Left-hand bat,475.0,33.32,61.9,3.22,lf,
SR,Clark,20,11.86,267,66.66,Right-hand bat,748.4,22.89,54.1,2.53,rfm,
I,Sharma,12,13.50,345,31.30,Right-hand bat,350.1,33.64,61.7,3.26,rfm,
A,Mishra,2,-,0,-,Right-hand bat,87.2,28.00,58.2,2.88,rls,
