Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Hannan,Sarkar,3,28.83,239,72.38,Right-hand bat,-,-,-,-,rm,
Al,Sahariar,13,22.61,1140,51.57,Right-hand bat,-,-,-,-,rls,
Habibul,Bashar,15,34.13,1735,57.06,Right-hand bat,31.0,-,-,5.03,rob,
Sanwar,Hossain,6,17.08,437,46.91,Right-hand bat,23.0,53.50,69.0,4.65,rob,
Khaled,Mashud,14,16.57,1157,30.07,Right-hand bat,-,-,-,-,-,
Rafiqul,Islam,1,3.50,53,13.20,Right-hand bat,-,-,-,-,-,
Tushar,Imran,3,8.66,157,33.12,Right-hand bat,-,-,-,-,-,
Alok,Kapali,3,33.60,371,45.28,Right-hand bat,78.0,161.50,234.0,4.14,rls,
Tapash,Baisya,3,13.80,163,42.33,Right-hand bat,78.0,120.00,156.0,4.61,rfm,
Manjural,Islam,13,2.82,270,17.77,Left-hand bat,368.0,57.09,100.3,3.41,lfm,
Talha,Jubair,4,3.25,57,22.80,Right-hand bat,108.4,51.44,72.4,4.26,rm,
GC,Smith,4,56.33,584,57.87,Left-hand bat,-,-,-,-,rob,
HH,Gibbs,40,41.63,5800,46.65,Right-hand bat,-,-,-,-,-,
G,Kirsten,85,43.34,14071,42.50,Left-hand bat,56.1,70.50,168.5,2.51,rob,
JH,Kallis,62,49.82,10589,39.52,Right-hand bat,1366.2,29.13,66.1,2.64,rfm,
AG,Prince,5,19.62,388,40.46,Left-hand bat,-,-,-,-,rob,
M,van Jaarsveld,2,50.00,85,58.82,Right-hand bat,-,-,-,-,-,
MV,Boucher,54,28.84,3632,50.82,Right-hand bat,-,-,-,-,rm,
SM,Pollock,64,31.57,4575,49.00,Right-hand bat,2379.3,20.80,54.2,2.29,rfm,
CW,Henderson,7,9.28,202,32.17,Right-hand bat,327.0,42.18,89.1,2.83,lo,
M,Ntini,25,8.44,293,51.87,Right-hand bat,742.5,33.17,65.5,3.03,rf,
M,Hayward,12,8.66,135,38.51,Right-hand bat,377.5,29.95,56.6,3.17,rf,
