Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
GC,Smith,22,56.20,2930,65.22,Left-hand bat,51.5,83.00,155.5,3.20,rob,
HH,Gibbs,57,49.00,8758,50.91,Right-hand bat,-,-,-,-,-,
JA,Rudolph,12,39.83,1483,48.34,Left-hand bat,47.0,95.00,141.0,4.04,rls,
JH,Kallis,76,55.07,13736,41.70,Right-hand bat,1776.0,30.11,66.1,2.72,rfm,
G,Kirsten,99,45.92,16588,43.46,Left-hand bat,58.1,71.00,174.5,2.44,rob,
PR,Adams,45,9.00,1012,35.57,Right-hand bat,1475.0,32.87,66.0,2.98,lc,
ND,McKenzie,40,33.91,4799,41.69,Right-hand bat,10.0,-,-,5.50,rm,
MV,Boucher,72,31.77,5159,52.35,Right-hand bat,-,-,-,-,rm,
SM,Pollock,81,34.26,5626,51.15,Right-hand bat,3031.2,21.20,55.1,2.30,rfm,
M,Ntini,43,11.33,601,50.91,Right-hand bat,1447.5,29.19,55.3,3.16,rf,
A,Nel,9,2.50,71,21.12,Right-hand bat,308.1,29.84,56.0,3.19,rfm,
MH,Richardson,29,48.04,5810,38.03,Left-hand bat,10.0,17.00,60.0,1.70,lo,
MHW,Papps,1,35.50,189,37.56,Right-hand bat,-,-,-,-,-,
SP,Fleming,80,38.39,11445,43.27,Left-hand bat,-,-,-,-,-,
SB,Styris,10,39.81,1400,45.50,Right-hand bat,138.0,47.33,92.0,3.08,rm,
CD,McMillan,49,41.23,5228,56.00,Right-hand bat,406.0,45.40,90.2,3.01,rm,
CL,Cairns,57,32.13,5328,54.27,Right-hand bat,1790.5,29.46,54.2,3.25,rfm,
JDP,Oram,8,39.18,927,46.49,Left-hand bat,236.5,25.95,59.2,2.63,rfm,
BB,McCullum,1,76.00,134,56.71,Right-hand bat,-,-,-,-,-,
DL,Vettori,51,21.00,2642,49.28,Left-hand bat,2106.2,36.39,82.0,2.66,lo,
PJ,Wiseman,19,11.10,745,29.79,Right-hand bat,705.0,45.51,90.0,3.03,rob,
DR,Tuffey,19,11.63,627,35.24,Right-hand bat,590.5,28.33,57.1,2.97,rfm,
