Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Tamim,Iqbal,11,27.65,1214,45.55,Left-hand bat,2.0,-,-,2.00,-,
Imrul,Kayes,5,13.90,364,38.18,Left-hand bat,1.0,-,-,7.00,-,
Junaid,Siddique,11,24.47,1203,42.72,Left-hand bat,2.0,-,-,1.00,rob,
Raqibul,Hasan,4,15.00,317,37.85,Right-hand bat,2.0,-,-,2.50,rls,
Mohammad,Ashraful,49,23.45,4639,46.00,Right-hand bat,245.1,57.89,77.4,4.48,rob,
Shakib,Al Hasan,13,26.21,1187,50.80,Left-hand bat,452.3,30.70,67.8,2.71,lo,
Mushfiqur,Rahim,15,22.92,1495,41.40,Right-hand bat,-,-,-,-,-,
Mahmudullah,,1,8.50,57,29.82,Right-hand bat,34.4,13.75,26.0,3.17,rob,
Mashrafe,Mortaza,36,12.85,1186,67.20,Right-hand bat,998.2,41.52,76.7,3.24,rfm,
Shahadat,Hossain,22,7.96,593,38.95,Right-hand bat,544.2,44.47,64.0,4.16,rmf,
Rubel,Hossain,1,4.00,34,11.76,Right-hand bat,25.0,40.33,50.0,4.84,rf,
DM,Richards,1,13.50,33,81.81,Right-hand bat,-,-,-,-,rm,
OJ,Phillips,1,54.00,197,54.82,Left-hand bat,-,-,-,-,-,
RA,Austin,1,8.50,109,15.59,Right-hand bat,43.2,56.50,130.0,2.60,rob,
TM,Dowlin,1,20.50,118,34.74,Right-hand bat,-,-,-,-,rob,
FL,Reifer,5,10.70,318,33.64,Left-hand bat,-,-,-,-,rm,
DE,Bernard,2,38.66,248,46.77,Right-hand bat,26.0,41.00,52.0,4.73,rmf,
CAK,Walton,1,5.00,10,100.00,Right-hand bat,-,-,-,-,-,
DJG,Sammy,6,19.45,410,52.19,Right-hand bat,189.4,28.89,59.8,2.89,rm,
NO,Miller,1,2.50,57,8.77,Right-hand bat,22.0,-,-,3.04,lo,
KAJ,Roach,1,4.50,42,21.42,Right-hand bat,49.0,18.83,49.0,2.30,rfm,
TL,Best,13,10.22,376,48.93,Right-hand bat,338.3,45.64,72.5,3.77,rf,
