Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
DD,Ebrahim,6,21.27,630,37.14,Right-hand bat,-,-,-,-,rm,
ADR,Campbell,54,26.97,5990,41.88,Left-hand bat,11.0,-,-,2.54,rob,
H,Masakadza,1,64.00,339,37.75,Right-hand bat,1.0,-,-,3.00,rm,
CB,Wishart,15,17.07,1261,36.55,Right-hand bat,-,-,-,-,rob,
GJ,Whittall,43,30.90,5210,41.51,Right-hand bat,703.2,37.36,84.4,2.65,rm,
GW,Flower,52,30.81,8249,34.36,Right-hand bat,341.5,91.90,205.1,2.68,lo,
HH,Streak,42,19.87,3184,35.58,Right-hand bat,1563.4,24.66,57.5,2.57,rfm,
AM,Blignaut,6,24.44,399,55.13,Left-hand bat,212.5,36.15,67.2,3.22,rmf,
T,Taibu,2,7.25,74,39.18,Right-hand bat,-,-,-,-,rm,
BC,Strang,26,12.91,849,54.77,Right-hand bat,905.3,39.33,97.0,2.43,lm,
RW,Price,4,2.50,101,9.90,Right-hand bat,155.2,39.45,84.7,2.79,lo,
D,Ganga,10,18.76,1003,31.80,Right-hand bat,-,-,-,-,rob,
CH,Gayle,11,36.35,1365,45.27,Left-hand bat,44.0,25.75,66.0,2.34,rob,
S,Chanderpaul,49,39.34,6984,40.56,Left-hand bat,231.0,116.16,231.0,3.01,rls,
RR,Sarwan,14,33.68,1946,38.07,Right-hand bat,3.0,-,-,6.66,rls,
CL,Hooper,87,35.06,9317,50.43,Right-hand bat,1941.1,48.32,117.6,2.46,rob,
MN,Samuels,9,30.60,1121,40.94,Right-hand bat,71.5,72.00,143.6,3.00,rob,
CO,Browne,14,17.53,696,37.78,Right-hand bat,-,-,-,-,-,
NC,McGarrell,3,15.66,154,30.51,Right-hand bat,171.0,21.05,60.3,2.09,lo,
CEL,Stuart,4,5.50,120,18.33,Right-hand bat,139.3,25.61,46.5,3.30,rfm,
MI,Black,4,2.40,75,16.00,Right-hand bat,95.1,48.12,71.3,4.04,rfm,
RD,King,14,3.57,270,18.51,Right-hand bat,414.1,27.77,56.4,2.95,rfm,
