Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
HH,Gibbs,34,40.40,4938,44.99,Right-hand bat,-,-,-,-,-,
G,Kirsten,79,41.46,12825,41.38,Left-hand bat,56.1,70.50,168.5,2.51,rob,
HH,Dippenaar,13,21.52,1059,38.62,Right-hand bat,-,-,-,-,rob,
JH,Kallis,56,48.68,9813,38.20,Right-hand bat,1220.5,28.72,69.7,2.47,rfm,
ND,McKenzie,20,37.00,2793,39.74,Right-hand bat,1.0,-,-,4.00,rm,
L,Klusener,48,33.40,3171,60.04,Left-hand bat,1114.5,37.48,85.7,2.62,rfm,
MV,Boucher,48,29.38,3351,49.98,Right-hand bat,-,-,-,-,rm,
SM,Pollock,62,31.07,4475,48.60,Right-hand bat,2317.3,20.50,53.8,2.28,rfm,
CW,Henderson,4,10.80,151,35.76,Right-hand bat,255.1,37.21,80.5,2.77,lo,
AA,Donald,70,10.93,1814,35.55,Right-hand bat,2537.1,21.77,46.4,2.81,rf,
M,Hayward,10,8.66,135,38.51,Right-hand bat,324.5,31.34,60.9,3.08,rf,
JL,Langer,47,43.35,6612,48.51,Left-hand bat,1.0,-,-,3.00,rm,
ML,Hayden,26,45.69,3331,57.61,Left-hand bat,9.0,-,-,4.44,rm,
RT,Ponting,52,44.19,5837,54.51,Right-hand bat,62.5,37.25,94.2,2.37,rm,
ME,Waugh,121,42.64,14907,52.06,Right-hand bat,762.0,39.75,80.2,2.97,-,
SR,Waugh,144,50.94,19810,47.82,Right-hand bat,1195.5,35.74,80.6,2.66,rm,
DR,Martyn,21,51.84,2415,53.66,Right-hand bat,23.0,60.00,138.0,2.60,rm,
AC,Gilchrist,27,51.65,2122,77.89,Left-hand bat,-,-,-,-,rob,
SK,Warne,97,15.90,3595,53.54,Right-hand bat,4500.3,26.68,63.6,2.51,rls,
B,Lee,17,25.23,624,52.56,Right-hand bat,530.3,24.47,44.2,3.32,rf,
AJ,Bichel,6,7.87,154,40.90,Right-hand bat,162.0,39.76,74.7,3.19,rfm,
GD,McGrath,80,6.62,1039,38.88,Right-hand bat,3202.4,21.89,51.5,2.55,rfm,
