Outcome,Dismissal,Innings,HostCountry,InnBalls,BatTeam,TeamWkts,TeamScore,TeamLead,Batter,BatScore,BatBalls,BatAvg,BatSR,BatArm,BowlTeam,Bowler,BowlBalls,BowlRuns,BowlWkts,BowlAvg,BowlSR,BowlType,SpellBalls,SpellRuns,SpellWkts,TossWin,TossElect,BatTeamTotalRuns,BatTeamTotalWkts,BowlTeamTotalRuns,BowlTeamTotalWkts,Commentary,InnsBalls
0,no,2,AUS,0,AUS,0,0,-144,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 126kph, inswinger, good length, he pushes on the front foot and it goes in the air for a bit towards mid on",0
2,no,2,AUS,1,AUS,0,0,-144,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, 2 runs, good length, 130kph, shaping into middle, he tucks this easily past short leg behind square for two",1
0,no,2,AUS,2,AUS,0,2,-142,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 131kph, good length shaping back into off, he defends on the front foot",2
0,no,2,AUS,3,AUS,0,2,-142,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 130kph, shorter length wide of off, he's up on his toes defending away from his body with soft hands",3
3,no,2,AUS,4,AUS,0,2,-142,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, 3 runs, 131kph, full on the pads, he clips this powerfully into the shoulder of short leg, no chance to catch it, it was middled and hit him before he could move, it runs away for three",4
0,no,2,AUS,5,AUS,0,5,-139,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Burns, no run, 130kph, good length out-swinger, he presses forward and defends with a slightly open face to point",5
0,no,2,AUS,6,AUS,0,5,-139,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Harris, no run, 135kph, full on off, he pushes on the front foot to cover",6
1,no,2,AUS,7,AUS,0,5,-139,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Harris, 1 run, 142kph, back of a length on leg, he clips this neatly from the crease wide of mid on for one",7
0,no,2,AUS,8,AUS,0,6,-138,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, no run, good length, 141kph, wide of off, he leaves this alone",8
0,no,2,AUS,9,AUS,0,6,-138,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, no run, 141kph, good length wide of off, he leaves again on the front foot",9
0,no,2,AUS,10,AUS,0,6,-138,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, no run, 136kph, full out-swinger, not a huge amount of swing, but way wide, he leaves again",10
0,no,2,AUS,11,AUS,0,6,-138,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, no run, wide of the crease, 142kph, angled into off, he drives on the front foot to mid on",11
0,no,2,AUS,12,AUS,0,6,-138,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 129kph, good length, angled into off, he defends on the front foot to cover",12
0,no,2,AUS,13,AUS,0,6,-138,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 132kph, angled down leg side, he tries to glance but misses",13
4,no,2,AUS,14,AUS,0,6,-138,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, FOUR runs, whipped elegantly in the air behind square and it beats Kumara rolling on the rope! It was full and swinging into the pads and he picked this off with a lovely whip of the wrists",14
0,no,2,AUS,15,AUS,0,10,-134,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 132kph, full and swinging in late, he gets an inside edge onto pad driving firmly at it",15
1lb,no,2,AUS,16,AUS,0,10,-134,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, 1 leg bye, shorter into the hip, it comes off the thigh guard and runs behind square for a leg bye",16
0,no,2,AUS,17,AUS,0,11,-133,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Burns, no run, beaten sparring at a good length ball shaping away outside off. He just shuffled across and wafted at it",17
1,no,2,AUS,18,AUS,0,11,-133,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Harris, 1 run, 142kph, good length outside off, he defends with an open faced blade, it runs past point, they take a while before deciding there's an easy one on offer",18
0,no,2,AUS,19,AUS,0,12,-132,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, no run, good length wide of off, he leaves this alone outside off",19
4,no,2,AUS,20,AUS,0,12,-132,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, FOUR runs, over-pitched and beautifully driven wide of mid off, he just leaned on it and timed it very nicely to pick up a boundary",20
0,no,2,AUS,21,AUS,0,16,-128,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, no run, 143kph, back of a length, nipping in and it hits him on the thigh pad",21
0,no,2,AUS,22,AUS,0,16,-128,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, no run, 144kph, good length on off, he presses forward and defends well",22
0,no,2,AUS,23,AUS,0,16,-128,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, no run, back of a length on off, he's back and defending",23
0,no,2,AUS,24,AUS,0,16,-128,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 131kph, full and swinging late into the front pad, they appeal for LBW, but it was shaping well down leg. Not out and they abandoned the appeal",24
0,no,2,AUS,25,AUS,0,16,-128,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 132kph, shorter length wide of off, he punches off the back foot to point",25
0,no,2,AUS,26,AUS,0,16,-128,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 130kph, full on off, he pushes on the front to cover",26
0,no,2,AUS,27,AUS,0,16,-128,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 129kph, good length swinging into leg, he works this off the pad to midwicket",27
0,no,2,AUS,28,AUS,0,16,-128,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 130kph, good length swinging into off, he defends on the front foot with the swing into the on side",28
0,no,2,AUS,29,AUS,0,16,-128,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 131kph, good length, he makes a positive stride into the ball and pushes firmly to mid off",29
4,no,2,AUS,30,AUS,0,16,-128,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, FOUR runs, short ball and Burns loves these, hammering this chest high offering through square leg to the fence! He's a good puller and hooker. Particularly on his home track",30
4,no,2,AUS,31,AUS,0,20,-124,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, FOUR runs, 145kph short again and he hooks this easily again wide of fine leg, Chameera runs around on the rope and gets there but makes a mess of the diving save it rolls into the rope",31
0,no,2,AUS,32,AUS,0,24,-120,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, no run, 143kph, nipping back from a good length, into the thigh guard and rolls into the off side",32
0,no,2,AUS,33,AUS,0,24,-120,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, no run, 144kph, good length angling in, tight leave but a very good, it swings after it passes the stumps and Dickwella has to knock it down diving left",33
0,no,2,AUS,34,AUS,0,24,-120,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, no run, 143kph, fuller outside off, he plays a rock solid forward defence",34
0,no,2,AUS,35,AUS,0,24,-120,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Kumara to Burns, no run, 142kph, good length but well side of off, he raises the bat and lets this pass",35
0,no,2,AUS,36,AUS,0,24,-120,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 132kph, good length on middle and leg, he defends easily from the crease to mid on",36
0,no,2,AUS,37,AUS,0,24,-120,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, beaten by one that nips away! 129kph, good length but this hits the seam pitching on off and zips way past the edge",37
2lb,no,2,AUS,38,AUS,0,24,-120,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, 2 leg byes, inside edge just flies past leg stump! He was driving at 135kph, inswinger, he drives and gets a thick inside edge it just goes past leg stump, they get two to fine leg",38
0,no,2,AUS,39,AUS,0,26,-118,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 132kph, good length on leg, he tucks this off the thigh pad to square leg",39
4,no,2,AUS,40,AUS,0,26,-118,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, FOUR runs, 130kph, swinging down leg and he glances this fine, too easy, and finds another boundary",40
0,no,2,AUS,41,AUS,0,30,-114,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, 130kph, good length wide of off, he leaves this alone on the back foot",41
0,no,2,AUS,42,AUS,0,30,-114,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Chameera to Burns, no run, short ball outside off, he pulls firmly but straight to mid on",42
0,no,2,AUS,43,AUS,0,30,-114,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Chameera to Burns, no run, 135kph, good length out-swinger wide of off, he leaves this alone",43
0,no,2,AUS,44,AUS,0,30,-114,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Chameera to Burns, no run, back of a length, out-swinger wide of off, he leaves off the back foot",44
2,no,2,AUS,45,AUS,0,30,-114,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Chameera to Burns, 2 runs, into leg stump and he clips this easily through midwicket for a couple",45
0,no,2,AUS,46,AUS,0,32,-112,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Chameera to Burns, no run, good length wide of off, he leaves again",46
0,no,2,AUS,47,AUS,0,32,-112,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Chameera to Burns, no run, angled down the leg side and he can't glance fine",47
0,no,2,AUS,48,AUS,0,32,-112,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, length ball on off, and angling further across. Left alone",48
2,no,2,AUS,49,AUS,0,32,-112,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, 2 runs, length ball outside off, and he uncomfortably punches off the back foot. But beats cover, and that allows him to take two. Harris considered taking a third, but eventually said 'no'",49
0,no,2,AUS,50,AUS,0,34,-110,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, full and wide outside off, and he reaches forward to defend. But the delivery whizzes past his outside edge",50
2,no,2,AUS,51,AUS,0,34,-110,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, 2 runs, length ball just outside off, from round the wicket. Punched with the bat's straight face to long off on this occasion",51
0,no,2,AUS,52,AUS,0,36,-108,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, full and wide outside off, and he reaches forward to drive. Splices it back to Lakmal",52
0,no,2,AUS,53,AUS,0,36,-108,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Harris, no run, full outside off again, and this time the cover drive takes an inside edge! But safely rolls away to the leg side to bring the over to a close",53
0,no,2,AUS,54,AUS,0,36,-108,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Chameera to Burns, no run, length ball just outside off, and he presses forward to defend with gentle hands. Played towards the leg side",54
0,no,2,AUS,55,AUS,0,36,-108,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Chameera to Burns, no run, length ball on off stump, and defended with the straight bat. Ball rolls away to mid off",55
0,no,2,AUS,56,AUS,0,36,-108,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Chameera to Burns, no run, length ball, just outside off stump, and left alone",56
1,no,2,AUS,57,AUS,0,36,-108,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Chameera to Burns, 1 run, back of a length on middle, and worked away off his pads to the vacant mid-wicket region. They pinch a single",57
0,no,2,AUS,58,AUS,0,37,-107,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Chameera to Harris, no run, length ball on off, and angling further away. He covers his off stump, and then shoulders his arms to safely negate this delivery",58
0,no,2,AUS,59,AUS,0,37,-107,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Chameera to Harris, no run, length ball on off stump, and he rocks back, using the depth of the crease to defend",59
0,no,2,AUS,60,AUS,0,37,-107,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Burns, no run, ",60
0,no,2,AUS,61,AUS,0,37,-107,,,,,,,SRL,,,,,,,,,,,SRL,bat,323,10,283,20,"Lakmal to Burns, no run, length ball on off stump, and defended with soft hands off the back foot",61
