Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
NT,Paranavitana,17,36.75,2222,46.30,Left-hand bat,15.0,76.00,90.0,5.06,rob,
TM,Dilshan,67,42.18,6181,65.52,Right-hand bat,233.2,34.65,70.0,2.97,rob,
KC,Sangakkara,95,56.63,14786,55.92,Left-hand bat,11.0,-,-,3.45,rob,
DPMD,Jayawardene,117,53.32,18167,52.54,Right-hand bat,91.1,48.66,91.1,3.20,rm,
TT,Samaraweera,64,53.65,9244,48.17,Right-hand bat,215.1,48.50,92.2,3.15,rob,
HAPW,Jayawardene,37,31.39,2545,50.56,Right-hand bat,-,-,-,-,-,
MF,Maharoof,21,19.10,1390,39.85,Right-hand bat,466.0,62.00,111.8,3.32,rfm,
NLTC,Perera,1,22.50,57,78.94,Left-hand bat,24.0,-,-,3.37,rmf,
HMRKB,Herath,25,13.56,722,46.95,Left-hand bat,988.1,37.15,75.0,2.97,lo,
BAW,Mendis,16,14.90,377,43.50,Right-hand bat,665.3,32.48,64.4,3.02,rob,
RAS,Lakmal,3,1.00,7,28.57,Right-hand bat,57.3,50.00,86.2,3.47,rfm,
AJ,Strauss,83,42.98,12163,50.18,Left-hand bat,-,-,-,-,lm,
AN,Cook,66,48.28,10740,49.00,Left-hand bat,1.0,-,-,1.00,-,
JM,Anderson,58,11.41,1497,35.07,Left-hand bat,2037.2,30.98,56.8,3.26,rfm,
IJL,Trott,19,66.77,3729,48.35,Right-hand bat,25.0,115.00,150.0,4.60,rm,
KP,Pietersen,72,48.04,9095,62.33,Right-hand bat,146.3,117.40,175.8,4.00,rob,
IR,Bell,63,45.21,8442,50.87,Right-hand bat,18.0,76.00,108.0,4.22,rm,
EJG,Morgan,7,33.75,506,53.35,Left-hand bat,-,-,-,-,rm,
MJ,Prior,41,42.96,3356,64.00,Right-hand bat,-,-,-,-,-,
SCJ,Broad,35,27.40,1848,59.30,Left-hand bat,1156.1,35.17,67.3,3.13,rfm,
GP,Swann,30,24.70,899,82.42,Right-hand bat,1270.1,27.34,56.4,2.90,rob,
CT,Tremlett,7,9.85,166,41.56,Right-hand bat,301.4,25.82,51.7,2.99,rmf,
