Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
PG,Fulton,21,28.00,2404,39.60,Right-hand bat,-,-,-,-,rm,
HD,Rutherford,11,31.33,947,59.55,Left-hand bat,-,-,-,-,lo,
KS,Williamson,30,36.73,4448,42.94,Right-hand bat,269.1,41.13,73.4,3.36,rob,
LRPL,Taylor,54,46.94,7270,57.46,Right-hand bat,16.0,24.00,48.0,3.00,rob,
BB,McCullum,83,36.36,8018,61.22,Right-hand bat,6.0,-,-,3.00,-,
CJ,Anderson,6,37.62,501,60.07,Left-hand bat,100.0,24.00,54.5,2.64,lmf,
BJ,Watling,20,33.37,2158,44.85,Right-hand bat,-,-,-,-,-,
TG,Southee,30,18.88,946,85.83,Right-hand bat,1051.5,30.79,58.9,3.13,rmf,
IS,Sodhi,6,25.00,234,74.78,Right-hand bat,177.3,59.72,96.8,3.70,rls,
N,Wagner,13,12.46,456,41.00,Left-hand bat,469.0,34.17,59.8,3.42,lmf,
TA,Boult,21,20.15,462,56.70,Right-hand bat,702.2,26.08,54.0,2.89,lfm,
S,Dhawan,6,48.22,634,68.45,Left-hand bat,-,-,-,-,rob,
M,Vijay,21,37.00,2715,47.69,Right-hand bat,1.0,-,-,3.00,rob,
CA,Pujara,18,62.07,3119,51.74,Right-hand bat,-,-,-,-,rls,
V,Kohli,23,43.83,3189,49.48,Right-hand bat,18.0,-,-,3.16,rm,
RG,Sharma,5,60.57,709,59.80,Right-hand bat,15.4,-,-,3.44,rob,
AM,Rahane,4,37.28,557,46.85,Right-hand bat,-,-,-,-,rm,
MS,Dhoni,82,38.51,7337,59.84,Right-hand bat,15.0,-,-,4.13,rm,
RA,Jadeja,7,20.12,225,71.55,Left-hand bat,360.4,23.42,61.8,2.27,lo,
Z,Khan,91,11.85,2362,51.18,Right-hand bat,3062.5,32.74,60.0,3.27,lfm,
I,Sharma,54,8.90,1613,28.70,Right-hand bat,1775.3,37.63,67.4,3.34,rfm,
Mohammed,Shami,5,3.33,54,37.03,Right-hand bat,164.1,27.47,46.9,3.51,rf,
