Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
MH,Richardson,34,47.94,7114,37.74,Left-hand bat,11.0,21.00,66.0,1.90,lo,
SP,Fleming,85,38.65,12270,43.48,Left-hand bat,-,-,-,-,-,
SB,Styris,15,42.88,2122,50.51,Right-hand bat,253.3,49.75,95.0,3.14,rm,
NJ,Astle,62,38.06,7581,49.20,Right-hand bat,773.5,47.52,128.9,2.21,rm,
CD,McMillan,52,40.07,5487,55.51,Right-hand bat,412.0,44.07,88.2,2.99,rm,
JDP,Oram,13,39.73,1439,52.46,Left-hand bat,388.5,31.80,75.2,2.53,rfm,
CL,Cairns,62,33.53,5815,57.09,Right-hand bat,1949.4,29.40,53.6,3.28,rfm,
BB,McCullum,6,34.70,659,52.65,Right-hand bat,-,-,-,-,-,
JEC,Franklin,3,7.00,99,21.21,Left-hand bat,98.0,24.07,45.2,3.19,lm,
KD,Mills,1,4.00,25,32.00,Right-hand bat,6.0,-,-,5.16,rfm,
CS,Martin,16,2.18,138,17.39,Right-hand bat,499.1,30.86,51.6,3.58,rfm,
ME,Trescothick,50,42.59,6894,53.13,Left-hand bat,43.0,137.00,258.0,3.18,rm,
AJ,Strauss,3,45.50,527,51.80,Left-hand bat,-,-,-,-,lm,
MA,Butcher,69,34.92,9709,43.16,Left-hand bat,150.1,36.06,60.0,3.60,rm,
MP,Vaughan,46,44.76,6724,51.26,Right-hand bat,136.0,94.00,163.2,3.45,rob,
GP,Thorpe,90,43.93,13169,46.03,Left-hand bat,23.0,-,-,1.60,rm,
A,Flintoff,36,29.54,2433,66.78,Right-hand bat,1028.0,40.50,84.4,2.87,rfm,
MJ,Hoggard,29,7.77,811,21.08,Right-hand bat,1038.2,32.84,61.6,3.19,rfm,
GO,Jones,4,48.60,399,60.90,Right-hand bat,-,-,-,-,-,
AF,Giles,36,19.73,1957,42.36,Right-hand bat,1387.0,40.01,88.5,2.71,lo,
MJ,Saggers,3,0.33,30,3.33,Right-hand bat,82.1,35.28,70.4,3.00,rfm,
SJ,Harmison,19,5.84,317,35.01,Right-hand bat,725.4,23.77,51.2,2.78,rfm,
