Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Ibrahim,Zadran,2,37.00,388,38.14,Right-hand bat,-,-,-,-,rmf,
Javed,Ahmadi,2,26.25,193,54.40,Right-hand bat,1.0,-,-,9.00,rob,
Ihsanullah,,3,22.00,253,43.47,Right-hand bat,-,-,-,-,-,
Rahmat,Shah,4,37.25,561,53.11,Right-hand bat,-,-,-,-,rls,
Asghar,Afghan,4,35.57,463,53.77,Right-hand bat,2.0,-,-,8.00,rmf,
Nasir,Jamal,1,8.50,50,34.00,Right-hand bat,-,-,-,-,rls,
Afsar,Zazai,3,27.00,338,39.94,Right-hand bat,-,-,-,-,-,
Rashid,Khan,4,15.14,133,79.69,Right-hand bat,156.2,21.08,40.7,3.10,rls,
Amir,Hamza,1,17.50,96,36.45,Right-hand bat,30.5,13.16,30.8,2.56,lo,
Yamin,Ahmadzai,4,4.42,83,37.34,Right-hand bat,70.0,21.10,42.0,3.01,rmf,
Zahir,Khan,2,0.00,14,0.00,Left-hand bat,37.0,31.60,44.4,4.27,lc,
KC,Brathwaite,59,33.29,8574,40.77,Right-hand bat,316.3,56.94,105.5,3.23,rob,
JD,Campbell,6,29.80,483,61.69,Left-hand bat,10.1,-,-,2.95,rob,
SD,Hope,31,27.23,3506,42.72,Right-hand bat,-,-,-,-,-,
SSJ,Brooks,3,34.80,375,46.40,Right-hand bat,-,-,-,-,rls,
SO,Hetmyer,16,27.93,1138,73.63,Left-hand bat,-,-,-,-,-,
RL,Chase,32,31.38,3503,48.38,Right-hand bat,726.2,42.37,73.8,3.44,rob,
SO,Dowrich,31,30.08,3105,46.50,Right-hand bat,-,-,-,-,-,
JO,Holder,40,32.72,3178,59.72,Right-hand bat,1090.1,26.37,61.7,2.56,rmf,
RRS,Cornwall,2,6.66,42,47.61,Right-hand bat,107.3,22.61,49.6,2.73,rob,
KAJ,Roach,56,12.19,2258,39.41,Right-hand bat,1670.0,27.13,51.9,3.13,rfm,
JA,Warrican,8,28.40,253,56.12,Right-hand bat,257.4,39.63,70.2,3.38,lo,
