Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
MS,Atapattu,52,37.50,8,9,Right-hand bat,8.0,24.00,48.0,3.00,rls,
ST,Jayasuriya,67,40.54,8,20,Left-hand bat,775.1,35.48,83.0,2.56,lo,
KC,Sangakkara,17,46.64,2517,46.32,Left-hand bat,-,-,-,-,rob,
DPMD,Jayawardene,38,47.82,5029,54.20,Right-hand bat,68.2,53.00,102.5,3.10,rm,
RP,Arnold,34,27.84,3258,42.72,Left-hand bat,212.2,52.45,115.8,2.71,rob,
HP,Tillakaratne,64,44.56,9,18,Left-hand bat,9.4,-,-,1.65,rob,
TT,Samaraweera,6,140.66,882,47.84,Right-hand bat,71.0,39.00,85.2,2.74,rob,
WPUJC,Vaas,56,18.58,3021,39.98,Left-hand bat,2053.2,28.80,66.5,2.59,lfm,
H,Masakadza,4,44.57,802,38.90,Right-hand bat,1.0,-,-,3.00,rm,
TR,Gripper,10,18.77,1231,27.45,Right-hand bat,47.4,64.33,95.3,4.04,rob,
SV,Carlisle,23,24.74,2402,36.05,Right-hand bat,-,-,-,-,rm,
GJ,Rennie,20,23.28,2641,34.38,Left-hand bat,20.0,75.00,120.0,3.75,lo,
A,Flower,57,55.85,10081,44.87,Left-hand bat,0.1,-,-,0.00,rob,
GW,Flower,57,29.85,8628,34.26,Right-hand bat,432.0,65.27,144.0,2.71,lo,
CB,Wishart,19,21.90,1688,42.83,Right-hand bat,-,-,-,-,rob,
HH,Streak,47,21.85,3605,36.97,Right-hand bat,1708.4,25.97,60.3,2.58,rfm,
TJ,Friend,6,28.14,535,36.82,Right-hand bat,204.2,38.11,72.1,3.17,rfm,
GB,Brent,4,5.83,151,23.17,Right-hand bat,136.2,44.85,116.8,2.30,rm,
HK,Olonga,26,5.40,643,22.70,Right-hand bat,643.0,36.86,66.5,3.32,rf,
DNT,Zoysa,20,8.45,468,43.37,Left-hand bat,424.4,32.52,70.7,2.75,lfm,
TCB,Fernando,2,-,-,-,Right-hand bat,44.5,56.66,89.6,3.79,rfm,
M,Muralitharan,70,13.15,1054,66.12,Right-hand bat,3885.0,24.35,61.0,2.39,rob,
