Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Salman,Butt,3,24.16,231,62.77,Left-hand bat,-,-,-,-,rob,
Imran,Farhat,15,30.03,1676,50.17,Left-hand bat,38.1,60.66,76.3,4.76,rls,
Yasir,Hameed,13,41.00,1562,57.74,Right-hand bat,1.0,-,-,5.00,-,
Younis,Khan,31,38.96,3972,50.02,Right-hand bat,37.0,139.00,222.0,3.75,-,
Mohammad,Yousuf,55,48.15,8139,49.10,Right-hand bat,1.0,-,-,3.00,rob,
Shoaib,Malik,8,37.20,930,40.00,Right-hand bat,130.1,52.12,97.6,3.20,rob,
Abdul,Razzaq,32,28.82,3235,40.98,Right-hand bat,785.5,37.43,76.0,2.95,rfm,
Kamran,Akmal,9,15.00,378,59.52,Right-hand bat,-,-,-,-,-,
Mohammad,Sami,18,12.55,764,29.58,Right-hand bat,648.3,46.52,81.0,3.44,rf,
Shoaib,Akhtar,35,8.57,910,39.56,Right-hand bat,1049.2,24.30,43.7,3.33,rf,
Danish,Kaneria,22,6.00,185,42.16,Right-hand bat,979.5,29.80,62.5,2.85,rls,
JL,Langer,84,46.37,11972,53.07,Left-hand bat,1.0,-,-,3.00,rm,
ML,Hayden,63,54.59,8799,62.66,Left-hand bat,9.0,-,-,4.44,rm,
RT,Ponting,84,54.16,11107,58.03,Right-hand bat,75.5,51.25,113.7,2.70,rm,
DR,Martyn,52,49.93,7011,51.98,Right-hand bat,58.0,84.00,174.0,2.89,rm,
DS,Lehmann,27,44.95,2909,61.80,Left-hand bat,162.2,27.46,64.9,2.53,lo,
MJ,Clarke,8,49.66,1044,57.08,Right-hand bat,10.2,6.16,10.3,3.58,lo,
AC,Gilchrist,64,51.89,4893,81.66,Left-hand bat,-,-,-,-,rob,
SK,Warne,119,16.21,4442,55.13,Right-hand bat,5558.1,25.50,59.4,2.57,rls,
JN,Gillespie,62,16.50,2833,31.45,Right-hand bat,2128.0,24.89,53.2,2.80,rf,
MS,Kasprowicz,30,9.74,776,43.94,Right-hand bat,962.2,30.37,61.4,2.96,rfm,
GD,McGrath,105,7.29,1315,41.59,Right-hand bat,4092.3,21.39,51.4,2.49,rfm,
