Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
SS,Das,12,43.95,2221,41.55,Right-hand bat,3.0,-,-,2.33,rm,
R,Dravid,49,52.54,9854,41.05,Right-hand bat,11.0,-,-,1.90,rob,
VVS,Laxman,25,35.69,2862,52.37,Right-hand bat,25.0,-,-,2.72,rob,
SR,Tendulkar,85,57.63,,,Right-hand bat,291.0,39.73,75.9,3.14,-,
SC,Ganguly,47,41.09,6388,47.60,Left-hand bat,277.2,40.13,72.3,3.32,rm,
V,Sehwag,1,68.00,209,65.07,Right-hand bat,5.0,-,-,4.40,rob,
D,Dasgupta,1,19.00,102,37.25,Right-hand bat,-,-,-,-,-,
A,Kumble,62,17.67,3144,38.23,Right-hand bat,3239.5,28.15,69.4,2.43,rls,
J,Srinath,54,14.29,1737,47.72,Right-hand bat,2084.2,29.96,61.9,2.90,rfm,
Z,Khan,9,8.50,191,44.50,Right-hand bat,280.1,43.45,76.4,3.41,lfm,
A,Nehra,4,13.00,82,31.70,Right-hand bat,128.4,31.50,55.1,3.42,lmf,
HH,Gibbs,31,38.61,4270,44.30,Right-hand bat,-,-,-,-,-,
G,Kirsten,76,42.82,12608,41.44,Left-hand bat,56.1,70.50,168.5,2.51,rob,
JH,Kallis,53,46.97,9003,38.08,Right-hand bat,1151.3,28.14,69.0,2.44,rfm,
ND,McKenzie,17,38.75,2371,39.22,Right-hand bat,-,-,-,-,rm,
HH,Dippenaar,10,23.00,709,42.17,Right-hand bat,-,-,-,-,rob,
L,Klusener,45,35.66,3028,60.07,Left-hand bat,1081.5,37.11,85.4,2.60,rfm,
SM,Pollock,59,31.15,4245,48.43,Right-hand bat,2203.3,20.31,53.5,2.27,rfm,
MV,Boucher,45,28.30,3060,49.01,Right-hand bat,-,-,-,-,rm,
N,Boje,16,26.40,1321,39.96,Left-hand bat,498.0,26.81,67.9,2.36,lo,
M,Ntini,18,8.10,165,49.09,Right-hand bat,506.1,33.31,69.0,2.89,rf,
M,Hayward,7,8.66,74,35.13,Right-hand bat,215.5,27.12,53.9,3.01,rf,
