Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
ME,Trescothick,66,45.26,9422,55.25,Left-hand bat,50.0,155.00,300.0,3.10,rm,
AJ,Strauss,19,50.47,3303,51.95,Left-hand bat,-,-,-,-,lm,
MP,Vaughan,62,43.81,8633,52.27,Right-hand bat,156.0,89.50,156.0,3.44,rob,
IR,Bell,8,42.54,769,60.85,Right-hand bat,7.0,-,-,2.85,rm,
KP,Pietersen,5,52.55,662,71.45,Right-hand bat,-,-,-,-,rob,
A,Flintoff,52,33.43,3900,67.71,Right-hand bat,1548.4,32.31,64.9,2.98,rfm,
PD,Collingwood,3,17.66,392,27.04,Right-hand bat,20.0,-,-,2.70,rm,
GO,Jones,20,29.74,1335,60.14,Right-hand bat,-,-,-,-,-,
AF,Giles,50,20.61,2766,46.20,Right-hand bat,1873.0,38.66,82.0,2.82,lo,
MJ,Hoggard,45,8.62,1432,22.27,Right-hand bat,1537.1,29.63,53.3,3.33,rfm,
SJ,Harmison,35,10.84,585,59.31,Right-hand bat,1263.1,28.49,54.9,3.11,rfm,
JL,Langer,93,46.36,12990,53.89,Left-hand bat,1.0,-,-,3.00,rm,
ML,Hayden,72,52.06,9878,61.13,Left-hand bat,9.0,-,-,4.44,rm,
RT,Ponting,93,55.37,12445,58.73,Right-hand bat,85.5,44.80,103.0,2.60,rm,
DR,Martyn,61,47.96,7966,51.78,Right-hand bat,58.0,84.00,174.0,2.89,rm,
MJ,Clarke,17,40.16,1821,55.13,Right-hand bat,20.2,8.37,15.2,3.29,lo,
SM,Katich,21,39.31,2514,50.03,Left-hand bat,109.5,33.83,54.9,3.69,lc,
AC,Gilchrist,73,52.64,5599,82.74,Left-hand bat,-,-,-,-,rob,
SK,Warne,128,16.97,4888,56.60,Right-hand bat,5992.3,25.16,57.7,2.61,rls,
B,Lee,42,20.86,1290,58.21,Right-hand bat,1421.1,32.85,53.6,3.67,rf,
GD,McGrath,112,7.49,1389,42.62,Right-hand bat,4385.3,21.29,50.7,2.51,rfm,
SW,Tait,2,8.00,27,29.62,Right-hand bat,48.0,42.00,57.6,4.37,rf,
