Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
AJ,Strauss,33,44.46,5170,51.60,Left-hand bat,-,-,-,-,lm,
AN,Cook,11,47.27,1902,44.74,Left-hand bat,-,-,-,-,-,
IR,Bell,20,45.90,2804,50.74,Right-hand bat,18.0,76.00,108.0,4.22,rm,
PD,Collingwood,17,48.42,3169,42.78,Right-hand bat,72.0,245.00,432.0,3.40,rm,
KP,Pietersen,20,50.40,2672,69.79,Right-hand bat,37.0,157.00,222.0,4.24,rob,
A,Flintoff,64,32.47,4931,64.55,Right-hand bat,2026.4,31.41,63.0,2.99,rfm,
GO,Jones,33,24.93,2154,54.41,Right-hand bat,-,-,-,-,-,
AF,Giles,54,20.89,3064,46.37,Right-hand bat,2030.0,40.60,85.1,2.86,lo,
JL,Langer,102,45.69,14024,54.09,Left-hand bat,1.0,-,-,3.00,rm,
ML,Hayden,86,52.21,12325,60.15,Left-hand bat,9.0,-,-,4.44,rm,
RT,Ponting,107,59.99,15651,59.03,Right-hand bat,87.5,46.20,105.4,2.62,rm,
DR,Martyn,67,46.37,8569,51.41,Right-hand bat,58.0,84.00,174.0,2.89,rm,
MEK,Hussey,13,81.00,2591,53.14,Left-hand bat,5.0,-,-,4.60,rm,
MJ,Clarke,24,40.12,2417,54.77,Right-hand bat,43.2,16.00,32.5,2.95,lo,
AC,Gilchrist,87,48.48,6362,81.54,Left-hand bat,-,-,-,-,rob,
SK,Warne,142,16.76,5329,56.63,Right-hand bat,6670.5,25.44,57.6,2.64,rls,
B,Lee,56,22.10,1926,56.23,Right-hand bat,1938.4,32.21,53.8,3.58,rf,
SR,Clark,6,14.00,97,72.16,Right-hand bat,232.1,18.25,43.5,2.51,rfm,
GD,McGrath,121,7.52,1559,41.05,Right-hand bat,4747.4,21.61,51.6,2.50,rfm,
MJ,Hoggard,60,7.60,1931,22.06,Right-hand bat,2116.0,29.68,54.7,3.25,rfm,
SJ,Harmison,47,11.19,869,60.52,Right-hand bat,1715.3,30.25,57.1,3.17,rfm,
JM,Anderson,15,13.71,285,33.68,Left-hand bat,433.3,38.51,60.4,3.82,rfm,
