Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Javed,Omar,26,21.13,3169,34.01,Right-hand bat,1.0,-,-,12.00,rls,
Nafees,Iqbal,5,23.30,556,41.90,Right-hand bat,-,-,-,-,rm,
Habibul,Bashar,33,35.73,3863,59.20,Right-hand bat,39.0,-,-,5.00,rob,
Mohammad,Ashraful,24,26.20,2750,41.92,Right-hand bat,117.0,75.42,100.2,4.51,rob,
Rajin,Saleh,13,26.60,1825,36.43,Right-hand bat,58.0,103.50,174.0,3.56,rob,
Aftab,Ahmed,3,18.66,193,58.03,Right-hand bat,4.0,-,-,3.50,rm,
Khaled,Mashud,32,19.88,3107,34.56,Right-hand bat,-,-,-,-,-,
Mohammad,Rafique,17,22.46,1027,61.24,Left-hand bat,827.4,31.56,75.2,2.51,lo,
Mashrafe,Mortaza,15,10.20,314,78.02,Right-hand bat,429.4,34.15,66.1,3.10,rfm,
Tapash,Baisya,19,11.38,686,51.45,Right-hand bat,512.2,57.05,90.4,3.78,rfm,
Enamul,Haque jnr,4,5.00,42,23.80,Right-hand bat,157.2,36.91,78.6,2.81,lo,
S,Matsikenyeri,5,27.11,444,54.95,Right-hand bat,71.3,149.00,214.5,4.16,rob,
BG,Rogers,1,2.50,51,9.80,Left-hand bat,-,-,-,-,rob,
V,Sibanda,3,8.00,91,52.74,Right-hand bat,-,-,-,-,-,
H,Masakadza,8,28.80,1093,39.52,Right-hand bat,4.0,12.00,24.0,3.00,rm,
AG,Cremer,1,1.00,11,18.18,Right-hand bat,16.3,43.00,49.5,5.21,rls,
BRM,Taylor,3,28.66,436,39.44,Right-hand bat,-,-,-,-,rob,
T,Taibu,17,24.45,1929,39.29,Right-hand bat,8.0,27.00,48.0,3.37,rm,
E,Chigumbura,3,17.83,264,40.53,Right-hand bat,77.1,35.62,57.8,3.69,rfm,
ML,Nkala,10,14.38,452,41.37,Right-hand bat,242.0,66.09,132.0,3.00,rm,
DT,Hondo,8,10.14,237,29.95,Right-hand bat,204.4,45.20,81.8,3.31,rfm,
CB,Mpofu,1,5.00,11,45.45,Right-hand bat,41.0,31.20,49.2,3.80,rfm,
