Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
SR,Watson,21,39.69,2831,50.47,Right-hand bat,340.3,28.23,53.7,3.15,rfm,
SM,Katich,53,46.25,8136,49.45,Left-hand bat,168.1,29.38,48.0,3.66,lc,
RT,Ponting,147,54.50,20344,59.48,Right-hand bat,89.5,48.40,107.8,2.69,rm,
MJ,Clarke,63,49.80,8481,53.43,Right-hand bat,272.4,39.10,81.8,2.86,lo,
MEK,Hussey,53,50.32,8408,47.88,Left-hand bat,30.0,51.50,90.0,3.43,rm,
MJ,North,18,35.39,2042,48.53,Left-hand bat,171.4,37.00,79.2,2.80,rob,
TD,Paine,3,34.16,470,43.61,Right-hand bat,-,-,-,-,rm,
MG,Johnson,37,23.69,1683,60.54,Left-hand bat,1436.2,28.69,52.8,3.25,lf,
NM,Hauritz,16,24.25,755,51.39,Right-hand bat,648.1,32.91,64.8,3.04,rob,
BW,Hilfenhaus,12,17.10,306,55.88,Right-hand bat,434.4,30.15,56.6,3.19,rfm,
DE,Bollinger,11,6.71,140,33.57,Left-hand bat,371.1,23.79,45.4,3.14,lfm,
G,Gambhir,33,51.36,5169,54.65,Left-hand bat,-,-,-,-,rls,
V,Sehwag,80,53.90,8707,81.71,Right-hand bat,532.3,41.56,81.9,3.04,rob,
R,Dravid,143,52.87,27295,42.42,Right-hand bat,20.0,39.00,120.0,1.95,rob,
I,Sharma,27,14.35,977,29.37,Right-hand bat,823.4,37.40,65.0,3.45,rfm,
SR,Tendulkar,170,56.11,,,Right-hand bat,665.4,52.25,90.7,3.45,-,
SK,Raina,3,77.25,515,60.00,Left-hand bat,5.0,-,-,4.20,rob,
MS,Dhoni,47,40.82,4253,60.47,Right-hand bat,2.0,-,-,7.00,rm,
Harbhajan,Singh,86,16.12,2480,64.35,Right-hand bat,4060.0,31.61,67.2,2.81,rob,
Z,Khan,73,13.32,1927,51.16,Right-hand bat,2444.4,32.48,58.6,3.32,lfm,
VVS,Laxman,114,47.40,15106,49.58,Right-hand bat,54.0,63.00,162.0,2.33,rob,
PP,Ojha,7,23.50,206,22.81,Left-hand bat,355.5,44.62,88.9,3.00,lo,
