Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
G,Gambhir,53,44.26,7707,51.69,Left-hand bat,-,-,-,-,rls,
V,Sehwag,101,50.34,10386,82.40,Right-hand bat,621.5,47.35,93.2,3.04,rob,
CA,Pujara,8,61.25,1499,49.03,Right-hand bat,-,-,-,-,rls,
SR,Tendulkar,193,54.50,,,Right-hand bat,697.4,54.64,93.0,3.52,-,
V,Kohli,13,35.81,1652,47.69,Right-hand bat,11.0,-,-,3.18,rm,
Yuvraj,Singh,40,33.92,3277,57.97,Left-hand bat,155.1,60.77,103.4,3.52,lo,
MS,Dhoni,72,37.46,6388,59.23,Right-hand bat,13.0,-,-,4.46,rm,
R,Ashwin,11,43.61,858,66.08,Right-hand bat,602.1,31.28,60.2,3.11,rob,
Z,Khan,88,11.81,2239,51.18,Right-hand bat,2935.2,32.35,59.7,3.25,lfm,
I,Sharma,46,10.04,1529,28.90,Right-hand bat,1501.3,38.17,67.2,3.40,rfm,
PP,Ojha,19,13.83,450,18.44,Left-hand bat,1044.4,30.45,66.6,2.74,lo,
AN,Cook,86,50.02,14819,47.93,Left-hand bat,1.0,-,-,1.00,-,
NRD,Compton,3,42.75,466,36.69,Right-hand bat,-,-,-,-,rob,
IJL,Trott,37,47.98,5908,47.10,Right-hand bat,96.0,113.00,192.0,3.53,rm,
KP,Pietersen,91,49.56,11553,63.49,Right-hand bat,214.3,86.90,128.7,4.05,rob,
IR,Bell,82,46.13,10893,51.24,Right-hand bat,18.0,76.00,108.0,4.22,rm,
SR,Patel,5,15.57,257,42.41,Right-hand bat,101.0,64.25,151.5,2.54,lo,
MJ,Prior,61,43.01,5141,63.58,Right-hand bat,-,-,-,-,-,
GP,Swann,49,22.85,1436,77.99,Right-hand bat,2087.1,29.18,59.9,2.92,rob,
ST,Finn,17,8.50,200,25.50,Right-hand bat,545.3,28.22,46.7,3.62,rfm,
JM,Anderson,76,11.01,1850,38.10,Left-hand bat,2791.5,30.53,58.9,3.10,rfm,
MS,Panesar,44,5.30,668,31.73,Left-hand bat,1826.0,32.33,69.3,2.79,lo,
