Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
MH,Richardson,26,49.36,5179,39.08,Left-hand bat,10.0,17.00,60.0,1.70,lo,
L,Vincent,13,33.54,1753,42.09,Right-hand bat,-,-,-,-,rm,
SB,Styris,7,42.81,1015,46.40,Right-hand bat,89.0,42.42,76.2,3.33,rm,
SP,Fleming,77,37.98,11000,42.81,Left-hand bat,-,-,-,-,-,
NJ,Astle,59,39.04,7322,49.05,Right-hand bat,773.5,47.52,128.9,2.21,rm,
CD,McMillan,46,42.62,5014,56.96,Right-hand bat,395.5,44.25,87.9,3.01,rm,
RG,Hart,9,19.25,880,26.25,Right-hand bat,-,-,-,-,-,
DL,Vettori,48,18.06,2234,46.91,Left-hand bat,1952.0,35.00,79.6,2.63,lo,
A,Chopra,2,46.25,496,37.29,Right-hand bat,-,-,-,-,-,
V,Sehwag,16,41.96,1530,68.56,Right-hand bat,55.3,63.66,111.0,3.44,rob,
R,Dravid,71,54.37,14334,41.34,Right-hand bat,20.0,39.00,120.0,1.95,rob,
SR,Tendulkar,107,56.57,,,Right-hand bat,413.0,47.14,88.5,3.19,-,
VVS,Laxman,46,44.26,6057,48.96,Right-hand bat,42.0,100.00,252.0,2.38,rob,
Yuvraj,Singh,1,25.00,106,23.58,Left-hand bat,1.0,-,-,1.00,lo,
PA,Patel,9,24.66,582,38.14,Left-hand bat,-,-,-,-,-,
A,Kumble,78,17.19,3679,37.86,Right-hand bat,4105.1,28.21,68.8,2.46,rls,
Harbhajan,Singh,35,13.02,723,72.06,Right-hand bat,1572.5,27.53,62.9,2.62,rob,
L,Balaji,2,4.00,23,17.39,Right-hand bat,67.0,183.00,402.0,2.73,rmf,
Z,Khan,26,8.92,504,49.60,Right-hand bat,818.2,34.20,63.7,3.21,lfm,
PJ,Wiseman,18,9.78,684,27.19,Right-hand bat,674.0,44.82,89.8,2.99,rob,
DR,Tuffey,16,10.18,483,33.74,Right-hand bat,478.5,27.14,52.2,3.11,rfm,
IG,Butler,5,10.00,110,45.45,Right-hand bat,149.3,38.86,59.8,3.89,rf,
