Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
SB,Bangar,11,33.00,1426,32.39,Right-hand bat,125.0,48.42,107.1,2.71,rmf,
V,Sehwag,13,44.52,1198,70.61,Right-hand bat,40.0,76.00,120.0,3.80,rob,
R,Dravid,68,54.03,13622,40.86,Right-hand bat,20.0,39.00,120.0,1.95,rob,
SR,Tendulkar,104,58.07,,,Right-hand bat,381.0,45.18,84.6,3.20,-,
SC,Ganguly,66,41.31,8493,48.15,Left-hand bat,343.2,50.17,89.5,3.36,rm,
VVS,Laxman,43,42.22,5371,49.52,Right-hand bat,42.0,100.00,252.0,2.38,rob,
PA,Patel,6,27.00,465,34.83,Left-hand bat,-,-,-,-,-,
AB,Agarkar,16,15.47,709,50.21,Right-hand bat,504.4,46.57,86.5,3.22,rf,
Harbhajan,Singh,32,12.83,667,71.21,Right-hand bat,1433.5,26.74,61.0,2.63,rob,
Z,Khan,23,10.00,493,50.70,Right-hand bat,733.0,35.07,65.6,3.20,lfm,
A,Nehra,12,6.55,200,29.50,Right-hand bat,422.1,42.18,79.1,3.19,lmf,
MH,Richardson,21,48.78,4009,40.15,Left-hand bat,10.0,17.00,60.0,1.70,lo,
L,Vincent,10,32.11,1235,44.21,Right-hand bat,-,-,-,-,rm,
SP,Fleming,72,36.25,9983,42.49,Left-hand bat,-,-,-,-,-,
CD,McMillan,43,40.57,4551,57.06,Right-hand bat,384.5,43.48,85.5,3.05,rm,
NJ,Astle,56,38.70,6877,49.52,Right-hand bat,765.5,48.40,131.2,2.21,rm,
SB,Styris,2,88.00,328,53.65,Right-hand bat,35.0,26.40,42.0,3.77,rm,
JDP,Oram,1,0.00,5,0.00,Left-hand bat,27.0,13.40,32.4,2.48,rfm,
RG,Hart,4,27.80,548,25.36,Right-hand bat,-,-,-,-,-,
DL,Vettori,43,16.45,1958,44.53,Left-hand bat,1774.0,33.86,76.5,2.65,lo,
DR,Tuffey,11,10.33,379,32.71,Right-hand bat,324.5,29.51,52.6,3.36,rfm,
SE,Bond,7,8.40,123,34.14,Right-hand bat,218.1,22.84,39.6,3.45,rf,
