Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
AN,Cook,141,46.37,23765,46.82,Left-hand bat,3.0,7.00,18.0,2.33,-,
KK,Jennings,3,34.66,471,44.16,Left-hand bat,5.0,-,-,4.00,rmf,
GS,Ballance,22,38.60,3124,46.95,Left-hand bat,2.0,-,-,2.50,rls,
JE,Root,54,53.80,8599,55.69,Right-hand bat,237.5,48.06,95.1,3.03,rob,
JM,Bairstow,39,40.91,4525,55.16,Right-hand bat,-,-,-,-,rm,
BA,Stokes,33,33.77,3092,63.35,Left-hand bat,812.1,35.13,61.6,3.41,rfm,
MM,Ali,38,35.45,3961,51.02,Left-hand bat,1146.0,39.35,63.6,3.70,rob,
LA,Dawson,2,22.00,159,41.50,Right-hand bat,69.4,38.33,69.6,3.30,lo,
SCJ,Broad,103,21.63,4189,65.60,Left-hand bat,3521.0,28.56,57.0,3.00,rfm,
MA,Wood,9,19.36,376,56.64,Right-hand bat,275.3,35.69,63.5,3.36,rf,
JM,Anderson,123,10.23,2672,41.35,Left-hand bat,4498.2,28.44,57.4,2.97,rfm,
D,Elgar,36,38.83,4593,44.80,Left-hand bat,150.5,42.61,69.6,3.67,lo,
HG,Kuhn,1,5.00,42,23.80,Right-hand bat,-,-,-,-,-,
HM,Amla,104,49.03,15917,50.21,Right-hand bat,9.0,-,-,4.11,-,
JP,Duminy,46,32.85,4544,46.28,Left-hand bat,450.3,38.11,64.3,3.55,rob,
T,Bavuma,21,32.03,2063,45.03,Right-hand bat,15.0,51.00,90.0,3.40,rm,
TB,de Bruyn,2,15.25,127,48.03,Right-hand bat,5.0,-,-,6.00,rmf,
K,Rabada,18,14.64,427,48.00,Left-hand bat,531.2,24.09,41.4,3.49,rf,
Q,de Kock,20,50.07,1936,72.41,Left-hand bat,-,-,-,-,-,
VD,Philander,44,25.11,2363,45.70,Right-hand bat,1353.2,22.45,49.5,2.72,rfm,
KA,Maharaj,8,18.00,194,74.22,Right-hand bat,302.0,28.83,60.4,2.86,lo,
M,Morkel,75,12.17,1661,50.57,Left-hand bat,2409.0,29.11,55.5,3.14,rf,
