Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
AN,Cook,131,47.48,22302,46.83,Left-hand bat,3.0,7.00,18.0,2.33,-,
AD,Hales,9,28.47,1073,45.10,Right-hand bat,3.0,-,-,0.66,rm,
JE,Root,44,56.15,7060,54.88,Right-hand bat,209.5,48.61,96.8,3.01,rob,
JM,Vince,5,18.57,212,61.32,Right-hand bat,3.0,-,-,3.66,rm,
GS,Ballance,17,45.21,2629,48.15,Left-hand bat,2.0,-,-,2.50,rls,
CR,Woakes,10,35.00,749,46.72,Right-hand bat,281.2,25.58,49.6,3.09,rfm,
BA,Stokes,25,33.23,2015,70.91,Left-hand bat,644.2,37.58,64.4,3.49,rfm,
JM,Bairstow,29,40.13,3101,55.65,Right-hand bat,-,-,-,-,rm,
MM,Ali,28,29.87,2344,49.70,Left-hand bat,784.2,40.42,64.4,3.76,rob,
Mohammad,Hafeez,49,40.11,6108,56.48,Right-hand bat,658.5,33.90,76.0,2.67,rob,
Shan,Masood,9,24.00,957,45.14,Left-hand bat,3.0,-,-,6.33,rmf,
Azhar,Ali,47,41.75,8599,40.30,Right-hand bat,70.0,71.75,105.0,4.10,rls,
Younis,Khan,106,53.19,17580,52.34,Right-hand bat,134.0,54.55,89.3,3.66,-,
Rahat,Ali,16,7.85,293,37.54,Right-hand bat,535.4,37.39,69.8,3.21,lfm,
Misbah-ul-Haq,,63,48.95,10242,44.45,Right-hand bat,-,-,-,-,rls,
Asad,Shafiq,43,43.15,5893,46.86,Right-hand bat,14.0,51.00,84.0,3.64,rob,
Sarfaraz,Ahmed,23,43.71,1865,75.01,Right-hand bat,-,-,-,-,rob,
Yasir,Shah,14,11.75,392,47.95,Right-hand bat,736.4,25.79,50.8,3.04,rls,
Wahab,Riaz,17,9.85,491,42.15,Right-hand bat,497.5,35.16,62.2,3.39,lf,
Mohammad,Amir,16,13.16,1086,30.29,Left-hand bat,553.4,30.17,58.2,3.10,lf,
SCJ,Broad,96,22.27,3943,66.09,Left-hand bat,3314.0,28.42,56.4,3.01,rfm,
JM,Anderson,117,10.34,2580,40.50,Left-hand bat,4323.1,28.23,56.6,2.99,rfm,
