Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
V,Sibanda,13,21.96,1150,49.65,Right-hand bat,-,-,-,-,-,
H,Masakadza,26,27.12,3270,41.46,Right-hand bat,127.0,27.00,76.2,2.12,rm,
MA,Vermeulen,9,24.94,940,47.76,Right-hand bat,1.0,-,-,5.00,rob,
BRM,Taylor,20,35.73,2664,50.97,Right-hand bat,7.0,-,-,5.42,rob,
RW,Chakabva,5,17.80,481,37.00,Right-hand bat,-,-,-,-,rob,
SC,Williams,2,16.00,161,39.75,Left-hand bat,28.4,56.50,86.0,3.94,lo,
R,Mutumbami,5,21.66,413,47.21,Right-hand bat,-,-,-,-,rob,
T,Panyangara,6,19.55,267,65.91,Right-hand bat,210.1,31.11,74.1,2.51,rfm,
DT,Tiripano,1,20.00,143,13.98,Right-hand bat,26.0,32.50,78.0,2.50,rfm,
TL,Chatara,5,7.00,148,42.56,Right-hand bat,177.1,26.11,62.5,2.50,rfm,
J,Nyumbu,1,7.50,81,18.51,Right-hand bat,53.3,36.20,64.2,3.38,rob,
D,Elgar,12,31.52,1200,44.66,Left-hand bat,51.1,74.33,102.3,4.35,lo,
AN,Petersen,33,35.83,3873,51.82,Right-hand bat,19.0,62.00,114.0,3.26,rob,
F,du Plessis,17,52.58,3004,42.01,Right-hand bat,13.0,-,-,5.30,rls,
HM,Amla,79,51.32,12460,51.48,Right-hand bat,9.0,-,-,4.11,-,
AB,de Villiers,95,51.02,13535,53.90,Right-hand bat,34.0,52.00,102.0,3.05,rm,
Q,de Kock,4,35.14,451,54.54,Left-hand bat,-,-,-,-,-,
JP,Duminy,27,36.57,2988,42.83,Left-hand bat,353.0,39.34,66.1,3.56,rob,
VD,Philander,26,27.36,1548,44.18,Right-hand bat,877.5,21.57,45.8,2.82,rfm,
DW,Steyn,75,14.27,2501,42.22,Right-hand bat,2662.3,22.56,41.7,3.24,rf,
DL,Piedt,1,13.00,28,46.42,Right-hand bat,49.0,19.00,36.7,3.10,rob,
M,Morkel,59,11.96,1450,48.68,Left-hand bat,1930.0,29.90,56.7,3.16,rf,
