Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Imran,Farhat,1,43.00,176,48.86,Left-hand bat,-,-,-,-,rls,
Saleem,Elahi,8,22.14,747,41.49,Right-hand bat,-,-,-,-,rob,
Misbah-ul-Haq,,1,19.00,113,33.62,Right-hand bat,-,-,-,-,rls,
Mohammad,Yousuf,28,40.64,4248,43.05,Right-hand bat,-,-,-,-,rob,
Younis,Khan,10,45.92,1249,51.48,Right-hand bat,-,-,-,-,-,
Faisal,Iqbal,1,94.00,292,32.19,Right-hand bat,-,-,-,-,rob,
Moin,Khan,62,28.33,4883,50.48,Right-hand bat,-,-,-,-,rob,
Saqlain,Mushtaq,32,14.22,2513,22.64,Right-hand bat,1602.4,28.40,67.7,2.51,rob,
Waqar,Younis,69,10.13,1676,44.74,Right-hand bat,2236.1,22.60,42.5,3.18,rf,
Mushtaq,Ahmed,50,11.56,1773,35.87,Right-hand bat,2037.4,32.24,66.8,2.89,rls,
Mohammad,Sami,1,-,1,0.00,Right-hand bat,46.4,13.25,35.0,2.27,rf,
MH,Richardson,7,44.09,1231,39.39,Left-hand bat,1.0,-,-,1.00,lo,
MD,Bell,9,15.56,905,27.51,Right-hand bat,-,-,-,-,rob,
MS,Sinclair,11,38.44,1591,43.49,Right-hand bat,4.0,-,-,3.25,rm,
SP,Fleming,58,36.59,8384,41.90,Left-hand bat,-,-,-,-,-,
NJ,Astle,44,35.69,5569,46.14,Right-hand bat,623.1,48.10,128.9,2.23,rm,
CD,McMillan,29,41.23,3490,54.35,Right-hand bat,268.5,47.37,100.8,2.81,rm,
AC,Parore,68,25.67,6741,38.08,Right-hand bat,-,-,-,-,-,
JEC,Franklin,1,0.00,5,0.00,Left-hand bat,39.0,57.00,117.0,2.92,lm,
PJ,Wiseman,14,6.68,462,23.16,Right-hand bat,509.4,43.82,89.9,2.92,rob,
DR,Tuffey,4,3.33,91,21.97,Right-hand bat,124.0,46.00,74.4,3.70,rfm,
CS,Martin,5,3.00,51,23.52,Right-hand bat,155.0,26.70,46.5,3.44,rfm,
