Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
CT,Bancroft,7,27.18,713,41.93,Right-hand bat,-,-,-,-,-,
DA,Warner,73,48.46,8459,74.48,Left-hand bat,57.0,67.25,85.5,4.71,rls,
UT,Khawaja,31,44.08,4146,52.09,Left-hand bat,1.0,-,-,1.00,rm,
SPD,Smith,63,62.49,11132,55.57,Right-hand bat,221.1,54.52,78.0,4.19,rls,
SE,Marsh,30,39.58,4524,44.62,Left-hand bat,-,-,-,-,lo,
TD,Paine,11,38.80,1229,47.35,Right-hand bat,-,-,-,-,rm,
MR,Marsh,26,30.13,2161,52.98,Right-hand bat,364.1,39.56,68.2,3.47,rm,
PJ,Cummins,12,22.14,711,43.60,Right-hand bat,437.0,25.72,52.4,2.94,rf,
MA,Starc,42,22.34,1676,69.33,Left-hand bat,1453.4,27.49,48.4,3.40,lf,
NM,Lyon,76,11.45,1673,45.18,Right-hand bat,3067.1,31.81,62.1,3.06,rob,
JR,Hazlewood,38,13.00,716,43.57,Left-hand bat,1348.2,26.02,55.4,2.81,rfm,
D,Elgar,47,40.81,6441,45.62,Left-hand bat,157.5,42.71,67.6,3.78,lo,
AK,Markram,8,51.92,1121,64.85,Right-hand bat,6.0,-,-,3.00,rob,
K,Rabada,28,13.14,816,45.09,Left-hand bat,875.4,21.45,38.9,3.30,rf,
HM,Amla,115,48.50,17570,50.52,Right-hand bat,9.0,-,-,4.11,-,
AB,de Villiers,112,50.66,15722,54.46,Right-hand bat,34.0,52.00,102.0,3.05,rm,
F,du Plessis,50,43.60,6837,44.63,Right-hand bat,13.0,-,-,5.30,rls,
TB,de Bruyn,5,14.44,271,47.97,Right-hand bat,12.0,-,-,4.50,rmf,
Q,de Kock,31,39.13,2477,71.09,Left-hand bat,-,-,-,-,-,
VD,Philander,52,23.92,2875,46.60,Right-hand bat,1598.4,22.19,49.6,2.67,rfm,
KA,Maharaj,18,16.80,478,70.29,Right-hand bat,617.1,27.83,54.4,3.06,lo,
L,Ngidi,3,2.75,29,37.93,Right-hand bat,79.5,16.42,34.2,2.88,rf,
