Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
MH,Richardson,33,47.46,6857,37.37,Left-hand bat,10.0,17.00,60.0,1.70,lo,
MHW,Papps,4,24.57,501,34.33,Right-hand bat,-,-,-,-,-,
SP,Fleming,84,38.03,11964,43.23,Left-hand bat,-,-,-,-,-,
NJ,Astle,61,38.69,7533,49.31,Right-hand bat,773.5,47.52,128.9,2.21,rm,
SB,Styris,14,40.21,1868,49.51,Right-hand bat,228.3,47.20,91.4,3.09,rm,
JDP,Oram,12,43.58,1381,53.65,Left-hand bat,359.2,28.67,69.5,2.47,rfm,
CL,Cairns,61,34.09,5785,57.16,Right-hand bat,1901.1,29.77,54.5,3.27,rfm,
BB,McCullum,5,40.25,585,55.04,Right-hand bat,-,-,-,-,-,
DL,Vettori,55,20.25,2761,49.14,Left-hand bat,2248.2,38.14,85.3,2.68,lo,
DR,Tuffey,22,11.43,720,36.52,Right-hand bat,685.0,31.16,62.2,3.00,rfm,
CS,Martin,15,2.20,134,16.41,Right-hand bat,497.2,30.84,51.4,3.59,rfm,
ME,Trescothick,49,42.75,6782,52.94,Left-hand bat,43.0,137.00,258.0,3.18,rm,
AJ,Strauss,2,66.75,512,52.14,Left-hand bat,-,-,-,-,lm,
MA,Butcher,68,34.97,9596,43.00,Left-hand bat,150.1,36.06,60.0,3.60,rm,
MP,Vaughan,45,45.01,6627,50.94,Right-hand bat,135.0,93.00,162.0,3.44,rob,
GP,Thorpe,89,43.16,12888,45.88,Left-hand bat,23.0,-,-,1.60,rm,
A,Flintoff,35,29.54,2339,66.95,Right-hand bat,994.0,41.28,86.4,2.86,rfm,
GO,Jones,3,64.66,307,63.19,Right-hand bat,-,-,-,-,-,
AF,Giles,35,17.80,1854,40.34,Right-hand bat,1336.0,41.42,91.0,2.72,lo,
MJ,Hoggard,28,7.90,774,21.44,Right-hand bat,1007.2,32.39,61.0,3.18,rfm,
MJ,Saggers,2,0.50,14,7.14,Right-hand bat,54.1,30.60,65.0,2.82,rfm,
SJ,Harmison,18,6.16,315,35.23,Right-hand bat,668.4,23.92,50.7,2.82,rfm,
