Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
AN,Cook,91,48.74,15553,47.32,Left-hand bat,1.0,-,-,1.00,-,
NRD,Compton,8,36.23,1325,35.54,Right-hand bat,-,-,-,-,rob,
IJL,Trott,42,49.95,7144,46.85,Right-hand bat,110.0,92.50,165.0,3.36,rm,
IR,Bell,87,46.00,11873,49.59,Right-hand bat,18.0,76.00,108.0,4.22,rm,
JE,Root,5,36.50,807,36.18,Right-hand bat,11.0,-,-,3.27,rob,
JM,Bairstow,7,25.10,501,50.09,Right-hand bat,-,-,-,-,rm,
MJ,Prior,66,44.35,5786,62.85,Right-hand bat,-,-,-,-,-,
SCJ,Broad,56,25.01,2639,63.50,Left-hand bat,1942.2,31.15,61.0,3.06,rfm,
GP,Swann,51,22.73,1554,76.06,Right-hand bat,2126.1,29.22,60.1,2.91,rob,
ST,Finn,21,12.38,569,28.29,Right-hand bat,668.4,28.94,47.7,3.63,rfm,
JM,Anderson,81,10.88,1930,38.91,Left-hand bat,2976.2,30.14,58.5,3.08,rfm,
PG,Fulton,14,30.18,1568,42.34,Right-hand bat,-,-,-,-,rm,
HD,Rutherford,4,37.00,403,64.26,Left-hand bat,-,-,-,-,lo,
KS,Williamson,24,32.59,3361,40.73,Right-hand bat,162.1,33.87,60.8,3.34,rob,
LRPL,Taylor,47,42.32,5939,57.72,Right-hand bat,15.0,21.50,45.0,2.86,rob,
DG,Brownlie,13,31.09,1510,45.29,Right-hand bat,11.0,52.00,66.0,4.72,rm,
BB,McCullum,76,35.79,7333,60.52,Right-hand bat,6.0,-,-,3.00,-,
BJ,Watling,14,29.86,1472,44.63,Right-hand bat,-,-,-,-,-,
TG,Southee,25,18.66,806,83.37,Right-hand bat,860.0,33.61,63.7,3.16,rmf,
BP,Martin,4,18.25,132,55.30,Right-hand bat,210.0,47.10,126.0,2.24,lo,
N,Wagner,7,9.87,285,27.71,Left-hand bat,261.0,40.95,74.5,3.29,lmf,
TA,Boult,14,12.27,219,61.64,Right-hand bat,461.0,31.09,62.8,2.96,lfm,
