Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
G,Gambhir,16,36.16,1569,57.61,Left-hand bat,-,-,-,-,rls,
V,Sehwag,59,53.14,6608,77.20,Right-hand bat,293.1,37.00,73.2,3.02,rob,
R,Dravid,124,54.08,24238,41.95,Right-hand bat,20.0,39.00,120.0,1.95,rob,
SR,Tendulkar,149,54.64,,,Right-hand bat,643.4,52.66,91.9,3.43,-,
SC,Ganguly,108,41.93,13303,51.37,Left-hand bat,516.2,52.06,96.8,3.22,rm,
VVS,Laxman,95,43.48,12005,49.26,Right-hand bat,54.0,63.00,162.0,2.33,rob,
KD,Karthik,21,29.30,1924,50.25,Right-hand bat,-,-,-,-,-,
A,Kumble,129,17.85,6328,38.65,Right-hand bat,6658.3,29.22,65.1,2.69,rls,
Harbhajan,Singh,68,15.31,1818,64.85,Right-hand bat,3104.1,30.79,64.8,2.84,rob,
Z,Khan,55,11.63,1277,50.11,Right-hand bat,1789.0,34.12,61.6,3.31,lfm,
I,Sharma,8,18.75,213,35.21,Right-hand bat,231.4,36.36,63.1,3.45,rfm,
MG,Vandort,18,39.70,2212,48.46,Left-hand bat,-,-,-,-,rm,
SM,Warnapura,6,53.33,802,59.85,Left-hand bat,-,-,-,-,rob,
KC,Sangakkara,75,54.45,11084,56.00,Left-hand bat,1.0,-,-,4.00,rob,
DPMD,Jayawardene,97,52.41,14665,52.54,Right-hand bat,78.2,58.00,117.5,2.96,rm,
TT,Samaraweera,44,44.15,5809,43.32,Right-hand bat,215.1,48.50,92.2,3.15,rob,
TM,Dilshan,47,38.61,4276,58.69,Right-hand bat,109.0,44.00,93.4,2.82,rob,
HAPW,Jayawardene,20,25.77,1293,43.85,Right-hand bat,-,-,-,-,-,
WPUJC,Vaas,106,23.99,6746,43.74,Left-hand bat,3760.2,29.21,65.0,2.69,lfm,
KMDN,Kulasekara,6,15.12,281,43.06,Right-hand bat,135.0,88.00,162.0,3.25,rfm,
BAW,Mendis,2,1.00,5,40.00,Right-hand bat,101.1,18.94,33.7,3.37,rob,
M,Muralitharan,122,11.33,1668,69.30,Right-hand bat,6772.3,21.90,54.1,2.42,rob,
