Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Salman,Butt,17,28.68,1846,49.72,Left-hand bat,4.0,-,-,4.50,rob,
Yasir,Hameed,21,35.71,2376,57.11,Right-hand bat,1.0,-,-,5.00,-,
Younis,Khan,56,48.27,8535,53.73,Right-hand bat,48.0,94.50,144.0,3.93,-,
Mohammad,Yousuf,77,55.71,12664,52.79,Right-hand bat,1.0,-,-,3.00,rob,
Misbah-ul-Haq,,8,23.85,951,35.12,Right-hand bat,-,-,-,-,rls,
Shoaib,Malik,21,35.86,2510,42.86,Right-hand bat,251.1,67.00,115.9,3.46,rob,
Kamran,Akmal,36,30.63,2828,61.73,Right-hand bat,-,-,-,-,-,
Sohail,Tanvir,1,8.50,39,43.58,Left-hand bat,36.0,36.33,72.0,3.02,lmf,
Shoaib,Akhtar,44,10.44,1299,41.80,Right-hand bat,1293.3,25.01,44.3,3.38,rf,
Mohammad,Sami,31,11.52,1357,30.58,Right-hand bat,1074.0,49.63,83.6,3.55,rf,
Danish,Kaneria,49,7.11,536,47.76,Right-hand bat,2361.4,32.73,66.8,2.93,rls,
W,Jaffer,23,35.14,3139,47.02,Right-hand bat,11.0,9.00,33.0,1.63,rob,
KD,Karthik,17,33.04,1674,49.34,Right-hand bat,-,-,-,-,-,
R,Dravid,113,56.25,22552,42.40,Right-hand bat,20.0,39.00,120.0,1.95,rob,
SR,Tendulkar,141,54.93,,,Right-hand bat,623.4,51.02,89.0,3.43,-,
SC,Ganguly,97,41.03,11775,49.83,Left-hand bat,474.2,50.12,91.8,3.27,rm,
VVS,Laxman,84,43.36,10641,48.50,Right-hand bat,43.0,105.00,258.0,2.44,rob,
MS,Dhoni,21,37.10,1490,72.21,Right-hand bat,1.0,-,-,13.00,rm,
A,Kumble,119,18.17,5725,39.05,Right-hand bat,6165.3,28.56,64.5,2.65,rls,
Harbhajan,Singh,58,15.90,1456,67.71,Right-hand bat,2559.0,29.87,63.7,2.81,rob,
Z,Khan,51,12.11,1212,50.99,Right-hand bat,1658.0,33.07,60.6,3.27,lfm,
MM,Patel,8,4.57,103,31.06,Right-hand bat,284.0,32.07,65.5,2.93,rmf,
