Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
DA,Warner,11,44.35,1013,74.43,Left-hand bat,33.0,37.50,49.5,4.54,rls,
EJM,Cowan,9,35.53,1192,44.71,Left-hand bat,-,-,-,-,rls,
RJ,Quiney,2,3.00,22,40.90,Left-hand bat,25.0,-,-,1.16,rm,
RT,Ponting,167,52.21,22752,58.74,Right-hand bat,96.5,54.60,116.2,2.81,rm,
MJ,Clarke,85,52.15,11899,55.66,Right-hand bat,372.0,36.30,74.4,2.92,lo,
MEK,Hussey,75,50.98,11961,49.87,Left-hand bat,90.0,38.28,77.1,2.97,rm,
MS,Wade,5,34.42,527,45.73,Left-hand bat,-,-,-,-,rm,
PM,Siddle,34,15.23,1195,49.70,Right-hand bat,1234.3,29.89,58.7,3.05,rfm,
JL,Pattinson,7,38.20,421,45.36,Left-hand bat,209.0,22.09,40.4,3.27,rfm,
BW,Hilfenhaus,26,14.20,647,54.86,Right-hand bat,1000.4,28.48,61.2,2.79,rfm,
NM,Lyon,15,15.50,292,42.46,Right-hand bat,546.5,29.13,64.3,2.71,rob,
GC,Smith,104,49.52,14230,59.51,Left-hand bat,235.2,109.37,176.5,3.71,rob,
AN,Petersen,18,41.68,2621,50.89,Right-hand bat,15.0,56.00,90.0,3.73,rob,
HM,Amla,64,49.66,9958,51.37,Right-hand bat,9.0,-,-,4.11,-,
JA,Rudolph,48,35.43,5984,43.81,Left-hand bat,110.4,108.00,166.0,3.90,rls,
AB,de Villiers,79,48.48,10662,53.65,Right-hand bat,33.0,49.50,99.0,3.00,rm,
F,du Plessis,1,188.00,535,35.14,Right-hand bat,8.0,-,-,5.25,rls,
DW,Steyn,59,14.20,1951,42.23,Right-hand bat,2057.3,23.98,42.2,3.40,rf,
RK,Kleinveldt,2,10.00,40,50.00,Right-hand bat,60.1,60.75,90.2,4.03,rfm,
JH,Kallis,157,57.26,28174,45.93,Right-hand bat,3239.3,32.57,68.9,2.83,rfm,
M,Morkel,44,14.04,1285,49.18,Left-hand bat,1468.2,30.29,54.7,3.32,rf,
Imran,Tahir,11,12.57,132,66.66,Right-hand bat,358.3,50.19,82.7,3.64,rls,
