Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
JL,Langer,52,44.06,7173,50.36,Left-hand bat,1.0,-,-,3.00,rm,
ML,Hayden,31,47.84,4104,58.28,Left-hand bat,9.0,-,-,4.44,rm,
RT,Ponting,57,46.24,6435,56.76,Right-hand bat,63.5,40.00,95.7,2.50,rm,
ME,Waugh,126,42.12,15322,52.23,Right-hand bat,794.5,40.44,80.8,3.00,-,
SR,Waugh,149,49.64,20168,47.75,Right-hand bat,1198.5,35.92,80.8,2.66,rm,
DR,Martyn,26,49.87,3043,54.09,Right-hand bat,27.0,75.00,162.0,2.77,rm,
AC,Gilchrist,32,60.29,2770,80.54,Left-hand bat,-,-,-,-,rob,
SK,Warne,102,16.33,3782,55.28,Right-hand bat,4779.2,26.29,62.2,2.53,rls,
B,Lee,22,22.11,781,50.96,Right-hand bat,675.5,27.50,47.1,3.49,rf,
JN,Gillespie,34,12.65,1520,26.64,Right-hand bat,1085.4,26.36,51.6,3.05,rf,
GD,McGrath,85,6.56,1088,38.60,Right-hand bat,3397.3,21.88,51.8,2.53,rfm,
Imran,Nazir,7,37.36,676,60.79,Right-hand bat,-,-,-,-,rls,
Taufeeq,Umar,7,40.09,930,47.41,Left-hand bat,6.0,-,-,2.83,rob,
Abdul,Razzaq,22,30.74,2246,42.43,Right-hand bat,532.0,33.46,70.9,2.83,rfm,
Younis,Khan,21,45.40,2793,52.02,Right-hand bat,33.0,115.00,198.0,3.48,-,
Misbah-ul-Haq,,2,16.25,192,33.85,Right-hand bat,-,-,-,-,rls,
Faisal,Iqbal,6,35.88,758,42.61,Right-hand bat,1.0,-,-,7.00,rob,
Rashid,Latif,32,29.50,2584,47.94,Right-hand bat,2.0,-,-,5.00,rls,
Saqlain,Mushtaq,41,15.60,3182,24.51,Right-hand bat,1990.4,28.26,67.4,2.51,rob,
Waqar,Younis,81,10.45,1957,47.01,Right-hand bat,2561.1,23.15,43.0,3.22,rf,
Shoaib,Akhtar,22,8.69,504,39.68,Right-hand bat,636.2,27.68,49.5,3.35,rf,
Mohammad,Sami,4,6.00,33,18.18,Right-hand bat,159.3,34.71,68.3,3.04,rf,
