Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
GC,Smith,108,49.15,14585,59.65,Left-hand bat,236.2,110.62,177.2,3.74,rob,
AN,Petersen,22,41.07,3043,51.29,Right-hand bat,19.0,62.00,114.0,3.26,rob,
HM,Amla,68,51.94,10712,52.37,Right-hand bat,9.0,-,-,4.11,-,
JH,Kallis,161,56.48,28437,46.08,Right-hand bat,3281.4,32.22,68.3,2.82,rfm,
AB,de Villiers,83,49.96,11269,54.53,Right-hand bat,33.0,49.50,99.0,3.00,rm,
F,du Plessis,5,97.20,1102,44.10,Right-hand bat,10.0,-,-,6.00,rls,
D,Elgar,4,37.75,278,54.31,Left-hand bat,1.0,-,-,4.00,lo,
RJ,Peterson,10,18.81,314,65.92,Left-hand bat,247.0,32.04,59.2,3.24,lo,
VD,Philander,14,19.14,577,46.44,Right-hand bat,476.3,17.48,36.6,2.86,rfm,
DW,Steyn,63,13.95,2012,42.29,Right-hand bat,2199.1,22.67,40.8,3.33,rf,
M,Morkel,48,13.52,1304,49.76,Left-hand bat,1584.0,29.93,54.9,3.26,rf,
Mohammad,Hafeez,30,37.11,3656,53.80,Right-hand bat,428.4,32.21,77.9,2.47,rob,
Nasir,Jamshed,1,24.00,80,60.00,Left-hand bat,-,-,-,-,-,
Azhar,Ali,25,43.85,4648,39.62,Right-hand bat,15.0,54.00,90.0,3.60,rls,
Younis,Khan,80,51.00,12478,52.73,Right-hand bat,121.0,54.62,90.7,3.61,-,
Misbah-ul-Haq,,37,45.38,5762,40.95,Right-hand bat,-,-,-,-,rls,
Asad,Shafiq,17,41.34,2282,41.67,Right-hand bat,-,-,-,-,rob,
Sarfaraz,Ahmed,2,3.50,57,24.56,Right-hand bat,-,-,-,-,rob,
Umar,Gul,46,10.30,1194,48.32,Right-hand bat,1571.5,33.53,58.2,3.45,rfm,
Saeed,Ajmal,24,10.48,643,40.74,Right-hand bat,1287.5,28.03,62.8,2.67,rob,
Junaid,Khan,9,6.00,92,39.13,Right-hand bat,280.3,28.17,58.0,2.91,lf,
Rahat,Ali,1,3.00,15,20.00,Right-hand bat,25.0,-,-,4.00,lfm,
