Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
FDM,Karunaratne,38,33.73,4886,49.01,Left-hand bat,2.0,-,-,2.50,rm,
WU,Tharanga,27,33.36,2882,54.40,Left-hand bat,-,-,-,-,-,
BKG,Mendis,16,35.67,1879,58.86,Right-hand bat,6.0,18.00,36.0,3.00,-,
LD,Chandimal,36,42.33,4845,52.42,Right-hand bat,-,-,-,-,rob,
DAS,Gunaratne,4,47.14,600,55.00,Right-hand bat,19.0,86.00,114.0,4.52,rmf,
DM,de Silva,9,41.70,1299,54.58,Right-hand bat,73.0,53.80,87.6,3.68,rob,
N,Dickwella,6,24.81,383,71.27,Left-hand bat,-,-,-,-,-,
MDK,Perera,16,17.55,972,48.76,Right-hand bat,708.1,28.58,56.6,3.02,rob,
HMRKB,Herath,80,14.73,2891,49.94,Left-hand bat,3748.4,27.87,60.3,2.77,lo,
RAS,Lakmal,36,10.44,802,49.50,Right-hand bat,1132.1,45.29,82.8,3.28,rfm,
PADLR,Sandakan,5,14.33,72,59.72,Right-hand bat,141.4,31.93,56.6,3.38,lc,
Tamim,Iqbal,49,39.53,6611,55.61,Left-hand bat,5.0,-,-,4.00,-,
Soumya,Sarkar,7,37.00,774,62.14,Left-hand bat,37.4,138.00,226.0,3.66,rmf,
Imrul,Kayes,28,28.19,3014,48.63,Left-hand bat,4.0,-,-,3.00,-,
Sabbir,Rahman,6,33.00,589,56.02,Right-hand bat,11.0,-,-,3.00,rls,
Taijul,Islam,13,10.70,414,43.96,Left-hand bat,525.4,34.27,65.7,3.12,lo,
Shakib,Al Hasan,49,40.92,5583,62.31,Left-hand bat,1924.3,33.04,65.6,3.02,lo,
Mushfiqur,Rahim,54,35.48,6947,46.99,Right-hand bat,-,-,-,-,-,
Mosaddek,Hossain,1,44.00,183,48.08,Right-hand bat,7.0,-,-,3.00,rob,
Mehidy,Hasan Miraz,7,14.53,429,44.05,Right-hand bat,319.0,31.80,54.6,3.48,rob,
Mustafizur,Rahman,4,1.75,28,25.00,Left-hand bat,100.4,23.16,50.3,2.76,lfm,
Subashis,Roy,3,0.00,41,0.00,Right-hand bat,95.5,57.83,95.8,3.62,rfm,
