Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Javed,Omar,24,21.57,2933,34.57,Right-hand bat,1.0,-,-,12.00,rls,
Nafees,Iqbal,3,24.33,333,43.84,Right-hand bat,-,-,-,-,rm,
Habibul,Bashar,31,34.98,3568,58.82,Right-hand bat,39.0,-,-,5.00,rob,
Rajin,Saleh,12,23.91,1601,34.35,Right-hand bat,54.0,91.00,162.0,3.37,rob,
Mohammad,Ashraful,22,23.19,2456,38.72,Right-hand bat,105.0,80.00,105.0,4.57,rob,
Khaled,Mashud,30,19.60,2886,33.95,Right-hand bat,-,-,-,-,-,
Manjural,Islam Rana,5,32.12,679,37.84,Left-hand bat,108.2,67.60,130.0,3.12,lo,
Mushfiqur,Rahman,10,13.64,755,30.72,Right-hand bat,227.3,63.30,105.0,3.61,rfm,
Mohammad,Rafique,15,20.80,853,60.96,Left-hand bat,721.0,31.91,75.8,2.52,lo,
Tapash,Baisya,18,11.93,671,51.56,Right-hand bat,478.2,59.12,92.5,3.83,rfm,
Mashrafe,Mortaza,13,8.40,230,73.04,Right-hand bat,355.4,37.67,68.8,3.28,rfm,
G,Gambhir,4,28.00,300,56.00,Left-hand bat,-,-,-,-,rls,
V,Sehwag,30,52.60,3484,72.47,Right-hand bat,88.3,111.33,177.0,3.77,rob,
R,Dravid,85,56.71,17263,41.72,Right-hand bat,20.0,39.00,120.0,1.95,rob,
SR,Tendulkar,119,57.56,,,Right-hand bat,505.0,47.48,86.5,3.29,-,
SC,Ganguly,78,41.85,9720,49.51,Left-hand bat,379.2,50.64,91.0,3.33,rm,
VVS,Laxman,60,43.51,7572,50.00,Right-hand bat,42.0,100.00,252.0,2.38,rob,
KD,Karthik,4,17.20,229,37.55,Right-hand bat,-,-,-,-,-,
IK,Pathan,9,23.00,538,38.47,Left-hand bat,326.0,30.03,61.1,2.94,lmf,
A,Kumble,91,16.24,4055,37.65,Right-hand bat,4805.5,28.11,65.8,2.56,rls,
Harbhajan,Singh,42,13.50,983,65.92,Right-hand bat,1919.5,27.83,61.9,2.69,rob,
Z,Khan,36,12.25,797,55.33,Right-hand bat,1113.1,36.09,67.4,3.20,lfm,
