Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
SB,Bangar,10,37.41,1363,32.94,Right-hand bat,110.0,63.20,132.0,2.87,rmf,
V,Sehwag,12,48.94,1177,70.68,Right-hand bat,40.0,76.00,120.0,3.80,rob,
R,Dravid,67,54.28,13435,40.81,Right-hand bat,20.0,39.00,120.0,1.95,rob,
SR,Tendulkar,103,58.46,,,Right-hand bat,381.0,45.18,84.6,3.20,-,
SC,Ganguly,65,41.96,8456,48.14,Left-hand bat,341.2,49.69,89.0,3.34,rm,
VVS,Laxman,42,43.60,5358,49.64,Right-hand bat,42.0,100.00,252.0,2.38,rob,
PA,Patel,5,36.00,390,36.92,Left-hand bat,-,-,-,-,-,
Harbhajan,Singh,31,13.54,661,71.70,Right-hand bat,1414.5,26.87,61.0,2.64,rob,
J,Srinath,67,14.21,2037,49.53,Right-hand bat,2517.2,30.49,64.0,2.85,rfm,
A,Kumble,76,17.35,3659,37.93,Right-hand bat,3965.0,27.98,68.1,2.46,rls,
A,Nehra,11,5.44,190,25.78,Right-hand bat,398.4,39.96,74.7,3.20,lmf,
CH,Gayle,26,34.80,3083,47.42,Left-hand bat,125.2,38.75,94.0,2.47,rob,
WW,Hinds,27,32.40,3329,45.74,Left-hand bat,34.3,26.75,51.7,3.10,rm,
RR,Sarwan,27,36.53,4161,37.75,Right-hand bat,38.0,46.00,76.0,3.63,rls,
M,Dillon,30,7.13,1071,34.64,Right-hand bat,1139.3,30.38,61.0,2.98,rfm,
S,Chanderpaul,61,44.87,9575,40.30,Left-hand bat,240.0,89.75,180.0,2.99,rls,
CL,Hooper,102,36.46,11462,50.27,Right-hand bat,2299.0,49.42,121.0,2.45,rob,
MN,Samuels,13,29.04,1530,41.76,Right-hand bat,91.5,65.00,137.7,2.83,rob,
RD,Jacobs,45,26.61,3785,45.70,Left-hand bat,-,-,-,-,-,
DBL,Powell,2,0.66,26,7.69,Right-hand bat,82.2,36.16,82.3,2.63,rfm,
JJC,Lawson,2,2.33,23,30.43,Right-hand bat,64.0,51.50,96.0,3.21,rfm,
CE,Cuffy,15,4.14,255,22.74,Right-hand bat,561.0,33.83,78.2,2.59,rf,
