Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
D,Elgar,48,42.38,6748,45.85,Left-hand bat,157.5,42.71,67.6,3.78,lo,
AK,Markram,9,50.68,1277,63.50,Right-hand bat,6.0,-,-,3.00,rob,
HM,Amla,116,48.31,17737,50.39,Right-hand bat,9.0,-,-,4.11,-,
AB,de Villiers,113,50.81,15953,54.47,Right-hand bat,34.0,52.00,102.0,3.05,rm,
F,du Plessis,51,42.73,6895,44.62,Right-hand bat,13.0,-,-,5.30,rls,
T,Bavuma,28,31.62,2759,45.84,Right-hand bat,16.0,61.00,96.0,3.81,rm,
Q,de Kock,32,38.91,2585,70.75,Left-hand bat,-,-,-,-,-,
VD,Philander,53,24.56,2977,47.02,Right-hand bat,1619.4,22.18,49.8,2.67,rfm,
KA,Maharaj,19,15.63,499,68.93,Right-hand bat,641.1,28.00,54.9,3.05,lo,
K,Rabada,29,13.66,904,45.35,Left-hand bat,908.3,21.56,38.9,3.32,rf,
M,Morkel,85,11.80,1857,50.83,Left-hand bat,2726.4,27.73,53.4,3.11,rf,
CT,Bancroft,8,30.92,880,45.68,Right-hand bat,-,-,-,-,-,
DA,Warner,74,48.20,8540,74.50,Left-hand bat,57.0,67.25,85.5,4.71,rls,
UT,Khawaja,32,42.47,4177,51.85,Left-hand bat,1.0,-,-,1.00,rm,
SPD,Smith,64,61.37,11171,55.49,Right-hand bat,223.1,54.88,78.7,4.18,rls,
SE,Marsh,31,38.58,4588,44.57,Left-hand bat,-,-,-,-,lo,
MR,Marsh,27,29.15,2211,52.73,Right-hand bat,376.1,39.93,68.3,3.50,rm,
TD,Paine,12,41.66,1340,46.64,Right-hand bat,-,-,-,-,rm,
PJ,Cummins,13,19.62,752,41.75,Right-hand bat,490.0,25.10,51.5,2.92,rf,
MA,Starc,43,21.68,1695,69.08,Left-hand bat,1497.4,28.17,49.3,3.42,lf,
NM,Lyon,77,11.80,1711,46.93,Right-hand bat,3118.0,31.76,62.1,3.06,rob,
JR,Hazlewood,39,12.57,736,44.42,Left-hand bat,1396.4,26.00,55.4,2.81,rfm,
