Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Hannan,Sarkar,8,28.93,860,53.83,Right-hand bat,-,-,-,-,rm,
Javed,Omar,15,22.24,1852,34.82,Right-hand bat,1.0,-,-,12.00,rls,
Habibul,Bashar,22,35.83,2690,57.28,Right-hand bat,39.0,-,-,5.00,rob,
Sanwar,Hossain,9,19.16,743,46.43,Right-hand bat,74.0,62.00,88.8,4.18,rob,
Rajin,Saleh,1,43.00,292,29.45,Right-hand bat,7.0,21.00,42.0,3.00,rob,
Alok,Kapali,10,21.42,840,48.45,Right-hand bat,160.4,208.33,321.3,3.89,rls,
Khaled,Mashud,19,16.87,1750,29.88,Right-hand bat,-,-,-,-,-,
Khaled,Mahmud,8,10.64,262,56.87,Right-hand bat,137.0,244.00,411.0,3.56,rm,
Tapash,Baisya,10,8.93,343,41.69,Right-hand bat,260.2,57.17,91.8,3.73,rfm,
Mohammad,Rafique,4,14.28,172,58.13,Left-hand bat,171.2,29.92,73.4,2.44,lo,
Mashrafe,Mortaza,9,8.85,154,80.51,Right-hand bat,233.4,38.04,66.7,3.41,rfm,
Mohammad,Hafeez,1,26.00,164,31.70,Right-hand bat,21.0,28.00,126.0,1.33,rob,
Taufeeq,Umar,14,42.08,2067,48.86,Left-hand bat,11.0,-,-,3.27,rob,
Yasir,Hameed,1,137.50,414,66.42,Right-hand bat,-,-,-,-,-,
Inzamam-ul-Haq,,86,48.82,11664,53.57,Right-hand bat,1.3,-,-,5.33,lo,
Mohammad,Yousuf,44,47.91,6680,48.05,Right-hand bat,1.0,-,-,3.00,rob,
Misbah-ul-Haq,,5,13.33,376,31.91,Right-hand bat,-,-,-,-,rls,
Rashid,Latif,35,29.57,2793,47.65,Right-hand bat,2.0,-,-,5.00,rls,
Shoaib,Akhtar,26,8.21,562,40.92,Right-hand bat,754.4,27.54,49.7,3.32,rf,
Shabbir,Ahmed,1,6.00,19,31.57,Right-hand bat,38.4,13.62,29.0,2.81,rfm,
Danish,Kaneria,11,8.83,110,48.18,Right-hand bat,413.4,25.00,51.7,2.90,rls,
Umar,Gul,1,0.00,0,-,Right-hand bat,39.0,74.00,117.0,3.79,rfm,
