Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
Khurram,Manzoor,15,29.03,1779,44.06,Right-hand bat,-,-,-,-,rob,
Ahmed,Shehzad,4,36.62,598,48.99,Right-hand bat,5.0,-,-,4.00,rls,
Azhar,Ali,33,39.01,5764,39.26,Right-hand bat,25.0,100.00,150.0,4.00,rls,
Younis,Khan,90,51.97,14606,51.95,Right-hand bat,134.0,54.55,89.3,3.66,-,
Misbah-ul-Haq,,47,48.19,7837,41.81,Right-hand bat,-,-,-,-,rls,
Asad,Shafiq,27,36.85,3520,41.87,Right-hand bat,-,-,-,-,rob,
Sarfaraz,Ahmed,7,25.38,508,64.96,Right-hand bat,-,-,-,-,rob,
Abdur,Rehman,21,14.38,874,42.79,Left-hand bat,1094.1,28.75,68.3,2.52,lo,
Saeed,Ajmal,34,11.10,1061,41.84,Right-hand bat,1853.0,27.79,63.8,2.61,rob,
Mohammad,Talha,3,7.50,41,36.58,Right-hand bat,101.2,40.88,67.5,3.63,rmf,
Junaid,Khan,17,6.12,251,39.04,Right-hand bat,630.4,29.78,63.0,2.83,lf,
WU,Tharanga,18,28.45,1699,51.91,Left-hand bat,-,-,-,-,-,
JK,Silva,13,37.33,2089,42.89,Right-hand bat,-,-,-,-,-,
KC,Sangakkara,127,58.94,21949,54.24,Left-hand bat,14.0,-,-,3.50,rob,
DPMD,Jayawardene,148,50.02,22806,51.54,Right-hand bat,98.1,51.66,98.1,3.15,rm,
AD,Mathews,43,52.14,6073,48.93,Right-hand bat,385.0,60.68,121.5,2.99,rm,
KDK,Vithanage,6,40.83,319,76.80,Left-hand bat,26.0,112.00,156.0,4.30,rls,
N,Dickwella,2,31.00,144,64.58,Left-hand bat,-,-,-,-,-,
MDK,Perera,6,16.00,353,36.26,Right-hand bat,333.1,28.64,58.7,2.92,rob,
KTGD,Prasad,14,17.00,484,63.22,Right-hand bat,377.2,48.83,73.0,4.01,rfm,
HMRKB,Herath,56,13.67,1685,49.49,Left-hand bat,2690.0,29.96,65.6,2.74,lo,
RMS,Eranga,15,11.90,348,37.64,Right-hand bat,536.5,34.24,64.4,3.18,rfm,
