Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
MS,Atapattu,76,40.41,15,12,Right-hand bat,8.0,24.00,48.0,3.00,rls,
ST,Jayasuriya,91,41.85,12,29,Left-hand bat,1132.4,33.76,82.8,2.44,lo,
KC,Sangakkara,41,45.90,5477,52.80,Left-hand bat,1.0,-,-,4.00,rob,
DPMD,Jayawardene,62,49.43,8769,51.86,Right-hand bat,70.2,53.50,105.5,3.04,rm,
TT,Samaraweera,21,51.09,2802,40.11,Right-hand bat,206.1,46.28,88.3,3.14,rob,
TM,Dilshan,20,31.89,1883,49.12,Right-hand bat,35.0,20.75,52.5,2.37,rob,
RS,Kaluwitharana,46,26.95,3057,60.84,Right-hand bat,-,-,-,-,-,
UDU,Chandana,13,26.73,986,51.52,Right-hand bat,366.3,35.88,62.8,3.42,rls,
WPUJC,Vaas,79,21.22,4616,42.30,Left-hand bat,2908.0,30.34,68.4,2.66,lfm,
MF,Maharoof,3,49.00,107,45.79,Right-hand bat,60.0,50.75,90.0,3.38,rfm,
M,Muralitharan,91,12.56,1374,68.55,Right-hand bat,5187.2,22.86,58.5,2.34,rob,
HH,Dippenaar,25,27.94,2439,41.24,Right-hand bat,-,-,-,-,rob,
M,van Jaarsveld,6,39.85,605,46.11,Right-hand bat,-,-,-,-,-,
JA,Rudolph,15,52.85,2488,44.61,Left-hand bat,62.0,116.00,186.0,3.74,rls,
JH,Kallis,79,54.59,14205,41.89,Right-hand bat,1830.0,30.88,67.3,2.75,rfm,
GC,Smith,25,58.15,3619,62.66,Left-hand bat,56.5,61.66,113.6,3.25,rob,
MV,Boucher,75,30.57,5225,52.07,Right-hand bat,-,-,-,-,rm,
SM,Pollock,84,33.27,5742,50.99,Right-hand bat,3155.1,21.28,54.8,2.32,rfm,
L,Klusener,49,32.86,3187,59.80,Left-hand bat,1147.5,37.91,86.0,2.64,rfm,
N,Boje,24,24.21,1585,42.77,Left-hand bat,769.1,30.78,66.8,2.76,lo,
M,Ntini,46,10.51,646,50.46,Right-hand bat,1554.5,29.98,56.8,3.16,rf,
M,Hayward,15,9.14,175,36.57,Right-hand bat,450.1,28.66,50.9,3.37,rf,
