Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
CH,Gayle,41,34.98,4706,51.29,Left-hand bat,283.2,55.00,130.7,2.52,rob,
D,Ganga,30,23.20,3277,37.53,Right-hand bat,26.0,-,-,3.15,rob,
BC,Lara,106,53.35,16204,59.59,Left-hand bat,10.0,-,-,2.80,rls,
RR,Sarwan,44,38.28,6783,41.76,Right-hand bat,162.0,46.16,81.0,3.41,rls,
RL,Powell,2,17.66,76,69.73,Right-hand bat,13.0,-,-,3.76,rob,
RO,Hinds,7,24.16,645,44.96,Left-hand bat,108.2,66.75,162.5,2.46,lo,
RD,Jacobs,61,28.71,5224,47.81,Left-hand bat,-,-,-,-,-,
ME,Trescothick,47,41.24,6362,52.51,Left-hand bat,41.0,134.00,246.0,3.26,rm,
MP,Vaughan,44,45.44,6587,51.05,Right-hand bat,133.0,92.40,159.6,3.47,rob,
MA,Butcher,66,35.53,9444,43.26,Left-hand bat,150.1,36.06,60.0,3.60,rm,
N,Hussain,95,36.53,14012,40.15,Right-hand bat,5.0,-,-,3.00,rls,
GP,Thorpe,87,43.15,12686,45.92,Left-hand bat,23.0,-,-,1.60,rm,
A,Flintoff,33,27.62,2110,66.77,Right-hand bat,923.1,42.31,87.9,2.88,rfm,
GO,Jones,1,48.00,109,44.03,Right-hand bat,-,-,-,-,-,
GJ,Batty,5,20.57,533,27.01,Right-hand bat,217.2,68.90,130.4,3.17,rob,
MJ,Hoggard,26,7.73,684,21.49,Right-hand bat,929.2,31.86,60.6,3.15,rfm,
SP,Jones,6,13.40,156,42.94,Left-hand bat,139.0,33.43,52.1,3.84,rfm,
SJ,Harmison,16,6.16,314,35.35,Right-hand bat,556.2,24.32,52.1,2.79,rfm,
TL,Best,5,10.28,160,45.00,Right-hand bat,116.0,33.33,58.0,3.44,rf,
PT,Collins,22,6.78,499,38.07,Right-hand bat,803.4,37.87,73.0,3.11,lfm,
CD,Collymore,11,13.00,300,30.33,Right-hand bat,361.0,33.54,69.8,2.88,rfm,
FH,Edwards,10,4.30,186,23.11,Right-hand bat,314.2,40.50,58.9,4.12,rf,
