Initials,Surname,Matches,BatAvg,BallsFaced,BatSR,BatArm,OversBowled,BowlAvg,BowlSR,BowlEcon,BowlType,Team
D,Elgar,42,42.12,5646,47.00,Left-hand bat,153.5,44.76,71.0,3.78,lo,
AK,Markram,3,95.00,568,66.90,Right-hand bat,2.0,-,-,6.50,rob,
HM,Amla,110,49.61,16909,50.75,Right-hand bat,9.0,-,-,4.11,-,
AB,de Villiers,107,50.47,15087,53.86,Right-hand bat,34.0,52.00,102.0,3.05,rm,
T,Bavuma,27,33.13,2743,45.89,Right-hand bat,15.0,51.00,90.0,3.40,rm,
Q,de Kock,26,43.83,2197,71.82,Left-hand bat,-,-,-,-,-,
VD,Philander,47,25.44,2546,46.97,Right-hand bat,1425.2,22.37,49.4,2.71,rfm,
AL,Phehlukwayo,3,-,19,52.63,Left-hand bat,31.4,11.88,21.1,3.37,rmf,
K,Rabada,23,13.68,521,49.90,Left-hand bat,690.2,22.29,39.4,3.39,rf,
KA,Maharaj,14,17.84,316,73.41,Right-hand bat,476.5,25.03,51.0,2.94,lo,
H,Masakadza,36,29.77,4688,44.45,Right-hand bat,192.0,30.12,72.0,2.51,rm,
CJ,Chibhabha,3,20.66,341,36.36,Right-hand bat,41.0,162.00,246.0,3.95,rm,
CR,Ervine,15,33.60,1925,48.88,Left-hand bat,-,-,-,-,rob,
BRM,Taylor,26,32.53,3163,50.39,Right-hand bat,7.0,-,-,5.42,rob,
RP,Burl,1,8.00,39,41.02,Left-hand bat,-,-,-,-,rls,
KM,Jarvis,10,11.10,320,34.68,Right-hand bat,317.3,30.97,52.9,3.51,rfm,
Sikandar,Raza,10,38.10,1369,55.66,Right-hand bat,225.5,58.69,104.2,3.37,rob,
PJ,Moor,6,31.16,799,46.80,Right-hand bat,-,-,-,-,rob,
AG,Cremer,19,16.36,1657,32.58,Right-hand bat,702.2,45.68,73.9,3.70,rls,
CB,Mpofu,15,5.83,249,42.16,Right-hand bat,414.5,48.00,85.8,3.35,rfm,
B,Muzarabani,1,14.00,14,100.00,Right-hand bat,13.0,-,-,3.69,rfm,
M,Morkel,80,12.35,1764,51.13,Left-hand bat,2560.5,28.45,54.6,3.12,rf,
